workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 155200.00 ns, 155.2000 us/op",23232169855940,20031.25,2360,839.0784,13,0,10,10,10,4604520,449312,59617280
"WorkloadWarmup   1: 16777216 op, 1081598300.00 ns, 64.4683 ns/op",23232185420145,21546.875,2455,845.4145,13,0,94,94,94,4762880,452648,59891712
"WorkloadWarmup   2: 16777216 op, 1058472200.00 ns, 63.0899 ns/op",23232196127488,22593.75,2455,845.4145,0,0,98,98,98,4776952,439184,55230464
"WorkloadWarmup   3: 16777216 op, 1022385200.00 ns, 60.9389 ns/op",23232206457629,23609.375,2455,845.4145,0,0,102,102,102,4789288,438528,55242752
"WorkloadWarmup   4: 16777216 op, 888313200.00 ns, 52.9476 ns/op",23232215453602,24484.375,2455,845.4145,0,0,106,106,106,4801624,438680,55255040
"WorkloadWarmup   5: 16777216 op, 885349400.00 ns, 52.7709 ns/op",23232224420688,25390.625,2455,845.4145,0,0,110,110,110,4813960,438832,54939648
"WorkloadWarmup   6: 16777216 op, 902320000.00 ns, 53.7825 ns/op",23232233557635,26296.875,2457,3418.3959,0,0,114,114,114,4826296,438984,55320576
"WorkloadWarmup   7: 16777216 op, 921108300.00 ns, 54.9023 ns/op",23232242885247,27218.75,2457,3418.3959,0,0,118,118,118,4838632,439136,55328768
"WorkloadWarmup   8: 16777216 op, 1026113500.00 ns, 61.1611 ns/op",23232253259739,28250,2534,5218.8747,0,0,122,122,122,4850992,439312,56250368
"WorkloadWarmup   9: 16777216 op, 1122644500.00 ns, 66.9148 ns/op",23232264604188,29359.375,2536,6014.2121,0,0,126,126,126,4865632,439464,56262656
"WorkloadWarmup  10: 16777216 op, 1057128800.00 ns, 63.0098 ns/op",23232275296321,30343.75,2559,6018.0467,0,0,130,130,130,4877968,416320,55607296
"WorkloadActual   1: 16777216 op, 1033086800.00 ns, 61.5768 ns/op",23232285740361,31390.625,2564,7691.223,0,0,134,134,134,4894600,417336,55652352
"WorkloadActual   2: 16777216 op, 1035934500.00 ns, 61.7465 ns/op",23232296221056,32437.5,2564,7691.223,0,0,138,138,138,4906936,417488,55660544
"WorkloadActual   3: 16777216 op, 1037676000.00 ns, 61.8503 ns/op",23232306703930,33484.375,2564,7691.223,0,0,142,142,142,4919272,417640,55676928
"WorkloadActual   4: 16777216 op, 1022274100.00 ns, 60.9323 ns/op",23232317032130,34500,2564,7691.223,0,0,146,146,146,4931608,417792,55693312
"WorkloadActual   5: 16777216 op, 1023279300.00 ns, 60.9922 ns/op",23232327377086,35546.875,2564,7691.223,0,0,150,150,150,4943944,417944,55439360
"WorkloadActual   6: 16777216 op, 1040882800.00 ns, 62.0414 ns/op",23232337895692,36546.875,2577,7695.5323,0,0,154,154,154,4956280,418096,56160256
"WorkloadActual   7: 16777216 op, 1028116300.00 ns, 61.2805 ns/op",23232348316863,37578.125,2580,8870.8741,0,0,158,158,158,4968616,418248,56315904
"WorkloadActual   8: 16777216 op, 1026184900.00 ns, 61.1654 ns/op",23232358684432,38609.375,2592,9658.6541,0,0,162,162,162,4980952,418400,56913920
"WorkloadActual   9: 16777216 op, 1028257500.00 ns, 61.2889 ns/op",23232369082940,39656.25,2592,9658.6541,0,0,166,166,166,4993288,418552,56954880
"WorkloadActual  10: 16777216 op, 1023846600.00 ns, 61.0260 ns/op",23232379427552,40671.875,2593,11858.9632,0,0,170,170,170,5005624,418704,56233984
"WorkloadActual  11: 16777216 op, 1028285400.00 ns, 61.2906 ns/op",23232389825224,41687.5,2593,11858.9632,0,0,174,174,174,5017928,418856,55992320
"WorkloadActual  12: 16777216 op, 1024665800.00 ns, 61.0748 ns/op",23232400183328,42734.375,2618,13493.6872,0,0,178,178,178,5030232,419008,56324096
"WorkloadActual  13: 16777216 op, 1028750000.00 ns, 61.3183 ns/op",23232410580566,43765.625,2647,14719.3485,0,0,182,182,182,5042536,419160,56623104
"WorkloadActual  14: 16777216 op, 1037222900.00 ns, 61.8233 ns/op",23232421062260,44796.875,2647,14719.3485,0,0,186,186,186,5057144,419312,56639488
"WorkloadActual  15: 16777216 op, 1030986500.00 ns, 61.4516 ns/op",23232431480556,45828.125,2647,14719.3485,0,0,190,190,190,5069448,419464,56336384
