workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 133600.00 ns, 133.6000 us/op",23232652169073,20125,2365,9236.7476,8,0,10,10,10,4599912,445216,59731968
"WorkloadWarmup   1: 16777216 op, 1178257200.00 ns, 70.2296 ns/op",23232668678393,21765.625,2460,9242.3819,8,0,98,98,98,4764712,448264,59981824
"WorkloadWarmup   2: 16777216 op, 1169200800.00 ns, 69.6898 ns/op",23232680486160,22953.125,2460,9242.3819,1,0,102,102,102,4778040,440072,55328768
"WorkloadWarmup   3: 16777216 op, 1204774200.00 ns, 71.8101 ns/op",23232692650686,24125,2460,9242.3819,0,0,106,106,106,4790528,438800,55099392
"WorkloadWarmup   4: 16777216 op, 1165141200.00 ns, 69.4478 ns/op",23232704413255,25281.25,2460,9242.3819,0,0,110,110,110,4802864,438848,54792192
"WorkloadWarmup   5: 16777216 op, 1164551400.00 ns, 69.4127 ns/op",23232716165246,26390.625,2482,9252.1573,0,0,114,114,114,4815200,439000,55906304
"WorkloadWarmup   6: 16777216 op, 1282925000.00 ns, 76.4683 ns/op",23232729104099,27687.5,2528,9727.169,0,0,118,118,118,4827560,439176,56324096
"WorkloadWarmup   7: 16777216 op, 1315348800.00 ns, 78.4009 ns/op",23232742365565,29015.625,2547,10871.0577,0,0,122,122,122,4839896,439328,56532992
"WorkloadWarmup   8: 16777216 op, 1277121800.00 ns, 76.1224 ns/op",23232755245088,30296.875,2548,12402.7786,0,0,126,126,126,4854536,416184,56152064
"WorkloadWarmup   9: 16777216 op, 1293068300.00 ns, 77.0729 ns/op",23232768290331,31562.5,2548,12402.7786,0,0,130,130,130,4866872,416336,56111104
"WorkloadWarmup  10: 16777216 op, 1282557500.00 ns, 76.4464 ns/op",23232781237799,32843.75,2550,14813.2421,0,0,134,134,134,4887408,424712,55468032
"WorkloadActual   1: 16777216 op, 1280798600.00 ns, 76.3415 ns/op",23232794164233,34140.625,2554,14813.5229,0,0,138,138,138,4895904,417536,55345152
"WorkloadActual   2: 16777216 op, 1277992800.00 ns, 76.1743 ns/op",23232807054289,35406.25,2554,14813.5229,0,0,142,142,142,4908240,417688,55365632
"WorkloadActual   3: 16777216 op, 1279400700.00 ns, 76.2582 ns/op",23232819955335,36687.5,2555,14813.7396,0,0,146,146,146,4920576,417840,55377920
"WorkloadActual   4: 16777216 op, 1293984400.00 ns, 77.1275 ns/op",23232833004434,37984.375,2555,14813.7396,0,0,150,150,150,4932912,417992,55398400
"WorkloadActual   5: 16777216 op, 1361949100.00 ns, 81.1785 ns/op",23232846740604,39359.375,2633,17538.1235,0,0,154,154,154,4945248,418144,56291328
"WorkloadActual   6: 16777216 op, 1319152200.00 ns, 78.6276 ns/op",23232860046735,40671.875,2640,18385.8644,0,0,158,158,158,4957584,418296,56360960
"WorkloadActual   7: 16777216 op, 1320512400.00 ns, 78.7087 ns/op",23232873372494,41968.75,2642,19867.3079,0,0,162,162,162,4969920,418448,56369152
"WorkloadActual   8: 16777216 op, 1305750400.00 ns, 77.8288 ns/op",23232886551098,43281.25,2642,19867.3079,0,0,166,166,166,4982256,418600,56328192
"WorkloadActual   9: 16777216 op, 1268901300.00 ns, 75.6324 ns/op",23232899348197,44546.875,2642,19867.3079,0,0,170,170,170,4994592,418752,56012800
"WorkloadActual  10: 16777216 op, 1271285900.00 ns, 75.7745 ns/op",23232912167059,45828.125,2652,23140.9214,0,0,174,174,174,5006928,418904,56418304
"WorkloadActual  11: 16777216 op, 1268566400.00 ns, 75.6124 ns/op",23232924960887,47109.375,2653,24435.7168,0,0,178,178,178,5019232,419056,56430592
"WorkloadActual  12: 16777216 op, 1285515500.00 ns, 76.6227 ns/op",23232937927723,48375,2653,24435.7168,0,0,182,182,182,5031536,419208,56451072
"WorkloadActual  13: 16777216 op, 1283774800.00 ns, 76.5189 ns/op",23232950895078,49671.875,2653,24435.7168,0,0,186,186,186,5043840,419360,55832576
"WorkloadActual  14: 16777216 op, 1275543200.00 ns, 76.0283 ns/op",23232963758168,50953.125,2653,24435.7168,0,0,190,190,190,5056144,402568,55853056
"WorkloadActual  15: 16777216 op, 1281995900.00 ns, 76.4129 ns/op",23232976684513,52218.75,2653,24435.7168,0,0,194,194,194,5068448,402720,55865344
