workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 143700.00 ns, 143.7000 us/op",23239527366902,19953.125,2471,1166.6343,9,0,10,10,10,4606856,446552,59772928
"WorkloadWarmup   1: 16777216 op, 151915300.00 ns, 9.0549 ns/op",23239534002179,20578.125,2566,1172.7007,9,0,102,102,102,4778512,449696,60055552
"WorkloadWarmup   2: 16777216 op, 152310600.00 ns, 9.0784 ns/op",23239535647564,20750,2566,1172.7007,8,0,106,106,106,4791416,449776,60092416
"WorkloadWarmup   3: 16777216 op, 149921800.00 ns, 8.9360 ns/op",23239537264769,20906.25,2566,1172.7007,8,0,110,110,110,4804320,449928,60104704
"WorkloadWarmup   4: 16777216 op, 150594500.00 ns, 8.9761 ns/op",23239538881333,21062.5,2566,1172.7007,8,0,114,114,114,4817224,450080,60125184
"WorkloadWarmup   5: 16777216 op, 151383200.00 ns, 9.0231 ns/op",23239540509535,21203.125,2566,1172.7007,8,0,118,118,118,4830128,450232,60137472
"WorkloadWarmup   6: 16777216 op, 151627800.00 ns, 9.0377 ns/op",23239542139599,21359.375,2566,1172.7007,8,0,122,122,122,4843032,450384,60157952
"WorkloadWarmup   7: 16777216 op, 148045200.00 ns, 8.8242 ns/op",23239543731205,21515.625,2566,1172.7007,8,0,126,126,126,4855936,450536,60170240
"WorkloadWarmup   8: 16777216 op, 153916200.00 ns, 9.1741 ns/op",23239545382724,21687.5,2566,1172.7007,8,0,130,130,130,4868840,450688,60190720
"WorkloadWarmup   9: 16777216 op, 167774600.00 ns, 10.0001 ns/op",23239547192578,21875,2566,1172.7007,8,0,134,134,134,4881744,450840,60203008
"WorkloadWarmup  10: 16777216 op, 152605000.00 ns, 9.0960 ns/op",23239548852453,22015.625,2566,1172.7007,8,0,138,138,138,4894656,450992,55771136
"WorkloadActual   1: 16777216 op, 149476000.00 ns, 8.9095 ns/op",23239550460017,22171.875,2570,1172.9483,0,0,142,142,142,4910184,442688,55566336
"WorkloadActual   2: 16777216 op, 149352400.00 ns, 8.9021 ns/op",23239552066141,22343.75,2570,1172.9483,0,0,146,146,146,4922576,442352,55590912
"WorkloadActual   3: 16777216 op, 148182700.00 ns, 8.8324 ns/op",23239553660630,22500,2570,1172.9483,0,0,150,150,150,4934968,442504,55603200
"WorkloadActual   4: 16777216 op, 150595800.00 ns, 8.9762 ns/op",23239555273683,22656.25,2570,1172.9483,0,0,154,154,154,4947360,442656,55623680
"WorkloadActual   5: 16777216 op, 149259400.00 ns, 8.8966 ns/op",23239556875650,22812.5,2570,1172.9483,0,0,158,158,158,4959752,442808,55652352
"WorkloadActual   6: 16777216 op, 149465200.00 ns, 8.9088 ns/op",23239558483666,22984.375,2570,1172.9483,0,0,162,162,162,4972144,442960,55529472
"WorkloadActual   7: 16777216 op, 150378400.00 ns, 8.9633 ns/op",23239560096989,23140.625,2571,1173.3118,0,0,166,166,166,4984536,443112,55578624
"WorkloadActual   8: 16777216 op, 148916400.00 ns, 8.8761 ns/op",23239561694456,23281.25,2571,1173.3118,0,0,170,170,170,4996928,443264,55599104
"WorkloadActual   9: 16777216 op, 149139100.00 ns, 8.8894 ns/op",23239563296263,23453.125,2571,1173.3118,0,0,174,174,174,5009320,443416,55611392
"WorkloadActual  10: 16777216 op, 149815000.00 ns, 8.9297 ns/op",23239564902484,23609.375,2571,1173.3118,0,0,178,178,178,5021712,443568,55631872
"WorkloadActual  11: 16777216 op, 149104800.00 ns, 8.8873 ns/op",23239566507118,23765.625,2571,1173.3118,0,0,182,182,182,5034072,443720,55627776
"WorkloadActual  12: 16777216 op, 154028200.00 ns, 9.1808 ns/op",23239568161259,23937.5,2571,1173.3118,0,0,186,186,186,5046368,443808,55648256
"WorkloadActual  13: 16777216 op, 151827200.00 ns, 9.0496 ns/op",23239569798048,24093.75,2571,1173.3118,0,0,190,190,190,5058664,443960,55390208
"WorkloadActual  14: 16777216 op, 152915400.00 ns, 9.1145 ns/op",23239571476923,24265.625,2571,1173.3118,0,0,194,194,194,5070960,444112,55410688
"WorkloadActual  15: 16777216 op, 152335500.00 ns, 9.0799 ns/op",23239573121498,24421.875,2571,1173.3118,0,0,198,198,198,5083256,444264,55418880
