workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 132500.00 ns, 132.5000 us/op",23238294557695,20031.25,2555,3830.146,9,0,10,10,10,4613960,451928,60514304
"WorkloadWarmup   1: 67108864 op, 1626788800.00 ns, 24.2410 ns/op",23238328717952,23390.625,2650,3836.1077,1,0,98,98,98,4823496,442432,56020992
"WorkloadWarmup   2: 67108864 op, 1671322900.00 ns, 24.9047 ns/op",23238345551670,25031.25,2650,3836.1077,1,0,102,102,102,4835896,442096,56045568
"WorkloadWarmup   3: 67108864 op, 1638187800.00 ns, 24.4109 ns/op",23238362090693,26671.875,2650,3836.1077,0,0,106,106,106,4848320,441184,55308288
"WorkloadWarmup   4: 67108864 op, 1662939600.00 ns, 24.7797 ns/op",23238378831725,28328.125,2650,3836.1077,0,0,110,110,110,4860656,441296,55332864
"WorkloadWarmup   5: 67108864 op, 1630320700.00 ns, 24.2937 ns/op",23238395247868,29953.125,2650,3836.1077,0,0,114,114,114,4872992,418152,55349248
"WorkloadWarmup   6: 67108864 op, 1633229400.00 ns, 24.3370 ns/op",23238411701493,31562.5,2650,3836.1077,0,0,118,118,118,4885328,418304,55357440
"WorkloadWarmup   7: 67108864 op, 1667135000.00 ns, 24.8422 ns/op",23238428491108,33250,2650,3836.1077,0,0,122,122,122,4897664,418456,55386112
"WorkloadWarmup   8: 67108864 op, 1415979300.00 ns, 21.0997 ns/op",23238442784035,34625,2677,3840.4606,0,0,126,126,126,4910000,418608,55828480
"WorkloadWarmup   9: 67108864 op, 1219300100.00 ns, 18.1690 ns/op",23238455085217,35828.125,2677,3840.4606,0,0,130,130,130,4922336,418760,55844864
"WorkloadWarmup  10: 67108864 op, 1196242000.00 ns, 17.8254 ns/op",23238467155913,37031.25,2677,3840.4606,0,0,134,134,134,4934672,418912,55865344
"WorkloadActual   1: 67108864 op, 1221238700.00 ns, 18.1979 ns/op",23238479513790,38265.625,2681,3840.7328,0,0,138,138,138,4949064,419960,55877632
"WorkloadActual   2: 67108864 op, 1198432700.00 ns, 17.8580 ns/op",23238491609561,39468.75,2681,3840.7328,0,0,142,142,142,4961400,420112,55898112
"WorkloadActual   3: 67108864 op, 1212013500.00 ns, 18.0604 ns/op",23238503877248,40656.25,2681,3840.7328,0,0,146,146,146,4973736,420264,55910400
"WorkloadActual   4: 67108864 op, 1200149300.00 ns, 17.8836 ns/op",23238515985817,41875,2681,3840.7328,0,0,150,150,150,4986072,420416,55939072
"WorkloadActual   5: 67108864 op, 1209942000.00 ns, 18.0295 ns/op",23238528194034,43062.5,2681,3840.7328,0,0,154,154,154,5000712,420568,55955456
"WorkloadActual   6: 67108864 op, 1199735900.00 ns, 17.8775 ns/op",23238540299991,44265.625,2682,13838.7719,0,0,158,158,158,5013048,420720,55980032
"WorkloadActual   7: 67108864 op, 1275815800.00 ns, 19.0111 ns/op",23238553164516,45546.875,2682,13838.7719,0,0,162,162,162,5025384,420872,55996416
"WorkloadActual   8: 67108864 op, 1193654700.00 ns, 17.7868 ns/op",23238565309469,46718.75,2682,13838.7719,0,0,166,166,166,5037720,421024,55705600
"WorkloadActual   9: 67108864 op, 1231699200.00 ns, 18.3537 ns/op",23238577734250,47968.75,2682,13838.7719,0,0,170,170,170,5050056,421176,55713792
"WorkloadActual  10: 67108864 op, 1217467500.00 ns, 18.1417 ns/op",23238590016299,49203.125,2682,13838.7719,0,0,174,174,174,5062392,421328,55726080
"WorkloadActual  11: 67108864 op, 1225310100.00 ns, 18.2585 ns/op",23238602384747,50437.5,2682,13838.7719,0,0,178,178,178,5074696,404536,55742464
"WorkloadActual  12: 67108864 op, 1197700900.00 ns, 17.8471 ns/op",23238614472939,51640.625,2683,17831.1209,0,0,182,182,182,5087000,404688,55767040
"WorkloadActual  13: 67108864 op, 1194495700.00 ns, 17.7994 ns/op",23238626527227,52812.5,2683,17831.1209,0,0,186,186,186,5099304,404840,55779328
"WorkloadActual  14: 67108864 op, 1196884800.00 ns, 17.8350 ns/op",23238638607062,54015.625,2683,17831.1209,0,0,190,190,190,5111608,404992,55799808
"WorkloadActual  15: 67108864 op, 1253114200.00 ns, 18.6729 ns/op",23238651247594,55203.125,2683,17831.1209,0,0,194,194,194,5123912,405144,55812096
