workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 139700.00 ns, 139.7000 us/op",23236450563278,19906.25,2432,2611.7705,11,0,10,10,10,4614056,430344,60612608
"WorkloadWarmup   1: 16777216 op, 1212070200.00 ns, 72.2450 ns/op",23236468393322,21609.375,2527,2617.6057,11,0,114,114,114,4806184,433712,60895232
"WorkloadWarmup   2: 16777216 op, 1208461100.00 ns, 72.0299 ns/op",23236480602735,22828.125,2527,2617.6057,0,0,118,118,118,4815720,418672,55386112
"WorkloadWarmup   3: 16777216 op, 1209291400.00 ns, 72.0794 ns/op",23236492814303,24046.875,2528,8290.6438,0,0,122,122,122,4828056,418144,55300096
"WorkloadWarmup   4: 16777216 op, 1173462100.00 ns, 69.9438 ns/op",23236504666292,25203.125,2531,8291.5792,0,0,126,126,126,4840392,418296,55422976
"WorkloadWarmup   5: 16777216 op, 1124660800.00 ns, 67.0350 ns/op",23236516033823,26312.5,2538,8925.7198,0,0,130,130,130,4852728,418448,55910400
"WorkloadWarmup   6: 16777216 op, 1124652700.00 ns, 67.0345 ns/op",23236527393433,27421.875,2538,8925.7198,0,0,134,134,134,4865064,418600,55943168
"WorkloadWarmup   7: 16777216 op, 1115284300.00 ns, 66.4761 ns/op",23236538657745,28546.875,2543,11861.376,0,0,138,138,138,4877400,418752,55701504
"WorkloadWarmup   8: 16777216 op, 1139246300.00 ns, 67.9044 ns/op",23236550166190,29671.875,2543,11861.376,0,0,142,142,142,4889736,418904,55652352
"WorkloadWarmup   9: 16777216 op, 1123749500.00 ns, 66.9807 ns/op",23236561520107,30796.875,2543,11861.376,0,0,146,146,146,4902072,419056,55107584
"WorkloadWarmup  10: 16777216 op, 1132865600.00 ns, 67.5241 ns/op",23236572963019,31921.875,2543,11861.376,0,0,150,150,150,4914408,419208,55128064
"WorkloadActual   1: 16777216 op, 1128804700.00 ns, 67.2820 ns/op",23236584368309,33046.875,2548,16202.6256,0,0,154,154,154,4929056,420384,55193600
"WorkloadActual   2: 16777216 op, 1122069900.00 ns, 66.8806 ns/op",23236595701623,34187.5,2548,16202.6256,0,0,158,158,158,4941392,420536,55205888
"WorkloadActual   3: 16777216 op, 1118452300.00 ns, 66.6650 ns/op",23236606995083,35312.5,2548,16202.6256,0,0,162,162,162,4953728,403744,55234560
"WorkloadActual   4: 16777216 op, 1111931000.00 ns, 66.2763 ns/op",23236618224014,36437.5,2548,16202.6256,0,0,166,166,166,4966064,403896,55070720
"WorkloadActual   5: 16777216 op, 1132593700.00 ns, 67.5078 ns/op",23236629668914,37578.125,2553,17888.9268,0,0,170,170,170,4980704,404048,55234560
"WorkloadActual   6: 16777216 op, 1165871900.00 ns, 69.4914 ns/op",23236641438158,38765.625,2567,18741.0338,0,0,174,174,174,4993040,404200,55496704
"WorkloadActual   7: 16777216 op, 1181561300.00 ns, 70.4265 ns/op",23236653423529,39890.625,2567,18741.0338,0,0,178,178,178,5005376,404352,55529472
"WorkloadActual   8: 16777216 op, 1377105200.00 ns, 82.0819 ns/op",23236667321538,41265.625,2640,21115.5158,0,0,182,182,182,5017760,404552,56483840
"WorkloadActual   9: 16777216 op, 1476262700.00 ns, 87.9921 ns/op",23236682227520,42718.75,2726,21148.5902,0,0,186,186,186,5030096,404704,58806272
"WorkloadActual  10: 16777216 op, 1345619900.00 ns, 80.2052 ns/op",23236695804402,44062.5,2726,21148.5902,0,0,190,190,190,5042432,404856,58818560
"WorkloadActual  11: 16777216 op, 1344655800.00 ns, 80.1477 ns/op",23236709364202,45406.25,2726,21148.5902,0,0,194,194,194,5054736,405008,58826752
"WorkloadActual  12: 16777216 op, 1348053500.00 ns, 80.3503 ns/op",23236722966244,46765.625,2726,21148.5902,0,0,198,198,198,5067040,405160,56229888
"WorkloadActual  13: 16777216 op, 1362075100.00 ns, 81.1860 ns/op",23236736706412,48140.625,2726,21148.5902,0,0,202,202,202,5079344,405312,56246272
"WorkloadActual  14: 16777216 op, 1434643100.00 ns, 85.5114 ns/op",23236751183600,49578.125,2727,27561.8988,0,0,206,206,206,5091648,405464,56762368
"WorkloadActual  15: 16777216 op, 1345157300.00 ns, 80.1776 ns/op",23236764880784,50937.5,2728,27561.9996,0,0,210,210,210,5103952,405616,56741888
