workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 144800.00 ns, 144.8000 us/op",23244654356781,20171.875,2497,224.9557,9,0,10,10,10,4605840,447592,59912192
"WorkloadWarmup   1: 16777216 op, 65596200.00 ns, 3.9098 ns/op",23244660432169,20734.375,2592,231.0675,9,0,106,106,106,4784352,450832,60162048
"WorkloadWarmup   2: 16777216 op, 65583200.00 ns, 3.9091 ns/op",23244661211351,20812.5,2592,231.0675,9,0,110,110,110,4797312,450976,60178432
"WorkloadWarmup   3: 16777216 op, 65475700.00 ns, 3.9027 ns/op",23244661994071,20890.625,2592,231.0675,9,0,114,114,114,4810272,451120,60198912
"WorkloadWarmup   4: 16777216 op, 65469000.00 ns, 3.9023 ns/op",23244662786532,20968.75,2592,231.0675,9,0,118,118,118,4823232,451264,60211200
"WorkloadWarmup   5: 16777216 op, 65384500.00 ns, 3.8972 ns/op",23244663562141,21046.875,2592,231.0675,9,0,122,122,122,4836192,451408,60231680
"WorkloadWarmup   6: 16777216 op, 65761200.00 ns, 3.9197 ns/op",23244664343692,21125,2592,231.0675,9,0,126,126,126,4849152,451552,60243968
"WorkloadWarmup   7: 16777216 op, 65086700.00 ns, 3.8795 ns/op",23244665123064,21203.125,2592,231.0675,9,0,130,130,130,4862112,451696,60264448
"WorkloadWarmup   8: 16777216 op, 65543200.00 ns, 3.9067 ns/op",23244665905625,21281.25,2592,231.0675,9,0,134,134,134,4875072,451840,60276736
"WorkloadWarmup   9: 16777216 op, 71631800.00 ns, 4.2696 ns/op",23244666752659,21375,2592,231.0675,9,0,138,138,138,4888032,451984,60293120
"WorkloadWarmup  10: 16777216 op, 77924300.00 ns, 4.6447 ns/op",23244667670545,21468.75,2592,231.0675,9,0,142,142,142,4900992,452128,60309504
"WorkloadActual   1: 16777216 op, 73598200.00 ns, 4.3868 ns/op",23244668553590,21546.875,2596,231.3392,9,0,146,146,146,4916136,453232,60317696
"WorkloadActual   2: 16777216 op, 82651900.00 ns, 4.9264 ns/op",23244669519611,21640.625,2596,231.3392,9,0,150,150,150,4929096,453376,60338176
"WorkloadActual   3: 16777216 op, 69447700.00 ns, 4.1394 ns/op",23244670362006,21734.375,2596,231.3392,9,0,154,154,154,4942056,453520,60350464
"WorkloadActual   4: 16777216 op, 84668900.00 ns, 5.0467 ns/op",23244671354592,21828.125,2596,231.3392,9,0,158,158,158,4955016,453664,60370944
"WorkloadActual   5: 16777216 op, 110887900.00 ns, 6.6094 ns/op",23244672666800,21968.75,2596,231.3392,9,0,162,162,162,4967976,453808,60375040
"WorkloadActual   6: 16777216 op, 111252300.00 ns, 6.6312 ns/op",23244673953347,22093.75,2596,231.3392,9,0,166,166,166,4980944,453960,60395520
"WorkloadActual   7: 16777216 op, 85191300.00 ns, 5.0778 ns/op",23244674959168,22187.5,2596,231.3392,9,0,170,170,170,4993912,454112,55840768
"WorkloadActual   8: 16777216 op, 86583400.00 ns, 5.1608 ns/op",23244675974869,22296.875,2596,231.3392,9,0,174,174,174,5006872,454256,55861248
"WorkloadActual   9: 16777216 op, 81084700.00 ns, 4.8330 ns/op",23244676928115,22390.625,2596,231.3392,9,0,178,178,178,5019832,454400,55873536
"WorkloadActual  10: 16777216 op, 84510400.00 ns, 5.0372 ns/op",23244677938833,22484.375,2596,231.3392,0,0,182,182,182,5033328,445752,55676928
"WorkloadActual  11: 16777216 op, 70367300.00 ns, 4.1942 ns/op",23244678793264,22578.125,2596,231.3392,0,0,186,186,186,5045736,443640,55664640
"WorkloadActual  12: 16777216 op, 66065200.00 ns, 3.9378 ns/op",23244679581107,22656.25,2596,231.3392,0,0,190,190,190,5058024,443720,55689216
"WorkloadActual  13: 16777216 op, 65385700.00 ns, 3.8973 ns/op",23244680350694,22734.375,2596,231.3392,0,0,194,194,194,5070312,443864,55701504
"WorkloadActual  14: 16777216 op, 64529300.00 ns, 3.8462 ns/op",23244681116474,22812.5,2596,231.3392,0,0,198,198,198,5082600,444008,55721984
"WorkloadActual  15: 16777216 op, 65693600.00 ns, 3.9156 ns/op",23244681911014,22890.625,2596,231.3392,0,0,202,202,202,5094888,444152,55730176
