workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 142300.00 ns, 142.3000 us/op",23243309525555,20000,2429,225.5379,11,0,10,10,10,4607920,448544,60784640
"WorkloadWarmup   1: 16777216 op, 1074940000.00 ns, 64.0714 ns/op",23243325124361,21546.875,2524,231.3553,10,0,98,98,98,4775400,449680,61030400
"WorkloadWarmup   2: 16777216 op, 1098427100.00 ns, 65.4714 ns/op",23243336227218,22640.625,2525,2729.3914,1,0,102,102,102,4788856,441376,55447552
"WorkloadWarmup   3: 16777216 op, 1095594300.00 ns, 65.3025 ns/op",23243347317431,23718.75,2525,2729.3914,1,0,106,106,106,4801256,440976,55201792
"WorkloadWarmup   4: 16777216 op, 1058086100.00 ns, 63.0668 ns/op",23243358008631,24781.25,2584,3177.7147,0,0,110,110,110,4813728,440112,55996416
"WorkloadWarmup   5: 16777216 op, 1003224600.00 ns, 59.7968 ns/op",23243368154660,25781.25,2593,3760.4,0,0,114,114,114,4826064,440224,56025088
"WorkloadWarmup   6: 16777216 op, 1063175800.00 ns, 63.3702 ns/op",23243378903553,26843.75,2593,3760.4,0,0,118,118,118,4838400,440376,56041472
"WorkloadWarmup   7: 16777216 op, 1049640400.00 ns, 62.5634 ns/op",23243389516243,27875,2593,3760.4,0,0,122,122,122,4850736,440528,55799808
"WorkloadWarmup   8: 16777216 op, 1136613100.00 ns, 67.7474 ns/op",23243401007962,29000,2719,7106.8545,0,0,126,126,126,4863072,440680,56500224
"WorkloadWarmup   9: 16777216 op, 1037842600.00 ns, 61.8602 ns/op",23243411495876,30015.625,2719,7106.8545,0,0,130,130,130,4875408,417536,56532992
"WorkloadWarmup  10: 16777216 op, 1061042200.00 ns, 63.2430 ns/op",23243422220111,31093.75,2719,7106.8545,0,0,134,134,134,4887744,417688,55902208
"WorkloadActual   1: 16777216 op, 1110941800.00 ns, 66.2173 ns/op",23243433456859,32187.5,2724,9592.462,0,0,138,138,138,4902136,418736,55980032
"WorkloadActual   2: 16777216 op, 1173945500.00 ns, 69.9726 ns/op",23243445349012,33343.75,2724,9592.462,0,0,142,142,142,4914472,418888,56000512
"WorkloadActual   3: 16777216 op, 1073982100.00 ns, 64.0143 ns/op",23243456203281,34406.25,2724,9592.462,0,0,146,146,146,4926808,419040,56012800
"WorkloadActual   4: 16777216 op, 976604700.00 ns, 58.2102 ns/op",23243466115895,35390.625,2801,9616.8922,0,0,150,150,150,4939144,419192,58732544
"WorkloadActual   5: 16777216 op, 92155800.00 ns, 5.4929 ns/op",23243467196139,35500,2801,9616.8922,0,0,154,154,154,4951480,419344,58654720
"WorkloadActual   6: 16777216 op, 95947100.00 ns, 5.7189 ns/op",23243468313534,35609.375,2801,9616.8922,0,0,158,158,158,4963800,419488,58675200
"WorkloadActual   7: 16777216 op, 94494100.00 ns, 5.6323 ns/op",23243469417274,35718.75,2801,9616.8922,0,0,162,162,162,4976120,419632,58687488
"WorkloadActual   8: 16777216 op, 96862700.00 ns, 5.7735 ns/op",23243470552263,35828.125,2801,9616.8922,0,0,166,166,166,4988440,419776,58707968
"WorkloadActual   9: 16777216 op, 95137700.00 ns, 5.6706 ns/op",23243471661740,35937.5,2801,9616.8922,0,0,170,170,170,5000760,419920,58720256
"WorkloadActual  10: 16777216 op, 81428800.00 ns, 4.8535 ns/op",23243472647216,36031.25,2801,9616.8922,0,0,174,174,174,5013080,420064,58736640
"WorkloadActual  11: 16777216 op, 58833100.00 ns, 3.5067 ns/op",23243473366204,36109.375,2801,9616.8922,0,0,178,178,178,5025368,420208,58748928
"WorkloadActual  12: 16777216 op, 57869800.00 ns, 3.4493 ns/op",23243474066182,36187.5,2801,9616.8922,0,0,182,182,182,5037656,420352,58769408
"WorkloadActual  13: 16777216 op, 58154600.00 ns, 3.4663 ns/op",23243474782749,36250,2801,9616.8922,0,0,186,186,186,5049944,420496,58781696
"WorkloadActual  14: 16777216 op, 58559600.00 ns, 3.4904 ns/op",23243475497502,36328.125,2801,9616.8922,0,0,190,190,190,5062232,420640,58798080
"WorkloadActual  15: 16777216 op, 58826500.00 ns, 3.5063 ns/op",23243476253883,36406.25,2801,9616.8922,0,0,194,194,194,5074520,420784,58810368
