workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 140000.00 ns, 140.0000 us/op",23244216019168,19828.125,2461,190.3995,0,0,10,10,10,4602528,438280,60325888
"WorkloadWarmup   1: 16777216 op, 1496211600.00 ns, 89.1812 ns/op",23244236277608,21843.75,2556,196.1209,0,0,106,106,106,4780400,440880,55070720
"WorkloadWarmup   2: 16777216 op, 1530681000.00 ns, 91.2357 ns/op",23244251688752,23343.75,2556,196.1209,0,0,110,110,110,4792736,441032,55087104
"WorkloadWarmup   3: 16777216 op, 1499784600.00 ns, 89.3941 ns/op",23244266805402,24859.375,2556,196.1209,0,0,114,114,114,4805072,441184,54644736
"WorkloadWarmup   4: 16777216 op, 1442455200.00 ns, 85.9770 ns/op",23244281347771,26296.875,2566,197.8654,0,0,118,118,118,4817408,441336,54910976
"WorkloadWarmup   5: 16777216 op, 1474457000.00 ns, 87.8845 ns/op",23244296198573,27718.75,2566,197.8654,0,0,122,122,122,4829744,441488,54927360
"WorkloadWarmup   6: 16777216 op, 1525932300.00 ns, 90.9527 ns/op",23244311568443,29265.625,2654,2759.5896,0,0,126,126,126,4842128,441688,56053760
"WorkloadWarmup   7: 16777216 op, 1565389600.00 ns, 93.3045 ns/op",23244327338043,30828.125,2654,2759.5896,0,0,130,130,130,4854464,418544,56094720
"WorkloadWarmup   8: 16777216 op, 1593652400.00 ns, 94.9891 ns/op",23244343386407,32437.5,2740,6117.911,0,0,134,134,134,4866800,418696,58449920
"WorkloadWarmup   9: 16777216 op, 1623064300.00 ns, 96.7422 ns/op",23244359727311,34062.5,2740,6117.911,0,0,138,138,138,4881440,418848,58400768
"WorkloadWarmup  10: 16777216 op, 1578322600.00 ns, 94.0754 ns/op",23244375630220,35578.125,2741,8643.4971,0,0,142,142,142,4893776,419000,58425344
"WorkloadActual   1: 16777216 op, 1599083900.00 ns, 95.3128 ns/op",23244391753216,37140.625,2745,8643.7777,0,0,146,146,146,4908296,420112,56180736
"WorkloadActual   2: 16777216 op, 1582812600.00 ns, 94.3430 ns/op",23244407706799,38718.75,2745,8643.7777,0,0,150,150,150,4920632,420264,55918592
"WorkloadActual   3: 16777216 op, 1589208000.00 ns, 94.7242 ns/op",23244423710163,40281.25,2745,8643.7777,0,0,154,154,154,4932968,420416,55664640
"WorkloadActual   4: 16777216 op, 848034900.00 ns, 50.5468 ns/op",23244432334859,41140.625,2845,8667.7272,0,0,158,158,158,4945304,420568,57225216
"WorkloadActual   5: 16777216 op, 80311800.00 ns, 4.7870 ns/op",23244433261500,41218.75,2845,8667.7272,0,0,162,162,162,4957640,420720,57249792
"WorkloadActual   6: 16777216 op, 80651900.00 ns, 4.8072 ns/op",23244434186734,41312.5,2845,8667.7272,0,0,166,166,166,4969960,420864,57266176
"WorkloadActual   7: 16777216 op, 81039600.00 ns, 4.8303 ns/op",23244435121368,41406.25,2845,8667.7272,0,0,170,170,170,4982280,421008,57282560
"WorkloadActual   8: 16777216 op, 81750400.00 ns, 4.8727 ns/op",23244436066301,41500,2845,8667.7272,0,0,174,174,174,4994600,421152,57298944
"WorkloadActual   9: 16777216 op, 81845900.00 ns, 4.8784 ns/op",23244437001598,41593.75,2845,8667.7272,0,0,178,178,178,5006920,421296,57315328
"WorkloadActual  10: 16777216 op, 81948600.00 ns, 4.8845 ns/op",23244437955985,41687.5,2845,8667.7272,0,0,182,182,182,5019240,421440,57335808
"WorkloadActual  11: 16777216 op, 81766000.00 ns, 4.8736 ns/op",23244438904570,41781.25,2845,8667.7272,0,0,186,186,186,5031528,421584,57352192
"WorkloadActual  12: 16777216 op, 80696800.00 ns, 4.8099 ns/op",23244439835882,41875,2845,8667.7272,0,0,190,190,190,5043816,421728,57368576
"WorkloadActual  13: 16777216 op, 80953200.00 ns, 4.8252 ns/op",23244440777713,41968.75,2845,8667.7272,0,0,194,194,194,5056104,421872,57384960
"WorkloadActual  14: 16777216 op, 81691600.00 ns, 4.8692 ns/op",23244441737202,42078.125,2845,8667.7272,0,0,198,198,198,5068392,422016,57401344
"WorkloadActual  15: 16777216 op, 81258000.00 ns, 4.8434 ns/op",23244442673848,42171.875,2845,8667.7272,0,0,202,202,202,5080680,422160,57417728
