workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 143100.00 ns, 143.1000 us/op",23246302341272,19796.875,2456,192.6715,11,0,10,10,10,4614960,449584,59727872
"WorkloadWarmup   1: 67108864 op, 129466500.00 ns, 1.9292 ns/op",23246325727414,22109.375,2551,198.8309,11,0,114,114,114,4869136,456192,55750656
"WorkloadWarmup   2: 67108864 op, 128821500.00 ns, 1.9196 ns/op",23246327144788,22250,2551,198.8309,0,0,118,118,118,4878576,440528,55480320
"WorkloadWarmup   3: 67108864 op, 129198600.00 ns, 1.9252 ns/op",23246328562179,22390.625,2551,198.8309,0,0,122,122,122,4890904,440000,55226368
"WorkloadWarmup   4: 67108864 op, 129785300.00 ns, 1.9340 ns/op",23246329986726,22531.25,2551,198.8309,0,0,126,126,126,4903232,440152,55246848
"WorkloadWarmup   5: 67108864 op, 129276100.00 ns, 1.9264 ns/op",23246331418765,22687.5,2551,198.8309,0,0,130,130,130,4915560,440304,55259136
"WorkloadWarmup   6: 67108864 op, 130471900.00 ns, 1.9442 ns/op",23246332842617,22812.5,2551,198.8309,0,0,134,134,134,4927888,440456,55279616
"WorkloadWarmup   7: 67108864 op, 130053900.00 ns, 1.9380 ns/op",23246334281948,22937.5,2551,198.8309,0,0,138,138,138,4940216,440608,55312384
"WorkloadWarmup   8: 67108864 op, 128583700.00 ns, 1.9160 ns/op",23246335696861,23078.125,2551,198.8309,0,0,142,142,142,4952544,440760,55332864
"WorkloadWarmup   9: 67108864 op, 129031700.00 ns, 1.9227 ns/op",23246337108535,23218.75,2551,198.8309,0,0,146,146,146,4964872,440912,55345152
"WorkloadWarmup  10: 67108864 op, 128822600.00 ns, 1.9196 ns/op",23246338523215,23359.375,2551,198.8309,0,0,150,150,150,4977200,441064,55365632
"WorkloadActual   1: 67108864 op, 130712200.00 ns, 1.9478 ns/op",23246340013863,23515.625,2555,199.1446,0,0,154,154,154,4991840,442240,55373824
"WorkloadActual   2: 67108864 op, 130028900.00 ns, 1.9376 ns/op",23246341438569,23656.25,2555,199.1446,0,0,158,158,158,5004168,442392,55386112
"WorkloadActual   3: 67108864 op, 129893600.00 ns, 1.9356 ns/op",23246342865497,23796.875,2555,199.1446,0,0,162,162,162,5016496,442544,55078912
"WorkloadActual   4: 67108864 op, 130159900.00 ns, 1.9395 ns/op",23246344286544,23937.5,2555,199.1446,0,0,166,166,166,5028824,442696,55091200
"WorkloadActual   5: 67108864 op, 130767600.00 ns, 1.9486 ns/op",23246345736872,24078.125,2555,199.1446,0,0,170,170,170,5041152,442848,55111680
"WorkloadActual   6: 67108864 op, 130387200.00 ns, 1.9429 ns/op",23246347169614,24203.125,2555,199.1446,0,0,174,174,174,5053480,443000,55123968
"WorkloadActual   7: 67108864 op, 129052700.00 ns, 1.9230 ns/op",23246348580519,24343.75,2555,199.1446,0,0,178,178,178,5065808,443152,55144448
"WorkloadActual   8: 67108864 op, 130358200.00 ns, 1.9425 ns/op",23246350018451,24500,2555,199.1446,0,0,182,182,182,5078136,443304,55156736
"WorkloadActual   9: 67108864 op, 141351100.00 ns, 2.1063 ns/op",23246351608673,24656.25,2555,199.1446,0,0,186,186,186,5090464,443456,55185408
"WorkloadActual  10: 67108864 op, 150767300.00 ns, 2.2466 ns/op",23246353279373,24812.5,2555,199.1446,0,0,190,190,190,5102792,443608,55197696
"WorkloadActual  11: 67108864 op, 131113800.00 ns, 1.9537 ns/op",23246354726180,24953.125,2555,199.1446,0,0,194,194,194,5115088,443760,55218176
"WorkloadActual  12: 67108864 op, 129765800.00 ns, 1.9337 ns/op",23246356139544,25078.125,2555,199.1446,0,0,198,198,198,5127384,443912,55234560
"WorkloadActual  13: 67108864 op, 129225700.00 ns, 1.9256 ns/op",23246357549627,25218.75,2555,199.1446,0,0,202,202,202,5139680,444064,55255040
"WorkloadActual  14: 67108864 op, 129444500.00 ns, 1.9289 ns/op",23246358978909,25359.375,2555,199.1446,0,0,206,206,206,5151976,444216,55267328
"WorkloadActual  15: 67108864 op, 128770300.00 ns, 1.9188 ns/op",23246360381143,25500,2555,199.1446,0,0,210,210,210,5164272,444368,55287808
