workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 144500.00 ns, 144.5000 us/op",23245647682680,20187.5,2455,188.7143,3,0,10,10,10,4593128,440320,59617280
"WorkloadWarmup   1: 67108864 op, 1972561000.00 ns, 29.3934 ns/op",23245685937334,24000,2550,194.7073,0,0,98,98,98,4818496,445976,55123968
"WorkloadWarmup   2: 67108864 op, 1967902500.00 ns, 29.3240 ns/op",23245705750895,25984.375,2550,194.7073,0,0,102,102,102,4830832,445960,55083008
"WorkloadWarmup   3: 67108864 op, 1966026900.00 ns, 29.2961 ns/op",23245725532852,27968.75,2550,194.7073,0,0,106,106,106,4843168,446112,54640640
"WorkloadWarmup   4: 67108864 op, 3517658900.00 ns, 52.4172 ns/op",23245760845769,31484.375,2720,245.5083,0,0,110,110,110,4855552,423016,56885248
"WorkloadWarmup   5: 67108864 op, 3686492900.00 ns, 54.9330 ns/op",23245797960676,35187.5,2721,2649.0805,0,0,114,114,114,4867888,423168,55820288
"WorkloadWarmup   6: 67108864 op, 1118192900.00 ns, 16.6624 ns/op",23245809311729,36328.125,2782,2674.7242,0,0,118,118,118,4880224,423320,58544128
"WorkloadWarmup   7: 67108864 op, 132496900.00 ns, 1.9744 ns/op",23245810895789,36468.75,2782,2674.7242,0,0,122,122,122,4892560,423472,58556416
"WorkloadWarmup   8: 67108864 op, 116435600.00 ns, 1.7350 ns/op",23245812200689,36609.375,2782,2674.7242,0,0,126,126,126,4904888,423624,58576896
"WorkloadWarmup   9: 67108864 op, 117485300.00 ns, 1.7507 ns/op",23245813524124,36734.375,2782,2674.7242,0,0,130,130,130,4917216,423776,58593280
"WorkloadWarmup  10: 67108864 op, 116851900.00 ns, 1.7412 ns/op",23245814826729,36843.75,2782,2674.7242,0,0,134,134,134,4929544,423928,58613760
"WorkloadActual   1: 67108864 op, 116604400.00 ns, 1.7375 ns/op",23245816163008,36984.375,2786,2675.1508,0,0,138,138,138,4943928,424976,58626048
"WorkloadActual   2: 67108864 op, 116311600.00 ns, 1.7332 ns/op",23245817465070,37109.375,2786,2675.1508,0,0,142,142,142,4956256,425128,58535936
"WorkloadActual   3: 67108864 op, 117370300.00 ns, 1.7490 ns/op",23245818798268,37250,2786,2675.1508,0,0,146,146,146,4968584,425280,58556416
"WorkloadActual   4: 67108864 op, 116734500.00 ns, 1.7395 ns/op",23245820118554,37375,2786,2675.1508,0,0,150,150,150,4980912,425432,58572800
"WorkloadActual   5: 67108864 op, 117051000.00 ns, 1.7442 ns/op",23245821424236,37515.625,2786,2675.1508,0,0,154,154,154,4993240,425584,58593280
"WorkloadActual   6: 67108864 op, 117260900.00 ns, 1.7473 ns/op",23245822731223,37640.625,2786,2675.1508,0,0,158,158,158,5005568,425736,58605568
"WorkloadActual   7: 67108864 op, 116794400.00 ns, 1.7404 ns/op",23245824050667,37765.625,2786,2675.1508,0,0,162,162,162,5017896,425888,58626048
"WorkloadActual   8: 67108864 op, 116796300.00 ns, 1.7404 ns/op",23245825356029,37906.25,2786,2675.1508,0,0,166,166,166,5030224,426040,58638336
"WorkloadActual   9: 67108864 op, 116324000.00 ns, 1.7334 ns/op",23245826639761,38031.25,2786,2675.1508,0,0,170,170,170,5042552,426192,58658816
"WorkloadActual  10: 67108864 op, 116042000.00 ns, 1.7292 ns/op",23245827929315,38156.25,2786,2675.1508,0,0,174,174,174,5054880,426344,58671104
"WorkloadActual  11: 67108864 op, 116628500.00 ns, 1.7379 ns/op",23245829212272,38281.25,2786,2675.1508,0,0,178,178,178,5067176,426496,58691584
"WorkloadActual  12: 67108864 op, 116408700.00 ns, 1.7346 ns/op",23245830491634,38421.875,2786,2675.1508,0,0,182,182,182,5079472,426648,58703872
"WorkloadActual  13: 67108864 op, 116764600.00 ns, 1.7399 ns/op",23245831808471,38546.875,2786,2675.1508,0,0,186,186,186,5091768,426800,58724352
"WorkloadActual  14: 67108864 op, 115606000.00 ns, 1.7227 ns/op",23245833084442,38671.875,2786,2675.1508,0,0,190,190,190,5104064,426952,58736640
"WorkloadActual  15: 67108864 op, 115353300.00 ns, 1.7189 ns/op",23245834355027,38796.875,2786,2675.1508,0,0,194,194,194,5116360,427104,58757120
