workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 159200.00 ns, 159.2000 us/op",23244892681323,20046.875,2457,195.7745,10,0,10,10,10,4605600,447432,60178432
"WorkloadWarmup   1: 16777216 op, 740531900.00 ns, 44.1391 ns/op",23244905062490,21265.625,2552,202.3659,10,0,98,98,98,4770528,450608,60444672
"WorkloadWarmup   2: 16777216 op, 741218200.00 ns, 44.1800 ns/op",23244912616070,22015.625,2552,202.3659,10,0,102,102,102,4783504,450760,55750656
"WorkloadWarmup   3: 16777216 op, 740621500.00 ns, 44.1445 ns/op",23244920161925,22765.625,2552,202.3659,0,0,106,106,106,4797072,440416,55386112
"WorkloadWarmup   4: 16777216 op, 739488600.00 ns, 44.0770 ns/op",23244927683225,23515.625,2552,202.3659,0,0,110,110,110,4809408,439952,55394304
"WorkloadWarmup   5: 16777216 op, 739312400.00 ns, 44.0665 ns/op",23244935205227,24265.625,2552,202.3659,0,0,114,114,114,4821744,440104,54943744
"WorkloadWarmup   6: 16777216 op, 739611400.00 ns, 44.0843 ns/op",23244942737562,25015.625,2552,202.3659,0,0,118,118,118,4834080,440256,54960128
"WorkloadWarmup   7: 16777216 op, 939273900.00 ns, 55.9851 ns/op",23244952273027,25890.625,2619,221.7059,0,0,122,122,122,4846464,440456,56315904
"WorkloadWarmup   8: 16777216 op, 1391864300.00 ns, 82.9616 ns/op",23244966329523,27234.375,2619,221.7059,0,0,126,126,126,4858800,440608,56352768
"WorkloadWarmup   9: 16777216 op, 1345058600.00 ns, 80.1717 ns/op",23244979912722,28578.125,2722,252.7963,0,0,130,130,130,4871136,440760,57188352
"WorkloadWarmup  10: 16777216 op, 1215582400.00 ns, 72.4544 ns/op",23244992207818,29812.5,2722,252.7963,0,0,134,134,134,4883472,440912,57167872
"WorkloadActual   1: 16777216 op, 1214418400.00 ns, 72.3850 ns/op",23245004489619,31015.625,2727,2679.6,0,0,138,138,138,4897864,418664,57253888
"WorkloadActual   2: 16777216 op, 1215244500.00 ns, 72.4342 ns/op",23245016770717,32234.375,2727,2679.6,0,0,142,142,142,4910200,418816,57278464
"WorkloadActual   3: 16777216 op, 897981500.00 ns, 53.5239 ns/op",23245025868702,33125,2842,2711.0162,0,0,146,146,146,4922536,418968,58970112
"WorkloadActual   4: 16777216 op, 147044700.00 ns, 8.7645 ns/op",23245027471362,33281.25,2842,2711.0162,0,0,150,150,150,4934872,419120,58916864
"WorkloadActual   5: 16777216 op, 147697000.00 ns, 8.8034 ns/op",23245029083752,33453.125,2842,2711.0162,0,0,154,154,154,4947200,419272,58933248
"WorkloadActual   6: 16777216 op, 146834600.00 ns, 8.7520 ns/op",23245030673347,33593.75,2842,2711.0162,0,0,158,158,158,4959528,419424,58949632
"WorkloadActual   7: 16777216 op, 147577600.00 ns, 8.7963 ns/op",23245032262056,33750,2842,2711.0162,0,0,162,162,162,4971856,419576,58966016
"WorkloadActual   8: 16777216 op, 147471300.00 ns, 8.7900 ns/op",23245033863650,33906.25,2842,2711.0162,0,0,166,166,166,4984184,419728,58982400
"WorkloadActual   9: 16777216 op, 147573100.00 ns, 8.7960 ns/op",23245035460402,34062.5,2842,2711.0162,0,0,170,170,170,4996512,419880,58998784
"WorkloadActual  10: 16777216 op, 147068900.00 ns, 8.7660 ns/op",23245037063724,34234.375,2842,2711.0162,0,0,174,174,174,5008840,420032,59015168
"WorkloadActual  11: 16777216 op, 147323000.00 ns, 8.7811 ns/op",23245038668493,34390.625,2842,2711.0162,0,0,178,178,178,5021136,420184,59031552
"WorkloadActual  12: 16777216 op, 148708900.00 ns, 8.8637 ns/op",23245040272719,34546.875,2842,2711.0162,0,0,182,182,182,5033432,420336,59047936
"WorkloadActual  13: 16777216 op, 148090200.00 ns, 8.8269 ns/op",23245041891686,34718.75,2842,2711.0162,0,0,186,186,186,5045728,420488,59064320
"WorkloadActual  14: 16777216 op, 147908100.00 ns, 8.8160 ns/op",23245043512528,34875,2842,2711.0162,0,0,190,190,190,5058024,420640,59080704
"WorkloadActual  15: 16777216 op, 148008800.00 ns, 8.8220 ns/op",23245045118751,35031.25,2842,2711.0162,0,0,194,194,194,5070320,420792,59101184
