workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 140900.00 ns, 140.9000 us/op",23241308414076,19968.75,2495,197.9907,13,0,10,10,10,4617144,450680,59867136
"WorkloadWarmup   1: 16777216 op, 104963100.00 ns, 6.2563 ns/op",23241316160976,20734.375,2590,203.9428,13,0,122,122,122,4823176,454400,60157952
"WorkloadWarmup   2: 16777216 op, 103195600.00 ns, 6.1509 ns/op",23241317340617,20843.75,2590,203.9428,13,0,126,126,126,4836336,454552,60174336
"WorkloadWarmup   3: 16777216 op, 103873100.00 ns, 6.1913 ns/op",23241318530998,20968.75,2590,203.9428,13,0,130,130,130,4849496,454704,60186624
"WorkloadWarmup   4: 16777216 op, 65960900.00 ns, 3.9316 ns/op",23241319334812,21046.875,2590,203.9428,13,0,134,134,134,4862656,454856,60207104
"WorkloadWarmup   5: 16777216 op, 65734900.00 ns, 3.9181 ns/op",23241320109854,21125,2590,203.9428,13,0,138,138,138,4875808,455000,60219392
"WorkloadWarmup   6: 16777216 op, 64580800.00 ns, 3.8493 ns/op",23241320888903,21203.125,2590,203.9428,13,0,142,142,142,4888960,455144,60239872
"WorkloadWarmup   7: 16777216 op, 64247200.00 ns, 3.8294 ns/op",23241321640408,21281.25,2590,203.9428,13,0,146,146,146,4902112,455288,60252160
"WorkloadWarmup   8: 16777216 op, 64680500.00 ns, 3.8553 ns/op",23241322397268,21359.375,2590,203.9428,13,0,150,150,150,4915264,455432,60272640
"WorkloadWarmup   9: 16777216 op, 65153400.00 ns, 3.8834 ns/op",23241323159890,21437.5,2590,203.9428,13,0,154,154,154,4928416,455576,60284928
"WorkloadWarmup  10: 16777216 op, 64019300.00 ns, 3.8158 ns/op",23241323909680,21515.625,2590,203.9428,13,0,158,158,158,4941568,455720,60321792
"WorkloadActual   1: 16777216 op, 63956300.00 ns, 3.8121 ns/op",23241324658960,21578.125,2594,204.1948,13,0,162,162,162,4957160,456952,60338176
"WorkloadActual   2: 16777216 op, 63884000.00 ns, 3.8078 ns/op",23241325405839,21656.25,2594,204.1948,13,0,166,166,166,4970312,457096,60354560
"WorkloadActual   3: 16777216 op, 64936800.00 ns, 3.8705 ns/op",23241326172727,21734.375,2594,204.1948,13,0,170,170,170,4983464,457240,60366848
"WorkloadActual   4: 16777216 op, 64316700.00 ns, 3.8336 ns/op",23241326929369,21812.5,2594,204.1948,13,0,174,174,174,4996616,457384,60387328
"WorkloadActual   5: 16777216 op, 64229100.00 ns, 3.8284 ns/op",23241327675855,21890.625,2594,204.1948,13,0,178,178,178,5009768,457528,60399616
"WorkloadActual   6: 16777216 op, 64400000.00 ns, 3.8385 ns/op",23241328436683,21953.125,2594,204.1948,13,0,182,182,182,5022920,457672,55967744
"WorkloadActual   7: 16777216 op, 65430400.00 ns, 3.9000 ns/op",23241329203160,22031.25,2594,204.1948,13,0,186,186,186,5036072,457816,55980032
"WorkloadActual   8: 16777216 op, 65511100.00 ns, 3.9048 ns/op",23241329973073,22109.375,2594,204.1948,13,0,190,190,190,5049224,457960,56000512
"WorkloadActual   9: 16777216 op, 63989000.00 ns, 3.8140 ns/op",23241330716575,22187.5,2594,204.1948,13,0,194,194,194,5062376,458104,56016896
"WorkloadActual  10: 16777216 op, 64298000.00 ns, 3.8325 ns/op",23241331471426,22265.625,2594,204.1948,13,0,198,198,198,5075528,458248,56037376
"WorkloadActual  11: 16777216 op, 65375200.00 ns, 3.8967 ns/op",23241332238569,22343.75,2594,204.1948,13,0,202,202,202,5088648,458392,56049664
"WorkloadActual  12: 16777216 op, 65086300.00 ns, 3.8794 ns/op",23241332992493,22421.875,2594,204.1948,13,0,206,206,206,5101768,458536,56070144
"WorkloadActual  13: 16777216 op, 64511100.00 ns, 3.8452 ns/op",23241333749454,22484.375,2594,204.1948,1,0,210,210,210,5115768,446104,55808000
"WorkloadActual  14: 16777216 op, 64529500.00 ns, 3.8463 ns/op",23241334502686,22562.5,2594,204.1948,1,0,214,214,214,5128120,445504,55832576
"WorkloadActual  15: 16777216 op, 63912300.00 ns, 3.8095 ns/op",23241335266174,22640.625,2594,204.1948,1,0,218,218,218,5140472,445648,55853056
