workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 154600.00 ns, 154.6000 us/op",23240050596189,19984.375,2429,1355.404,9,0,10,10,10,4606456,446464,59977728
"WorkloadWarmup   1: 16777216 op, 1081687300.00 ns, 64.4736 ns/op",23240066384333,21546.875,2524,1361.9022,9,0,98,98,98,4771320,449576,60272640
"WorkloadWarmup   2: 16777216 op, 1089849900.00 ns, 64.9601 ns/op",23240077410584,22640.625,2525,6349.0221,0,0,102,102,102,4784736,440272,55287808
"WorkloadWarmup   3: 16777216 op, 1106966600.00 ns, 65.9804 ns/op",23240088622110,23750,2525,6349.0221,0,0,106,106,106,4797072,439872,55312384
"WorkloadWarmup   4: 16777216 op, 1072394600.00 ns, 63.9197 ns/op",23240099482095,24812.5,2525,6349.0221,0,0,110,110,110,4809408,440024,54636544
"WorkloadWarmup   5: 16777216 op, 1061519800.00 ns, 63.2715 ns/op",23240110212493,25890.625,2525,6349.0221,0,0,114,114,114,4821744,440176,54652928
"WorkloadWarmup   6: 16777216 op, 1063992400.00 ns, 63.4189 ns/op",23240120969024,26921.875,2525,6349.0221,0,0,118,118,118,4834080,440328,54669312
"WorkloadWarmup   7: 16777216 op, 1022718900.00 ns, 60.9588 ns/op",23240131312090,27937.5,2584,6368.6337,0,0,122,122,122,4846440,440504,56082432
"WorkloadWarmup   8: 16777216 op, 943334300.00 ns, 56.2271 ns/op",23240140863471,28875,2584,6368.6337,0,0,126,126,126,4858776,440656,56111104
"WorkloadWarmup   9: 16777216 op, 970054700.00 ns, 57.8198 ns/op",23240150681708,29781.25,2585,6368.9337,0,0,130,130,130,4871112,417512,56107008
"WorkloadWarmup  10: 16777216 op, 939971700.00 ns, 56.0267 ns/op",23240160197066,30718.75,2585,6368.9337,0,0,134,134,134,4883448,417664,55488512
"WorkloadActual   1: 16777216 op, 939147000.00 ns, 55.9775 ns/op",23240169700513,31671.875,2589,6369.2078,0,0,138,138,138,4897840,418712,55513088
"WorkloadActual   2: 16777216 op, 941956600.00 ns, 56.1450 ns/op",23240179244909,32546.875,2590,9631.8803,0,0,142,142,142,4910176,418864,55537664
"WorkloadActual   3: 16777216 op, 941013300.00 ns, 56.0888 ns/op",23240188758838,33500,2590,9631.8803,0,0,146,146,146,4922512,419016,55287808
"WorkloadActual   4: 16777216 op, 941093800.00 ns, 56.0936 ns/op",23240198279989,34421.875,2590,9631.8803,0,0,150,150,150,4934848,419168,55300096
"WorkloadActual   5: 16777216 op, 1128341300.00 ns, 67.2544 ns/op",23240209686441,35531.25,2720,9664.8567,0,0,154,154,154,4947208,419344,56672256
"WorkloadActual   6: 16777216 op, 1201110200.00 ns, 71.5917 ns/op",23240221814441,36734.375,2720,9664.8567,0,0,158,158,158,4959544,419496,56614912
"WorkloadActual   7: 16777216 op, 1202361400.00 ns, 71.6663 ns/op",23240233951242,37921.875,2721,12014.231,0,0,162,162,162,4971880,419648,56332288
"WorkloadActual   8: 16777216 op, 1209607600.00 ns, 72.0982 ns/op",23240246159194,39109.375,2721,12014.231,0,0,166,166,166,4984216,419800,56348672
"WorkloadActual   9: 16777216 op, 978209500.00 ns, 58.3058 ns/op",23240256111626,40109.375,2846,12270.3307,0,0,170,170,170,4996552,419952,59097088
"WorkloadActual  10: 16777216 op, 394562300.00 ns, 23.5177 ns/op",23240260165529,40500,2846,12270.3307,0,0,174,174,174,5008888,420104,59117568
"WorkloadActual  11: 16777216 op, 395752200.00 ns, 23.5887 ns/op",23240264231926,40906.25,2846,12270.3307,0,0,178,178,178,5021192,420256,59133952
"WorkloadActual  12: 16777216 op, 402944600.00 ns, 24.0174 ns/op",23240268393786,41312.5,2846,12270.3307,0,0,182,182,182,5033496,420408,59154432
"WorkloadActual  13: 16777216 op, 401408000.00 ns, 23.9258 ns/op",23240272550902,41734.375,2846,12270.3307,0,0,186,186,186,5045800,420560,59170816
"WorkloadActual  14: 16777216 op, 396748300.00 ns, 23.6480 ns/op",23240276633660,42140.625,2846,12270.3307,0,0,190,190,190,5058104,420712,57110528
"WorkloadActual  15: 16777216 op, 194606600.00 ns, 11.5995 ns/op",23240278694568,42343.75,2847,14515.2273,0,0,194,194,194,5070408,420864,57131008
