workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 143500.00 ns, 143.5000 us/op",23242774039355,20156.25,2474,4377.7644,9,0,10,10,10,4606480,446520,59559936
"WorkloadWarmup   1: 16777216 op, 148040900.00 ns, 8.8239 ns/op",23242780156814,20750,2569,4384.1873,9,0,94,94,94,4764584,449600,59826176
"WorkloadWarmup   2: 16777216 op, 148076700.00 ns, 8.8261 ns/op",23242781746869,20921.875,2569,4384.1873,9,0,98,98,98,4777488,449752,59830272
"WorkloadWarmup   3: 16777216 op, 147665600.00 ns, 8.8016 ns/op",23242783332122,21078.125,2569,4384.1873,9,0,102,102,102,4790392,449904,59846656
"WorkloadWarmup   4: 16777216 op, 149897200.00 ns, 8.9346 ns/op",23242784952830,21234.375,2569,4384.1873,9,0,106,106,106,4803296,450056,59863040
"WorkloadWarmup   5: 16777216 op, 150734500.00 ns, 8.9845 ns/op",23242786584394,21406.25,2569,4384.1873,9,0,110,110,110,4816200,450208,59879424
"WorkloadWarmup   6: 16777216 op, 148595800.00 ns, 8.8570 ns/op",23242788183766,21546.875,2569,4384.1873,8,0,114,114,114,4829272,449320,59904000
"WorkloadWarmup   7: 16777216 op, 150119600.00 ns, 8.9478 ns/op",23242789804760,21703.125,2569,4384.1873,8,0,118,118,118,4842112,449432,59928576
"WorkloadWarmup   8: 16777216 op, 150455600.00 ns, 8.9679 ns/op",23242791425318,21875,2569,4384.1873,8,0,122,122,122,4854952,449584,59944960
"WorkloadWarmup   9: 16777216 op, 148583900.00 ns, 8.8563 ns/op",23242793024124,22031.25,2569,4384.1873,8,0,126,126,126,4867792,449736,59961344
"WorkloadWarmup  10: 16777216 op, 149462900.00 ns, 8.9087 ns/op",23242794640330,22187.5,2569,4384.1873,8,0,130,130,130,4880632,449888,55738368
"WorkloadActual   1: 16777216 op, 202838700.00 ns, 12.0901 ns/op",23242796784335,22390.625,2573,4384.5054,0,0,134,134,134,4895800,442464,55541760
"WorkloadActual   2: 16777216 op, 171584300.00 ns, 10.2272 ns/op",23242798649574,22578.125,2573,4384.5054,0,0,138,138,138,4908136,442128,55566336
"WorkloadActual   3: 16777216 op, 166028700.00 ns, 9.8961 ns/op",23242800422244,22750,2624,4398.8888,0,0,142,142,142,4920520,442328,56352768
"WorkloadActual   4: 16777216 op, 149261300.00 ns, 8.8967 ns/op",23242802035236,22906.25,2624,4398.8888,0,0,146,146,146,4932848,442480,56381440
"WorkloadActual   5: 16777216 op, 148411700.00 ns, 8.8460 ns/op",23242803635445,23062.5,2624,4398.8888,0,0,150,150,150,4945176,442632,56397824
"WorkloadActual   6: 16777216 op, 148913400.00 ns, 8.8759 ns/op",23242805230844,23218.75,2624,4398.8888,0,0,154,154,154,4957504,442784,56414208
"WorkloadActual   7: 16777216 op, 149635100.00 ns, 8.9189 ns/op",23242806836779,23375,2624,4398.8888,0,0,158,158,158,4969832,442936,56430592
"WorkloadActual   8: 16777216 op, 148331900.00 ns, 8.8413 ns/op",23242808428428,23531.25,2624,4398.8888,0,0,162,162,162,4982160,443088,56446976
"WorkloadActual   9: 16777216 op, 148943000.00 ns, 8.8777 ns/op",23242810025216,23703.125,2624,4398.8888,0,0,166,166,166,4994488,443240,56463360
"WorkloadActual  10: 16777216 op, 149905900.00 ns, 8.9351 ns/op",23242811642031,23859.375,2624,4398.8888,0,0,170,170,170,5006816,443392,56479744
"WorkloadActual  11: 16777216 op, 149982700.00 ns, 8.9397 ns/op",23242813244583,24015.625,2624,4398.8888,0,0,174,174,174,5019112,443544,56496128
"WorkloadActual  12: 16777216 op, 151360100.00 ns, 9.0218 ns/op",23242814868911,24187.5,2624,4398.8888,0,0,178,178,178,5031408,443696,56512512
"WorkloadActual  13: 16777216 op, 149756000.00 ns, 8.9262 ns/op",23242816475098,24343.75,2624,4398.8888,0,0,182,182,182,5043704,443848,56532992
"WorkloadActual  14: 16777216 op, 149176700.00 ns, 8.8916 ns/op",23242818083218,24500,2624,4398.8888,0,0,186,186,186,5056000,444000,56344576
"WorkloadActual  15: 16777216 op, 148113200.00 ns, 8.8282 ns/op",23242819678416,24640.625,2624,4398.8888,0,0,190,190,190,5068296,444152,56360960
