workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 140800.00 ns, 140.8000 us/op",23241968620885,20062.5,2463,193.5939,7,0,10,10,10,4605064,444312,59678720
"WorkloadWarmup   1: 67108864 op, 1928167700.00 ns, 28.7319 ns/op",23242009829495,24140.625,2558,199.5561,0,0,114,114,114,4854864,440088,54853632
"WorkloadWarmup   2: 67108864 op, 2508098100.00 ns, 37.3736 ns/op",23242035019858,26671.875,2642,219.1897,0,0,118,118,118,4867248,439800,56139776
"WorkloadWarmup   3: 67108864 op, 3239641900.00 ns, 48.2744 ns/op",23242067524441,29906.25,2720,250.8139,0,0,122,122,122,4879584,439952,57118720
"WorkloadWarmup   4: 67108864 op, 2999003300.00 ns, 44.6886 ns/op",23242097632752,32906.25,2721,2695.016,0,0,126,126,126,4891920,416808,55762944
"WorkloadWarmup   5: 67108864 op, 277550100.00 ns, 4.1358 ns/op",23242100521441,33203.125,2814,2719.9561,0,0,130,130,130,4904256,416960,58757120
"WorkloadWarmup   6: 67108864 op, 98203600.00 ns, 1.4633 ns/op",23242101612932,33312.5,2814,2719.9561,0,0,134,134,134,4916584,417112,58585088
"WorkloadWarmup   7: 67108864 op, 98288500.00 ns, 1.4646 ns/op",23242102707214,33421.875,2814,2719.9561,0,0,138,138,138,4928904,417256,58605568
"WorkloadWarmup   8: 67108864 op, 97882200.00 ns, 1.4586 ns/op",23242103795719,33531.25,2814,2719.9561,0,0,142,142,142,4941224,417400,58617856
"WorkloadWarmup   9: 67108864 op, 98297600.00 ns, 1.4647 ns/op",23242104903780,33640.625,2814,2719.9561,0,0,146,146,146,4953544,417544,58638336
"WorkloadWarmup  10: 67108864 op, 98086100.00 ns, 1.4616 ns/op",23242106009384,33750,2814,2719.9561,0,0,150,150,150,4965864,417688,58650624
"WorkloadActual   1: 67108864 op, 98245000.00 ns, 1.4640 ns/op",23242107104197,33859.375,2818,2720.2197,0,0,154,154,154,4980496,418856,58658816
"WorkloadActual   2: 67108864 op, 98091800.00 ns, 1.4617 ns/op",23242108199015,33968.75,2818,2720.2197,0,0,158,158,158,4992816,419000,58679296
"WorkloadActual   3: 67108864 op, 98350700.00 ns, 1.4655 ns/op",23242109292509,34078.125,2818,2720.2197,0,0,162,162,162,5005136,419144,58691584
"WorkloadActual   4: 67108864 op, 98668000.00 ns, 1.4703 ns/op",23242110388679,34187.5,2818,2720.2197,0,0,166,166,166,5017456,419288,58712064
"WorkloadActual   5: 67108864 op, 97859400.00 ns, 1.4582 ns/op",23242111474214,34296.875,2818,2720.2197,0,0,170,170,170,5029776,419432,58724352
"WorkloadActual   6: 67108864 op, 98651400.00 ns, 1.4700 ns/op",23242112570577,34406.25,2818,2720.2197,0,0,174,174,174,5042096,419576,58744832
"WorkloadActual   7: 67108864 op, 98829900.00 ns, 1.4727 ns/op",23242113668374,34515.625,2818,2720.2197,0,0,178,178,178,5054416,419720,58761216
"WorkloadActual   8: 67108864 op, 98118900.00 ns, 1.4621 ns/op",23242114758369,34625,2818,2720.2197,0,0,182,182,182,5066736,419864,58781696
"WorkloadActual   9: 67108864 op, 98093400.00 ns, 1.4617 ns/op",23242115848011,34734.375,2818,2720.2197,0,0,186,186,186,5079056,420008,58789888
"WorkloadActual  10: 67108864 op, 98767500.00 ns, 1.4718 ns/op",23242116947552,34843.75,2818,2720.2197,0,0,190,190,190,5091376,420152,58810368
"WorkloadActual  11: 67108864 op, 98587100.00 ns, 1.4691 ns/op",23242118039951,34953.125,2818,2720.2197,0,0,194,194,194,5103664,420296,58822656
"WorkloadActual  12: 67108864 op, 98115100.00 ns, 1.4620 ns/op",23242119135677,35062.5,2818,2720.2197,0,0,198,198,198,5115952,420440,58843136
"WorkloadActual  13: 67108864 op, 99507000.00 ns, 1.4828 ns/op",23242120242536,35171.875,2818,2720.2197,0,0,202,202,202,5128240,420584,58855424
"WorkloadActual  14: 67108864 op, 99414500.00 ns, 1.4814 ns/op",23242121351983,35281.25,2818,2720.2197,0,0,206,206,206,5140528,420728,58875904
"WorkloadActual  15: 67108864 op, 98148200.00 ns, 1.4625 ns/op",23242122443927,35390.625,2818,2720.2197,0,0,210,210,210,5152816,420872,58888192
