workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 139700.00 ns, 139.7000 us/op",23240884703833,20000,2440,6320.3345,12,0,10,10,10,4622104,455016,60309504
"WorkloadWarmup   1: 16777216 op, 1489278700.00 ns, 88.7679 ns/op",23240904639937,21968.75,2535,6326.1147,11,0,102,102,102,4789952,453120,55455744
"WorkloadWarmup   2: 16777216 op, 1492426300.00 ns, 88.9555 ns/op",23240919667452,23453.125,2535,6326.1147,0,0,106,106,106,4803656,441736,55209984
"WorkloadWarmup   3: 16777216 op, 1500601700.00 ns, 89.4428 ns/op",23240934776896,24937.5,2535,6326.1147,0,0,110,110,110,4816056,441208,54607872
"WorkloadWarmup   4: 16777216 op, 1526021500.00 ns, 90.9580 ns/op",23240950171441,26453.125,2588,6346.0858,0,0,114,114,114,4828416,441320,55992320
"WorkloadWarmup   5: 16777216 op, 1455436700.00 ns, 86.7508 ns/op",23240964844398,27906.25,2588,6346.0858,0,0,118,118,118,4840752,441472,56004608
"WorkloadWarmup   6: 16777216 op, 1693016500.00 ns, 100.9116 ns/op",23240981883773,29609.375,2721,6379.4411,0,0,122,122,122,4853112,441648,56774656
"WorkloadWarmup   7: 16777216 op, 1649071900.00 ns, 98.2923 ns/op",23240998482977,31265.625,2721,6379.4411,0,0,126,126,126,4865648,418504,56799232
"WorkloadWarmup   8: 16777216 op, 1638701000.00 ns, 97.6742 ns/op",23241014977109,32890.625,2753,10607.0498,0,0,130,130,130,4877984,418656,58650624
"WorkloadWarmup   9: 16777216 op, 1601397900.00 ns, 95.4508 ns/op",23241031124207,34484.375,2753,10607.0498,0,0,134,134,134,4890320,418808,58667008
"WorkloadWarmup  10: 16777216 op, 1619046100.00 ns, 96.5027 ns/op",23241047430842,36078.125,2753,10607.0498,0,0,138,138,138,4902656,418960,58691584
"WorkloadActual   1: 16777216 op, 1623397800.00 ns, 96.7620 ns/op",23241063853995,37718.75,2757,10607.3884,0,0,142,142,142,4917112,420040,56086528
"WorkloadActual   2: 16777216 op, 1603612500.00 ns, 95.5828 ns/op",23241079990222,39296.875,2757,10607.3884,0,0,146,146,146,4929448,420192,56098816
"WorkloadActual   3: 16777216 op, 669826000.00 ns, 39.9247 ns/op",23241086788800,39953.125,2879,10639.3712,0,0,150,150,150,4941784,420344,57638912
"WorkloadActual   4: 16777216 op, 79996600.00 ns, 4.7682 ns/op",23241087690448,40046.875,2879,10639.3712,0,0,154,154,154,4954120,420496,57573376
"WorkloadActual   5: 16777216 op, 79913900.00 ns, 4.7632 ns/op",23241088601324,40140.625,2879,10639.3712,0,0,158,158,158,4966440,420640,57593856
"WorkloadActual   6: 16777216 op, 79864900.00 ns, 4.7603 ns/op",23241089515206,40218.75,2879,10639.3712,0,0,162,162,162,4978760,420784,57606144
"WorkloadActual   7: 16777216 op, 80049900.00 ns, 4.7713 ns/op",23241090430163,40312.5,2879,10639.3712,0,0,166,166,166,4991080,420928,57626624
"WorkloadActual   8: 16777216 op, 80237600.00 ns, 4.7825 ns/op",23241091340355,40406.25,2879,10639.3712,0,0,170,170,170,5003400,421072,57638912
"WorkloadActual   9: 16777216 op, 80285100.00 ns, 4.7854 ns/op",23241092253823,40500,2879,10639.3712,0,0,174,174,174,5015720,421216,57659392
"WorkloadActual  10: 16777216 op, 79934900.00 ns, 4.7645 ns/op",23241093160604,40593.75,2879,10639.3712,0,0,178,178,178,5028040,421360,57671680
"WorkloadActual  11: 16777216 op, 80010600.00 ns, 4.7690 ns/op",23241094072245,40687.5,2879,10639.3712,0,0,182,182,182,5040328,421504,57692160
"WorkloadActual  12: 16777216 op, 79662300.00 ns, 4.7482 ns/op",23241094977296,40765.625,2879,10639.3712,0,0,186,186,186,5052616,421648,57704448
"WorkloadActual  13: 16777216 op, 79848200.00 ns, 4.7593 ns/op",23241095887544,40859.375,2879,10639.3712,0,0,190,190,190,5064904,421792,57724928
"WorkloadActual  14: 16777216 op, 79908000.00 ns, 4.7629 ns/op",23241096794982,40953.125,2879,10639.3712,0,0,194,194,194,5077192,421936,57737216
"WorkloadActual  15: 16777216 op, 80061500.00 ns, 4.7720 ns/op",23241097705273,41046.875,2879,10639.3712,0,0,198,198,198,5089480,422080,57757696
