workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 138000.00 ns, 138.0000 us/op",23243035089459,19875,2465,2184.1172,10,0,10,10,10,4607560,448824,59449344
"WorkloadWarmup   1: 67108864 op, 146116200.00 ns, 2.1773 ns/op",23243056835346,22015.625,2561,3051.5984,10,0,106,106,106,4839064,452064,55332864
"WorkloadWarmup   2: 67108864 op, 150045300.00 ns, 2.2358 ns/op",23243058552264,22187.5,2561,3051.5984,0,0,110,110,110,4852624,441720,55103488
"WorkloadWarmup   3: 67108864 op, 149527900.00 ns, 2.2281 ns/op",23243060156266,22343.75,2561,3051.5984,0,0,114,114,114,4864952,441256,55115776
"WorkloadWarmup   4: 67108864 op, 145667400.00 ns, 2.1706 ns/op",23243061737970,22515.625,2561,3051.5984,0,0,118,118,118,4877280,441408,55136256
"WorkloadWarmup   5: 67108864 op, 145682500.00 ns, 2.1708 ns/op",23243063303093,22671.875,2561,3051.5984,0,0,122,122,122,4889608,441560,55164928
"WorkloadWarmup   6: 67108864 op, 148809600.00 ns, 2.2174 ns/op",23243064906737,22828.125,2561,3051.5984,0,0,126,126,126,4901936,441712,55189504
"WorkloadWarmup   7: 67108864 op, 149541200.00 ns, 2.2283 ns/op",23243066521730,22984.375,2561,3051.5984,0,0,130,130,130,4914264,441864,55201792
"WorkloadWarmup   8: 67108864 op, 148653000.00 ns, 2.2151 ns/op",23243068134440,23156.25,2561,3051.5984,0,0,134,134,134,4926592,442016,55226368
"WorkloadWarmup   9: 67108864 op, 151920700.00 ns, 2.2638 ns/op",23243069771965,23296.875,2561,3051.5984,0,0,138,138,138,4938920,442168,55242752
"WorkloadWarmup  10: 67108864 op, 151108700.00 ns, 2.2517 ns/op",23243071420689,23468.75,2561,3051.5984,0,0,142,142,142,4951248,442320,55955456
"WorkloadActual   1: 67108864 op, 151216500.00 ns, 2.2533 ns/op",23243073059827,23625,2565,3051.8096,0,0,146,146,146,4965760,443432,55963648
"WorkloadActual   2: 67108864 op, 166977400.00 ns, 2.4882 ns/op",23243074869712,23812.5,2565,3051.8096,0,0,150,150,150,4978088,443584,55975936
"WorkloadActual   3: 67108864 op, 157794800.00 ns, 2.3513 ns/op",23243076618441,23984.375,2565,3051.8096,0,0,154,154,154,4990416,443736,54964224
"WorkloadActual   4: 67108864 op, 164658900.00 ns, 2.4536 ns/op",23243078473039,24156.25,2565,3051.8096,0,0,158,158,158,5002744,443888,54976512
"WorkloadActual   5: 67108864 op, 192401000.00 ns, 2.8670 ns/op",23243080609534,24328.125,2565,3051.8096,0,0,162,162,162,5015072,444040,54996992
"WorkloadActual   6: 67108864 op, 147693700.00 ns, 2.2008 ns/op",23243082201014,24500,2565,3051.8096,0,0,166,166,166,5027400,444192,55009280
"WorkloadActual   7: 67108864 op, 147152700.00 ns, 2.1927 ns/op",23243083797188,24656.25,2565,3051.8096,0,0,170,170,170,5039728,444344,55029760
"WorkloadActual   8: 67108864 op, 143549000.00 ns, 2.1390 ns/op",23243085346889,24812.5,2565,3051.8096,0,0,174,174,174,5052056,444496,55042048
"WorkloadActual   9: 67108864 op, 147074100.00 ns, 2.1916 ns/op",23243086932047,24968.75,2565,3051.8096,0,0,178,178,178,5064384,444648,55066624
"WorkloadActual  10: 67108864 op, 145963800.00 ns, 2.1750 ns/op",23243088505955,25125,2565,3051.8096,0,0,182,182,182,5076712,444800,54943744
"WorkloadActual  11: 67108864 op, 146709400.00 ns, 2.1861 ns/op",23243090091054,25281.25,2565,3051.8096,0,0,186,186,186,5089008,444952,54964224
"WorkloadActual  12: 67108864 op, 147409600.00 ns, 2.1966 ns/op",23243091676068,25437.5,2565,3051.8096,0,0,190,190,190,5101304,445104,54976512
"WorkloadActual  13: 67108864 op, 147161300.00 ns, 2.1929 ns/op",23243093260130,25593.75,2565,3051.8096,0,0,194,194,194,5113600,445256,54996992
"WorkloadActual  14: 67108864 op, 143327500.00 ns, 2.1357 ns/op",23243094809154,25750,2565,3051.8096,0,0,198,198,198,5125896,445408,55009280
"WorkloadActual  15: 67108864 op, 147174900.00 ns, 2.1931 ns/op",23243096396260,25906.25,2565,3051.8096,0,0,202,202,202,5138192,445560,55029760
