workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 140200.00 ns, 140.2000 us/op",23242334212741,20156.25,2462,192.389,1,0,10,10,10,4618648,438168,59817984
"WorkloadWarmup   1: 67108864 op, 2138601200.00 ns, 31.8676 ns/op",23242374404670,24140.625,2557,198.0973,0,0,98,98,98,4831472,439768,55406592
"WorkloadWarmup   2: 67108864 op, 2269309700.00 ns, 33.8153 ns/op",23242397231165,26375,2557,198.0973,0,0,102,102,102,4843808,439816,54763520
"WorkloadWarmup   3: 67108864 op, 2159621500.00 ns, 32.1809 ns/op",23242419011337,28500,2557,198.0973,0,0,106,106,106,4856144,439968,54784000
"WorkloadWarmup   4: 67108864 op, 3511986400.00 ns, 52.3327 ns/op",23242454244059,31921.875,2633,217.643,0,0,110,110,110,4868528,416872,56168448
"WorkloadWarmup   5: 67108864 op, 3973711000.00 ns, 59.2129 ns/op",23242494097063,35796.875,2753,3541.8996,0,0,114,114,114,4880864,417024,58580992
"WorkloadWarmup   6: 67108864 op, 2225775500.00 ns, 33.1666 ns/op",23242516482517,37984.375,2774,3546.0446,0,0,118,118,118,4893200,417176,56459264
"WorkloadWarmup   7: 67108864 op, 113757500.00 ns, 1.6951 ns/op",23242517737119,38109.375,2774,3546.0446,0,0,122,122,122,4905536,417328,56217600
"WorkloadWarmup   8: 67108864 op, 113600600.00 ns, 1.6928 ns/op",23242518992916,38234.375,2774,3546.0446,0,0,126,126,126,4917864,417480,56233984
"WorkloadWarmup   9: 67108864 op, 113614900.00 ns, 1.6930 ns/op",23242520246471,38343.75,2774,3546.0446,0,0,130,130,130,4930192,417632,56250368
"WorkloadWarmup  10: 67108864 op, 113458600.00 ns, 1.6907 ns/op",23242521495572,38468.75,2774,3546.0446,0,0,134,134,134,4942520,417784,56266752
"WorkloadActual   1: 67108864 op, 114829800.00 ns, 1.7111 ns/op",23242522760438,38593.75,2778,3546.327,0,0,138,138,138,4956904,418832,56270848
"WorkloadActual   2: 67108864 op, 113450600.00 ns, 1.6905 ns/op",23242524010628,38718.75,2778,3546.327,0,0,142,142,142,4969232,418984,56287232
"WorkloadActual   3: 67108864 op, 123642400.00 ns, 1.8424 ns/op",23242525368134,38859.375,2778,3546.327,0,0,146,146,146,4981560,419136,56303616
"WorkloadActual   4: 67108864 op, 176047000.00 ns, 2.6233 ns/op",23242527269731,39046.875,2778,3546.327,0,0,150,150,150,4993888,419288,56320000
"WorkloadActual   5: 67108864 op, 175550700.00 ns, 2.6159 ns/op",23242529166045,39234.375,2778,3546.327,0,0,154,154,154,5006216,419440,56336384
"WorkloadActual   6: 67108864 op, 174428100.00 ns, 2.5992 ns/op",23242531057345,39421.875,2778,3546.327,0,0,158,158,158,5018544,419592,56352768
"WorkloadActual   7: 67108864 op, 126447500.00 ns, 1.8842 ns/op",23242532478029,39562.5,2778,3546.327,0,0,162,162,162,5030872,419744,56369152
"WorkloadActual   8: 67108864 op, 113253300.00 ns, 1.6876 ns/op",23242533727541,39687.5,2778,3546.327,0,0,166,166,166,5043200,419896,56385536
"WorkloadActual   9: 67108864 op, 112156300.00 ns, 1.6713 ns/op",23242534964175,39812.5,2778,3546.327,0,0,170,170,170,5055528,420048,56401920
"WorkloadActual  10: 67108864 op, 112866000.00 ns, 1.6818 ns/op",23242536205040,39937.5,2778,3546.327,0,0,174,174,174,5067856,420200,56418304
"WorkloadActual  11: 67108864 op, 113068200.00 ns, 1.6848 ns/op",23242537442388,40062.5,2778,3546.327,0,0,178,178,178,5080152,420352,56434688
"WorkloadActual  12: 67108864 op, 112965100.00 ns, 1.6833 ns/op",23242538681498,40187.5,2778,3546.327,0,0,182,182,182,5092448,420504,56389632
"WorkloadActual  13: 67108864 op, 112023300.00 ns, 1.6693 ns/op",23242539912400,40312.5,2778,3546.327,0,0,186,186,186,5104744,420656,56406016
"WorkloadActual  14: 67108864 op, 113083200.00 ns, 1.6851 ns/op",23242541153118,40437.5,2778,3546.327,0,0,190,190,190,5117040,420808,56422400
"WorkloadActual  15: 67108864 op, 112768400.00 ns, 1.6804 ns/op",23242542387428,40562.5,2778,3546.327,0,0,194,194,194,5129336,420960,56438784
