workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 143100.00 ns, 143.1000 us/op",23240489169885,20078.125,2467,194.3597,10,0,10,10,10,4611240,448552,60182528
"WorkloadWarmup   1: 16777216 op, 1251039500.00 ns, 74.5678 ns/op",23240506950569,21812.5,2562,200.1802,10,0,106,106,106,4789752,451792,60424192
"WorkloadWarmup   2: 16777216 op, 1252816800.00 ns, 74.6737 ns/op",23240519594100,23015.625,2562,200.1802,0,0,110,110,110,4803416,440512,55250944
"WorkloadWarmup   3: 16777216 op, 1195565100.00 ns, 71.2612 ns/op",23240531663433,24218.75,2562,200.1802,0,0,114,114,114,4815752,440048,55021568
"WorkloadWarmup   4: 16777216 op, 1165528800.00 ns, 69.4709 ns/op",23240543435054,25375,2562,200.1802,0,0,118,118,118,4828088,440200,54722560
"WorkloadWarmup   5: 16777216 op, 1388532400.00 ns, 82.7630 ns/op",23240557430510,26765.625,2629,220.4443,0,0,122,122,122,4842776,440400,55914496
"WorkloadWarmup   6: 16777216 op, 1518969200.00 ns, 90.5376 ns/op",23240572734393,28265.625,2714,251.3643,0,0,126,126,126,4855112,440552,56496128
"WorkloadWarmup   7: 16777216 op, 1372073200.00 ns, 81.7819 ns/op",23240586592530,29640.625,2716,1008.3862,0,0,130,130,130,4867448,440704,56483840
"WorkloadWarmup   8: 16777216 op, 1356920500.00 ns, 80.8788 ns/op",23240600283746,30984.375,2716,1008.3862,0,0,134,134,134,4882088,417560,56188928
"WorkloadWarmup   9: 16777216 op, 1373512000.00 ns, 81.8677 ns/op",23240614131885,32359.375,2749,3547.3648,0,0,138,138,138,4894424,417712,58347520
"WorkloadWarmup  10: 16777216 op, 1356128400.00 ns, 80.8316 ns/op",23240627803951,33703.125,2749,3547.3648,0,0,142,142,142,4906760,417864,58347520
"WorkloadActual   1: 16777216 op, 1367204500.00 ns, 81.4917 ns/op",23240641604339,35093.75,2754,6118.4659,0,0,146,146,146,4921280,418976,58429440
"WorkloadActual   2: 16777216 op, 1376892100.00 ns, 82.0692 ns/op",23240655494598,36484.375,2754,6118.4659,0,0,150,150,150,4933616,419128,56217600
"WorkloadActual   3: 16777216 op, 756517500.00 ns, 45.0920 ns/op",23240663172440,37250,2892,6151.6761,0,0,154,154,154,4945952,419280,57442304
"WorkloadActual   4: 16777216 op, 78560700.00 ns, 4.6826 ns/op",23240664077412,37343.75,2892,6151.6761,0,0,158,158,158,4958288,419432,57372672
"WorkloadActual   5: 16777216 op, 78451500.00 ns, 4.6761 ns/op",23240664986734,37421.875,2892,6151.6761,0,0,162,162,162,4970608,419576,57384960
"WorkloadActual   6: 16777216 op, 78279700.00 ns, 4.6658 ns/op",23240665879137,37515.625,2892,6151.6761,0,0,166,166,166,4982928,419720,57405440
"WorkloadActual   7: 16777216 op, 78655500.00 ns, 4.6882 ns/op",23240666800874,37609.375,2892,6151.6761,0,0,170,170,170,4995248,419864,57417728
"WorkloadActual   8: 16777216 op, 78878600.00 ns, 4.7015 ns/op",23240667709016,37703.125,2892,6151.6761,0,0,174,174,174,5007568,420008,57438208
"WorkloadActual   9: 16777216 op, 80921500.00 ns, 4.8233 ns/op",23240668651040,37781.25,2892,6151.6761,0,0,178,178,178,5019888,420152,57442304
"WorkloadActual  10: 16777216 op, 79280900.00 ns, 4.7255 ns/op",23240669574777,37875,2892,6151.6761,0,0,182,182,182,5032208,420296,57458688
"WorkloadActual  11: 16777216 op, 79642000.00 ns, 4.7470 ns/op",23240670486166,37968.75,2892,6151.6761,0,0,186,186,186,5044496,420440,57470976
"WorkloadActual  12: 16777216 op, 80254500.00 ns, 4.7835 ns/op",23240671413680,38062.5,2892,6151.6761,0,0,190,190,190,5056784,420584,57491456
"WorkloadActual  13: 16777216 op, 79786500.00 ns, 4.7556 ns/op",23240672341741,38140.625,2892,6151.6761,0,0,194,194,194,5069072,420728,57503744
"WorkloadActual  14: 16777216 op, 79151700.00 ns, 4.7178 ns/op",23240673269878,38234.375,2892,6151.6761,0,0,198,198,198,5081360,420872,57524224
"WorkloadActual  15: 16777216 op, 79030000.00 ns, 4.7106 ns/op",23240674185363,38328.125,2892,6151.6761,0,0,202,202,202,5093648,421016,57536512
