workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 218800.00 ns, 218.8000 us/op",23241564552442,19890.625,2464,346.6707,9,0,10,10,10,4556296,422848,59924480
"WorkloadWarmup   1: 16777216 op, 805839000.00 ns, 48.0317 ns/op",23241578081042,21218.75,2559,353.8194,9,0,106,106,106,4734808,426088,60149760
"WorkloadWarmup   2: 16777216 op, 800152300.00 ns, 47.6928 ns/op",23241586200966,22031.25,2559,353.8194,0,0,110,110,110,4748352,417848,55300096
"WorkloadWarmup   3: 16777216 op, 932199200.00 ns, 55.5634 ns/op",23241595638095,22953.125,2559,353.8194,0,0,114,114,114,4760776,415320,55275520
"WorkloadWarmup   4: 16777216 op, 806222700.00 ns, 48.0546 ns/op",23241603821080,23765.625,2559,353.8194,0,0,118,118,118,4773112,415432,55304192
"WorkloadWarmup   5: 16777216 op, 800501900.00 ns, 47.7136 ns/op",23241611939829,24578.125,2559,353.8194,0,0,122,122,122,4785448,415584,55062528
"WorkloadWarmup   6: 16777216 op, 854162200.00 ns, 50.9120 ns/op",23241620594366,25406.25,2559,353.8194,0,0,126,126,126,4797784,415736,54870016
"WorkloadWarmup   7: 16777216 op, 1309096400.00 ns, 78.0282 ns/op",23241633798182,26734.375,2637,373.2749,0,0,130,130,130,4810168,415936,56242176
"WorkloadWarmup   8: 16777216 op, 1531414900.00 ns, 91.2794 ns/op",23241649227074,28203.125,2721,406.7723,0,0,134,134,134,4871704,440664,57118720
"WorkloadWarmup   9: 16777216 op, 1260493400.00 ns, 75.1313 ns/op",23241661956192,29406.25,2721,406.7723,0,0,138,138,138,4884040,440816,57114624
"WorkloadWarmup  10: 16777216 op, 1326476700.00 ns, 79.0642 ns/op",23241675334283,30718.75,2722,2808.6182,0,0,142,142,142,4896376,417672,57131008
"WorkloadActual   1: 16777216 op, 1257596000.00 ns, 74.9586 ns/op",23241688025213,31984.375,2726,2808.8816,0,0,146,146,146,4910896,418784,55914496
"WorkloadActual   2: 16777216 op, 1309595800.00 ns, 78.0580 ns/op",23241701249084,33265.625,2726,2808.8816,0,0,150,150,150,4923232,418936,55865344
"WorkloadActual   3: 16777216 op, 1287889200.00 ns, 76.7642 ns/op",23241714242531,34531.25,2726,2808.8816,0,0,154,154,154,4935568,419088,55877632
"WorkloadActual   4: 16777216 op, 1280113600.00 ns, 76.3007 ns/op",23241727205991,35812.5,2726,2808.8816,0,0,158,158,158,4947904,419240,55758848
"WorkloadActual   5: 16777216 op, 1265060200.00 ns, 75.4035 ns/op",23241739974113,37046.875,2726,2808.8816,0,0,162,162,162,4960240,419392,55771136
"WorkloadActual   6: 16777216 op, 261407900.00 ns, 15.5811 ns/op",23241742707932,37328.125,2854,2840.1059,0,0,166,166,166,4972576,419544,59019264
"WorkloadActual   7: 16777216 op, 144673700.00 ns, 8.6232 ns/op",23241744271818,37484.375,2854,2840.1059,0,0,170,170,170,4984912,419696,59035648
"WorkloadActual   8: 16777216 op, 143077100.00 ns, 8.5281 ns/op",23241745807597,37640.625,2854,2840.1059,0,0,174,174,174,4997240,419848,59056128
"WorkloadActual   9: 16777216 op, 148352900.00 ns, 8.8425 ns/op",23241747402110,37796.875,2854,2840.1059,0,0,178,178,178,5009568,420000,59068416
"WorkloadActual  10: 16777216 op, 164869200.00 ns, 9.8270 ns/op",23241749210996,37968.75,2854,2840.1059,0,0,182,182,182,5021896,420152,59097088
"WorkloadActual  11: 16777216 op, 146388400.00 ns, 8.7254 ns/op",23241750797333,38140.625,2854,2840.1059,0,0,186,186,186,5034192,420304,59113472
"WorkloadActual  12: 16777216 op, 144969200.00 ns, 8.6408 ns/op",23241752359890,38296.875,2854,2840.1059,0,0,190,190,190,5046488,420456,59133952
"WorkloadActual  13: 16777216 op, 145006900.00 ns, 8.6431 ns/op",23241753918180,38453.125,2854,2840.1059,0,0,194,194,194,5058784,420608,59146240
"WorkloadActual  14: 16777216 op, 145288400.00 ns, 8.6599 ns/op",23241755479756,38609.375,2854,2840.1059,0,0,198,198,198,5071080,420760,59166720
"WorkloadActual  15: 16777216 op, 144942300.00 ns, 8.6392 ns/op",23241757048429,38765.625,2854,2840.1059,0,0,202,202,202,5083376,420912,59179008
