workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 223716.00 ns, 223.7160 us/op",231497378098,20624.133,2594,487.5447,0,0,10,10,10,4788672,435032,82300928
"WorkloadJitting  2: 16 op, 463738.00 ns, 28.9836 us/op",231501901476,20628.702,2610,489.2702,0,0,18,18,18,4828864,436984,82374656
"WorkloadWarmup   1: 19257568 op, 999481067.00 ns, 51.9007 ns/op",238332680742,27643.086,3152,681.1362,0,0,146,146,146,5177696,437712,85184512
"WorkloadWarmup   2: 19257568 op, 998847577.00 ns, 51.8678 ns/op",239333253497,28643.705,3152,681.1362,0,0,150,150,150,5204016,437864,85225472
"WorkloadWarmup   3: 19257568 op, 999332771.00 ns, 51.8930 ns/op",240334324147,29647.258,3155,683.8054,0,0,154,154,154,5230336,438016,85258240
"WorkloadWarmup   4: 19257568 op, 998468010.00 ns, 51.8481 ns/op",241334587821,30648.267,3158,684.8545,0,0,158,158,158,5256656,438168,85303296
"WorkloadWarmup   5: 19257568 op, 998134299.00 ns, 51.8308 ns/op",242334498463,31648.192,3158,684.8545,0,0,162,162,162,5282976,419448,85336064
"WorkloadWarmup   6: 19257568 op, 998128734.00 ns, 51.8305 ns/op",243334439379,32648.14,3158,684.8545,0,0,166,166,166,5309296,419600,85377024
"WorkloadWarmup   7: 19257568 op, 997656042.00 ns, 51.8059 ns/op",244333966133,33647.748,3159,685.0422,0,0,170,170,170,5335616,419752,85409792
"WorkloadWarmup   8: 19257568 op, 996719579.00 ns, 51.7573 ns/op",245332454633,34647.524,3161,686.2865,0,0,174,174,174,5361936,419904,85454848
"WorkloadWarmup   9: 19257568 op, 994280300.00 ns, 51.6306 ns/op",246328803097,35672.564,3218,714.9157,0,0,178,178,178,5392448,424248,85311488
"WorkloadWarmup  10: 19257568 op, 991016074.00 ns, 51.4611 ns/op",247321552175,36667.32,3223,716.9287,0,0,182,182,182,5418768,424400,85336064
"WorkloadWarmup  11: 19257568 op, 993445507.00 ns, 51.5873 ns/op",248316649687,37664.045,3226,718.4906,0,0,186,186,186,5445056,424552,85344256
"WorkloadWarmup  12: 19257568 op, 994164934.00 ns, 51.6246 ns/op",249312475426,38658.742,3226,718.4906,0,0,190,190,190,5471344,424704,85368832
"WorkloadWarmup  13: 19257568 op, 985291721.00 ns, 51.1639 ns/op",250299506707,39645.627,3226,718.4906,0,0,194,194,194,5497632,424856,85385216
"WorkloadWarmup  14: 19257568 op, 991389577.00 ns, 51.4805 ns/op",251292667778,40638.689,3226,718.4906,0,0,198,198,198,5523920,425008,85127168
"WorkloadWarmup  15: 19257568 op, 986477974.00 ns, 51.2255 ns/op",252281201369,41628.094,3227,719.4383,0,0,202,202,202,5550208,425160,85151744
"WorkloadWarmup  16: 19257568 op, 988629229.00 ns, 51.3372 ns/op",253271640054,42620.483,3229,721.8839,0,0,206,206,206,5576496,425312,85180416
"WorkloadWarmup  17: 19257568 op, 986351096.00 ns, 51.2189 ns/op",254259744396,43610.483,3230,724.2782,0,0,210,210,210,5602784,425464,85204992
"WorkloadWarmup  18: 19257568 op, 985833928.00 ns, 51.1920 ns/op",255247314640,44597.895,3230,724.2782,0,0,214,214,214,5624912,421456,85241856
"WorkloadWarmup  19: 19257568 op, 986601753.00 ns, 51.2319 ns/op",256235663233,45586.629,3231,724.6243,0,0,218,218,218,5651232,421640,85274624
"WorkloadWarmup  20: 19257568 op, 985678236.00 ns, 51.1839 ns/op",257223100067,46573.864,3231,724.6243,0,0,222,222,222,5677552,421824,85307392
"WorkloadWarmup  21: 19257568 op, 987246162.00 ns, 51.2654 ns/op",258212425682,47567.413,3235,729.5123,0,0,226,226,226,5703872,422008,85348352
"WorkloadWarmup  22: 19257568 op, 986920277.00 ns, 51.2484 ns/op",259201442356,48556.98,3237,730.5471,0,0,230,230,230,5730192,422192,85381120
"WorkloadWarmup  23: 19257568 op, 986868432.00 ns, 51.2457 ns/op",260190422588,49546.998,3239,731.7812,0,0,234,234,234,5756512,422376,85417984
"WorkloadWarmup  24: 19257568 op, 987867827.00 ns, 51.2976 ns/op",261180135036,50537.193,3242,732.6443,0,0,238,238,238,5782832,422560,85450752
"WorkloadWarmup  25: 19257568 op, 988477064.00 ns, 51.3293 ns/op",262170451908,51527.338,3242,732.6443,0,0,242,242,242,5809152,421872,85483520
"WorkloadWarmup  26: 19257568 op, 996631864.00 ns, 51.7527 ns/op",263169335735,52577.058,3307,783.2832,0,0,246,246,246,5835440,422024,85692416
"WorkloadWarmup  27: 19257568 op, 988335181.00 ns, 51.3219 ns/op",264159405176,53567.032,3307,783.2832,0,0,250,250,250,5861760,422208,85725184
"WorkloadWarmup  28: 19257568 op, 988089633.00 ns, 51.3092 ns/op",265149097319,54559.856,3314,786.599,0,0,254,254,254,5888080,422392,85770240
"WorkloadWarmup  29: 19257568 op, 989533004.00 ns, 51.3841 ns/op",266140817125,55551.613,3315,786.9417,0,0,258,258,258,5914400,422576,85803008
"WorkloadWarmup  30: 19257568 op, 985263812.00 ns, 51.1624 ns/op",267127680212,56538.442,3315,786.9417,0,0,262,262,262,5940720,422760,85835776
"WorkloadActual   1: 19257568 op, 988809439.00 ns, 51.3465 ns/op",268118913342,57541.008,3336,798.4325,0,0,266,266,266,5970248,423904,85876736
"WorkloadActual   2: 19257568 op, 989914513.00 ns, 51.4039 ns/op",269110507706,58532.535,3336,798.4325,0,0,270,270,270,5996568,424056,85909504
"WorkloadActual   3: 19257568 op, 991003964.00 ns, 51.4605 ns/op",270103238334,59526.982,3337,800.4489,0,0,274,274,274,6022888,424208,85946368
"WorkloadActual   4: 19257568 op, 988524226.00 ns, 51.3317 ns/op",271093519428,60517.795,3338,800.9534,0,0,278,278,278,6049208,424360,85987328
"WorkloadActual   5: 19257568 op, 1002366718.00 ns, 52.0505 ns/op",272097548698,61522.523,3339,801.5611,0,0,282,282,282,6075528,424512,86020096
"WorkloadActual   6: 19257568 op, 988040135.00 ns, 51.3066 ns/op",273087255743,62512.22,3339,801.5611,0,0,286,286,286,6101848,424664,86052864
"WorkloadActual   7: 19257568 op, 986464896.00 ns, 51.2248 ns/op",274075375987,63501.086,3341,802.6434,0,0,290,290,290,6128168,424816,86085632
"WorkloadActual   8: 19257568 op, 989819251.00 ns, 51.3990 ns/op",275066848032,64493.315,3342,803.7656,0,0,294,294,294,6154488,424968,86126592
"WorkloadActual   9: 19257568 op, 992710881.00 ns, 51.5491 ns/op",276061209678,65522.844,3369,838.6397,0,0,298,298,298,6180808,425120,87379968
"WorkloadActual  10: 19257568 op, 988012415.00 ns, 51.3052 ns/op",277050820251,66513.005,3370,839.5934,0,0,302,302,302,6207128,425272,87420928
"WorkloadActual  11: 19257568 op, 990432176.00 ns, 51.4308 ns/op",278042785204,67504.977,3370,839.5934,0,0,306,306,306,6233416,425424,87453696
"WorkloadActual  12: 19257568 op, 985525735.00 ns, 51.1760 ns/op",279029907439,68492.089,3370,839.5934,0,0,310,310,310,6259704,425576,87494656
"WorkloadActual  13: 19257568 op, 987055944.00 ns, 51.2555 ns/op",280018629732,69481.373,3371,840.1448,0,0,314,314,314,6285992,425728,87527424
"WorkloadActual  14: 19257568 op, 986297215.00 ns, 51.2161 ns/op",281006489852,70469.278,3371,840.1448,0,0,318,318,318,6312280,425880,87568384
"WorkloadActual  15: 19257568 op, 986353827.00 ns, 51.2190 ns/op",281994414657,71457.221,3371,840.1448,0,0,322,322,322,6338568,426032,87601152
"WorkloadActual  16: 19257568 op, 987957300.00 ns, 51.3023 ns/op",282983947991,72446.739,3371,840.1448,0,0,326,326,326,6364856,426184,87642112
"WorkloadActual  17: 19257568 op, 987548751.00 ns, 51.2811 ns/op",283973185167,73436.345,3372,840.4384,0,0,330,330,330,6391144,426336,87674880
"WorkloadActual  18: 19257568 op, 983463483.00 ns, 51.0689 ns/op",284958289064,74421.396,3372,840.4384,0,0,334,334,334,6417432,426488,87715840
"WorkloadActual  19: 19257568 op, 987812873.00 ns, 51.2948 ns/op",285947596816,75410.735,3372,840.4384,0,0,338,338,338,6443720,426640,87748608
"WorkloadActual  20: 19257568 op, 988169151.00 ns, 51.3133 ns/op",286937438576,76400.537,3372,840.4384,0,0,342,342,342,6470008,426792,87789568
"WorkloadActual  21: 19257568 op, 987768376.00 ns, 51.2925 ns/op",287926978407,77390.087,3372,840.4384,0,0,346,346,346,6496296,426944,87769088
"WorkloadActual  22: 19257568 op, 987754256.00 ns, 51.2917 ns/op",288916239353,78379.374,3372,840.4384,0,0,350,350,350,6521448,427040,87810048
"WorkloadActual  23: 19257568 op, 986497500.00 ns, 51.2265 ns/op",289904299374,79367.43,3372,840.4384,0,0,354,354,354,6546600,427192,87846912
"WorkloadActual  24: 19257568 op, 985853092.00 ns, 51.1930 ns/op",290891830421,80354.819,3372,840.4384,0,0,358,358,358,6571752,427344,87887872
"WorkloadActual  25: 19257568 op, 986649407.00 ns, 51.2344 ns/op",291880300596,81343.319,3372,840.4384,0,0,362,362,362,6596904,427496,87920640
