workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 230424.00 ns, 230.4240 us/op",313542258279,20624.753,2595,491.7073,0,0,10,10,10,4772336,435088,82104320
"WorkloadJitting  2: 16 op, 455300.00 ns, 28.4563 us/op",313546997235,20629.541,2611,493.4642,0,0,18,18,18,4812528,437040,82182144
"WorkloadWarmup   1: 21140320 op, 999756067.00 ns, 47.2914 ns/op",325254261526,32521.316,3152,689.9717,0,0,150,150,150,5174504,423728,85823488
"WorkloadWarmup   2: 21140320 op, 1005366923.00 ns, 47.5568 ns/op",326261529390,33529.242,3153,691.1473,0,0,154,154,154,5196632,419688,85856256
"WorkloadWarmup   3: 21140320 op, 999027790.00 ns, 47.2570 ns/op",327262447893,34538.956,3158,700.0356,0,0,158,158,158,5222952,419840,85897216
"WorkloadWarmup   4: 21140320 op, 999857051.00 ns, 47.2962 ns/op",328264252238,35541.159,3160,700.9308,0,0,162,162,162,5249272,419992,85942272
"WorkloadWarmup   5: 21140320 op, 1011483897.00 ns, 47.8462 ns/op",329277636995,36556.462,3163,703.309,0,0,166,166,166,5275592,420144,85975040
"WorkloadWarmup   6: 21140320 op, 998717689.00 ns, 47.2423 ns/op",330278203686,37556.861,3163,703.309,0,0,170,170,170,5301912,420296,86016000
"WorkloadWarmup   7: 21140320 op, 1006876856.00 ns, 47.6283 ns/op",331286751931,38565.951,3164,703.8499,0,0,174,174,174,5328232,420448,86048768
"WorkloadWarmup   8: 21140320 op, 1002465514.00 ns, 47.4196 ns/op",332291084519,39571.073,3165,704.6077,0,0,178,178,178,5354552,420600,84013056
"WorkloadWarmup   9: 21140320 op, 1001200815.00 ns, 47.3598 ns/op",333293919546,40573.829,3165,704.6077,0,0,182,182,182,5380872,420752,84045824
"WorkloadWarmup  10: 21140320 op, 1003871557.00 ns, 47.4861 ns/op",334299643259,41608.875,3224,733.4926,0,0,186,186,186,5407192,420904,85065728
"WorkloadWarmup  11: 21140320 op, 1000902457.00 ns, 47.3457 ns/op",335302286013,42613.252,3229,735.1485,0,0,190,190,190,5433480,421056,85114880
"WorkloadWarmup  12: 21140320 op, 1000352370.00 ns, 47.3196 ns/op",336304353849,43616.508,3231,736.7675,0,0,194,194,194,5459768,421208,85155840
"WorkloadWarmup  13: 21140320 op, 986616491.00 ns, 46.6699 ns/op",337293050260,44605.058,3231,736.7675,0,0,198,198,198,5490248,425552,84860928
"WorkloadWarmup  14: 21140320 op, 988025137.00 ns, 46.7365 ns/op",338282743224,45594.809,3232,736.9537,0,0,202,202,202,5516536,425704,84860928
"WorkloadWarmup  15: 21140320 op, 985653659.00 ns, 46.6243 ns/op",339270092868,46581.999,3232,736.9537,0,0,206,206,206,5542824,425856,84869120
