workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 192962.00 ns, 192.9620 us/op",397546539991,61222.88,3640,936.0898,0,0,1645,14,11,27366917544,790344,96428032
"WorkloadJitting  2: 16 op, 418184.00 ns, 26.1365 us/op",397552731095,61229.126,3655,937.8133,0,0,1653,22,19,27366958832,791568,92483584
"WorkloadWarmup   1: 40429712 op, 995878162.00 ns, 24.6323 ns/op",407493058322,71310.168,4064,1083.3375,0,0,1777,146,143,27367313936,759672,92966912
"WorkloadWarmup   2: 40429712 op, 996645510.00 ns, 24.6513 ns/op",408492104428,72312.861,4068,1086.478,0,0,1781,150,147,27367341400,759824,92971008
"WorkloadWarmup   3: 40429712 op, 995619909.00 ns, 24.6259 ns/op",409490141374,73311.101,4068,1086.478,0,0,1785,154,151,27367368864,759976,92971008
"WorkloadWarmup   4: 40429712 op, 995055052.00 ns, 24.6120 ns/op",410487509016,74308.689,4068,1086.478,0,0,1789,158,155,27367396328,760128,92971008
"WorkloadWarmup   5: 40429712 op, 996124450.00 ns, 24.6384 ns/op",411486346467,75310.612,4073,1089.5763,0,0,1793,162,159,27367423792,760280,92979200
"WorkloadWarmup   6: 40429712 op, 996662041.00 ns, 24.6517 ns/op",412485387563,76309.85,4073,1089.5763,0,0,1797,166,163,27367451256,760432,92995584
"WorkloadWarmup   7: 40429712 op, 995186178.00 ns, 24.6152 ns/op",413482950121,77307.627,4073,1089.5763,0,0,1801,170,167,27367474528,756392,93028352
"WorkloadWarmup   8: 40429712 op, 996794789.00 ns, 24.6550 ns/op",414482176896,78307.03,4073,1089.5763,0,0,1805,174,171,27367501992,756544,93061120
"WorkloadWarmup   9: 40429712 op, 996484730.00 ns, 24.6473 ns/op",415481059766,79306.314,4073,1089.5763,0,0,1809,178,175,27367529456,756696,93052928
"WorkloadWarmup  10: 40429712 op, 995386422.00 ns, 24.6202 ns/op",416478827809,80304.22,4073,1089.5763,0,0,1813,182,179,27367555808,756792,93085696
"WorkloadWarmup  11: 40429712 op, 995087253.00 ns, 24.6128 ns/op",417476309365,81301.913,4073,1089.5763,0,0,1817,186,183,27367582128,756944,93126656
"WorkloadWarmup  12: 40429712 op, 995328144.00 ns, 24.6187 ns/op",418474002017,82299.825,4073,1089.5763,0,0,1821,190,187,27367608448,757096,93159424
"WorkloadWarmup  13: 40429712 op, 995370733.00 ns, 24.6198 ns/op",419471776302,83297.857,4073,1089.5763,0,0,1825,194,191,27367634768,757248,93200384
"WorkloadWarmup  14: 40429712 op, 996218359.00 ns, 24.6407 ns/op",420470358417,84296.618,4073,1089.5763,0,0,1829,198,195,27367661088,757400,93233152
"WorkloadWarmup  15: 40429712 op, 996186659.00 ns, 24.6400 ns/op",421468932287,85295.388,4073,1089.5763,0,0,1833,202,199,27367687408,757552,93274112
"WorkloadWarmup  16: 40429712 op, 996860892.00 ns, 24.6566 ns/op",422468179539,86294.823,4073,1089.5763,0,0,1837,206,203,27367713728,757704,93306880
"WorkloadWarmup  17: 40429712 op, 996012203.00 ns, 24.6356 ns/op",423466543666,87293.367,4073,1089.5763,0,0,1841,210,207,27367740048,757856,93347840
"WorkloadWarmup  18: 40429712 op, 996387806.00 ns, 24.6449 ns/op",424465386750,88292.378,4073,1089.5763,0,0,1845,214,211,27367766368,758008,93380608
"WorkloadWarmup  19: 40429712 op, 1001368283.00 ns, 24.7681 ns/op",425469378957,89296.599,4073,1089.5763,0,0,1849,218,215,27367792688,758160,93429760
"WorkloadWarmup  20: 40429712 op, 997104508.00 ns, 24.6627 ns/op",426468927593,90296.488,4074,1089.7298,0,0,1853,222,219,27367820120,758368,93466624
"WorkloadWarmup  21: 40429712 op, 996682002.00 ns, 24.6522 ns/op",427468049705,91296.002,4074,1089.7298,0,0,1857,226,223,27367847552,758520,93511680
"WorkloadWarmup  22: 40429712 op, 996533754.00 ns, 24.6485 ns/op",428467047594,92298.658,4078,1093.7471,0,0,1861,230,227,27367874984,758136,93544448
"WorkloadWarmup  23: 40429712 op, 997283277.00 ns, 24.6671 ns/op",429466769829,93298.643,4078,1093.7471,0,0,1865,234,231,27367902416,758288,93585408
"WorkloadWarmup  24: 40429712 op, 995623428.00 ns, 24.6260 ns/op",430464817828,94296.982,4078,1093.7471,0,0,1869,238,235,27367929848,758440,93618176
"WorkloadWarmup  25: 40429712 op, 996112255.00 ns, 24.6381 ns/op",431463374470,95295.768,4078,1093.7471,0,0,1873,242,239,27367957280,758592,93659136
"WorkloadWarmup  26: 40429712 op, 996862389.00 ns, 24.6567 ns/op",432462968535,96295.662,4078,1093.7471,0,0,1877,246,243,27367984712,758744,93687808
"WorkloadWarmup  27: 40429712 op, 998932817.00 ns, 24.7079 ns/op",433464615375,97315.269,4093,1111.7806,0,0,1881,250,247,27368012144,758896,93765632
"WorkloadWarmup  28: 40429712 op, 996308994.00 ns, 24.6430 ns/op",434463515510,98314.447,4093,1111.7806,0,0,1885,254,251,27368039576,759048,93798400
"WorkloadWarmup  29: 40429712 op, 996874851.00 ns, 24.6570 ns/op",435462923638,99315.065,4096,1112.9842,0,0,1889,258,255,27368067008,759200,93843456
"WorkloadWarmup  30: 40429712 op, 996861708.00 ns, 24.6567 ns/op",436462322623,100314.71,4096,1112.9842,0,0,1893,262,259,27368094440,759352,93876224
"WorkloadWarmup  31: 40429712 op, 996447852.00 ns, 24.6464 ns/op",437461311247,101314.646,4098,1113.1832,0,0,1897,266,263,27368121872,759504,93925376
"WorkloadWarmup  32: 40429712 op, 996271902.00 ns, 24.6421 ns/op",438460088486,102316.213,4104,1117.4519,0,0,1901,270,267,27368149304,759656,93958144
"WorkloadWarmup  33: 40429712 op, 997208679.00 ns, 24.6652 ns/op",439459803252,103316.672,4105,1117.8214,0,0,1905,274,271,27368176736,759808,93995008
"WorkloadWarmup  34: 40429712 op, 997375932.00 ns, 24.6694 ns/op",440459708094,104316.844,4105,1117.8214,0,0,1909,278,275,27368204168,759960,94027776
"WorkloadWarmup  35: 40429712 op, 997065616.00 ns, 24.6617 ns/op",441459344757,105316.687,4105,1117.8214,0,0,1913,282,279,27368231600,760112,94068736
"WorkloadWarmup  36: 40429712 op, 997439423.00 ns, 24.6710 ns/op",442459324920,106317.534,4106,1118.3326,0,0,1917,286,283,27368259032,760264,94101504
"WorkloadWarmup  37: 40429712 op, 997601283.00 ns, 24.6750 ns/op",443459367906,107317.794,4106,1118.3326,0,0,1921,290,287,27368286464,760416,94142464
"WorkloadWarmup  38: 40429712 op, 996666306.00 ns, 24.6518 ns/op",444458534654,108317.585,4107,1118.6205,0,0,1925,294,291,27368313896,760568,94175232
"WorkloadWarmup  39: 40429712 op, 996116536.00 ns, 24.6382 ns/op",445457367808,109317.633,4108,1119.4741,0,0,1929,298,295,27368341328,760720,94216192
"WorkloadWarmup  40: 40429712 op, 997701124.00 ns, 24.6774 ns/op",446457436997,110318.152,4108,1119.4741,0,0,1933,302,299,27368368760,760872,94248960
"WorkloadWarmup  41: 40429712 op, 997747893.00 ns, 24.6786 ns/op",447457612257,111318.593,4108,1119.4741,0,0,1937,306,303,27368396192,761024,94289920
"WorkloadWarmup  42: 40429712 op, 995430210.00 ns, 24.6213 ns/op",448455439116,112316.717,4108,1119.4741,0,0,1941,310,307,27368423624,761176,94322688
"WorkloadWarmup  43: 40429712 op, 995234553.00 ns, 24.6164 ns/op",449453235998,113314.86,4108,1119.4741,0,0,1945,314,311,27368451056,761328,94351360
"WorkloadWarmup  44: 40429712 op, 995984879.00 ns, 24.6350 ns/op",450451890918,114314.532,4109,1120.0949,0,0,1949,318,315,27368478488,761480,94392320
"WorkloadWarmup  45: 40429712 op, 995704185.00 ns, 24.6280 ns/op",451450230169,115313.494,4110,1120.4313,0,0,1953,322,319,27368505920,761632,94433280
"WorkloadWarmup  46: 40429712 op, 998072319.00 ns, 24.6866 ns/op",452450766273,116314.181,4110,1120.4313,0,0,1957,326,323,27368533352,761784,94466048
"WorkloadWarmup  47: 40429712 op, 995831702.00 ns, 24.6312 ns/op",453448997490,117312.698,4110,1120.4313,0,0,1961,330,327,27368560784,761936,94511104
"WorkloadWarmup  48: 40429712 op, 995466919.00 ns, 24.6222 ns/op",454446987946,118311.39,4111,1120.7232,0,0,1965,334,331,27368588216,762088,94539776
"WorkloadWarmup  49: 40429712 op, 996330136.00 ns, 24.6435 ns/op",455445699924,119310.369,4111,1120.7232,0,0,1969,338,335,27368615648,762240,94580736
"WorkloadWarmup  50: 40429712 op, 1009777364.00 ns, 24.9761 ns/op",456457884478,120322.751,4111,1120.7232,0,0,1973,342,339,27368643080,762392,94613504
