seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.0004079,4146,338203467566,1174.635,266,104.9082,0,0,3,1,0,65810904,16167272,76111872
2.0000193,9543,339203151502,2406.726,584,331.8718,0,0,8,1,0,147045872,13761904,80789504
3.000135,15735,340203272159,3408.258,584,331.8718,0,0,14,1,0,239879176,6225336,80793600
4.0000013,21858,341203137671,4410.225,586,332.6371,0,0,19,1,0,331675840,14425200,80793600
5.0003873,28080,342203524978,5412.225,586,332.6371,0,0,25,1,0,424958528,7340776,80797696
6.0002917,34254,343203419793,6420.12,601,343.9696,0,0,30,1,0,517523328,16310048,81293312
7.0001419,40467,344203279582,7421.525,602,344.2549,0,0,36,1,0,610665560,9093272,81289216
8.0002938,46668,345203424395,8423.277,602,344.2549,0,0,41,1,0,703629264,18463584,81289216
9.0000085,52884,346203142318,9424.67,602,344.2549,0,0,47,1,0,796820968,11287912,81289216
10.0002676,59088,347203397015,10426.907,603,344.3879,0,0,53,1,0,889857184,3982648,81874944
11.0004283,65292,348203565724,11428.859,603,344.3879,0,0,58,2,1,982821888,10195360,78954496
12.000428,71475,349203559987,12434.611,610,348.6104,0,0,64,2,1,1075470552,2467080,78970880
13.0001941,77676,350203326463,13435.68,610,348.6104,0,0,69,2,1,1168380608,11773288,78966784
14.00033,83922,351203461740,14437.006,610,348.6104,0,0,75,2,1,1261971864,4989352,78966784
15.0001954,90168,352203325618,15438.073,610,348.6104,0,0,80,2,1,1355563328,14980344,78966784
16.0003798,96804,353203529794,16439.514,610,348.6104,0,0,86,2,1,1448697480,7735640,78950400
17.000225,103584,354203369237,17440.547,610,348.6104,0,0,91,2,1,1541774112,17204776,78950400
18.0002928,110343,355203442039,18441.963,610,348.6104,0,0,97,2,1,1634619288,9673112,78950400
19.0004209,117111,356203562523,19443.818,610,348.6104,0,0,103,2,1,1727588000,2263520,78950400
20.0003305,123879,357203479565,20445.061,610,348.6104,0,0,108,2,1,1820553840,11625408,78950400
