workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 171351.00 ns, 171.3510 us/op",254327605555,61010.004,3596,895.0111,0,0,1685,13,10,28027943216,601344,94863360
"WorkloadJitting  2: 16 op, 417492.00 ns, 26.0933 us/op",254332655079,61015.138,3611,896.6204,0,0,1693,21,18,28027991584,610792,90865664
"WorkloadWarmup   1: 40181392 op, 1000991871.00 ns, 24.9118 ns/op",261558644876,68327.568,3931,994.3694,0,0,1825,153,150,28028340928,603616,91308032
"WorkloadWarmup   2: 40181392 op, 999625644.00 ns, 24.8778 ns/op",262560287987,69329.164,3931,994.3694,0,0,1829,157,154,28028363080,599576,91340800
"WorkloadWarmup   3: 40181392 op, 1000673805.00 ns, 24.9039 ns/op",263562912945,70331.757,3931,994.3694,0,0,1833,161,158,28028389424,599728,91373568
"WorkloadWarmup   4: 40181392 op, 1000687221.00 ns, 24.9042 ns/op",264565616180,71334.431,3931,994.3694,0,0,1837,165,162,28028415768,560472,91414528
"WorkloadWarmup   5: 40181392 op, 1001199660.00 ns, 24.9170 ns/op",265568731917,72337.68,3931,994.3694,0,0,1841,169,166,28028450312,568848,91394048
"WorkloadWarmup   6: 40181392 op, 1001408070.00 ns, 24.9222 ns/op",266572085469,73340.977,3931,994.3694,0,0,1845,173,170,28028467312,560720,91435008
"WorkloadWarmup   7: 40181392 op, 1001892069.00 ns, 24.9342 ns/op",267575877124,74344.789,3931,994.3694,0,0,1849,177,174,28028492512,560872,91467776
"WorkloadWarmup   8: 40181392 op, 1000692072.00 ns, 24.9044 ns/op",268578522592,75347.369,3931,994.3694,0,0,1853,181,178,28028517712,561024,91508736
"WorkloadWarmup   9: 40181392 op, 1000804723.00 ns, 24.9072 ns/op",269581239955,76350.048,3931,994.3694,0,0,1857,185,182,28028542912,561176,91541504
"WorkloadWarmup  10: 40181392 op, 1000375940.00 ns, 24.8965 ns/op",270583602464,77352.369,3931,994.3694,0,0,1861,189,186,28028568112,561328,91582464
"WorkloadWarmup  11: 40181392 op, 1000878821.00 ns, 24.9090 ns/op",271586401620,78355.164,3931,994.3694,0,0,1865,193,190,28028601480,569704,91615232
"WorkloadWarmup  12: 40181392 op, 1000402318.00 ns, 24.8972 ns/op",272588770070,79357.483,3931,994.3694,0,0,1869,197,194,28028618448,561632,91656192
"WorkloadWarmup  13: 40181392 op, 1002250580.00 ns, 24.9432 ns/op",273592969237,80361.692,3931,994.3694,0,0,1873,201,198,28028643616,561784,91688960
"WorkloadWarmup  14: 40181392 op, 1013809198.00 ns, 25.2308 ns/op",274609138544,81377.861,3931,994.3694,0,0,1877,205,202,28028681176,574352,91308032
"WorkloadWarmup  15: 40181392 op, 998116950.00 ns, 24.8403 ns/op",275609171531,82377.874,3931,994.3694,0,0,1881,209,206,28028698144,566280,91308032
"WorkloadWarmup  16: 40181392 op, 997583444.00 ns, 24.8270 ns/op",276608682114,83377.314,3931,994.3694,0,0,1885,213,210,28028723312,566432,91308032
"WorkloadWarmup  17: 40181392 op, 997183786.00 ns, 24.8171 ns/op",277607786165,84376.431,3931,994.3694,0,0,1889,217,214,28028748480,566584,91308032
"WorkloadWarmup  18: 40181392 op, 998221288.00 ns, 24.8429 ns/op",278607944380,85376.536,3931,994.3694,0,0,1893,221,218,28028773648,566736,91308032
"WorkloadWarmup  19: 40181392 op, 997479269.00 ns, 24.8244 ns/op",279607562665,86376.221,3931,994.3694,0,0,1897,225,222,28028807016,575112,91308032
"WorkloadWarmup  20: 40181392 op, 998824939.00 ns, 24.8579 ns/op",280608616106,87381.514,3936,999.2591,0,0,1901,229,226,28028820936,562904,91369472
"WorkloadWarmup  21: 40181392 op, 997982131.00 ns, 24.8369 ns/op",281608569958,88381.471,3936,999.2591,0,0,1905,233,230,28028847248,563056,91402240
"WorkloadWarmup  22: 40181392 op, 996660887.00 ns, 24.8040 ns/op",282607232353,89380.128,3936,999.2591,0,0,1909,237,234,28028873560,563208,91435008
"WorkloadWarmup  23: 40181392 op, 996168859.00 ns, 24.7918 ns/op",283605370719,90378.3,3936,999.2591,0,0,1913,241,238,28028899872,563360,91467776
"WorkloadWarmup  24: 40181392 op, 998530477.00 ns, 24.8506 ns/op",284606098770,91379.149,3936,999.2591,0,0,1917,245,242,28028934384,571200,91488256
"WorkloadWarmup  25: 40181392 op, 1008310987.00 ns, 25.0940 ns/op",285616703371,92417.63,3951,1027.4522,0,0,1921,249,246,28028952496,563128,91566080
"WorkloadWarmup  26: 40181392 op, 997159370.00 ns, 24.8164 ns/op",286615872093,93416.797,3951,1027.4522,0,0,1925,253,250,28028978808,563280,91598848
"WorkloadWarmup  27: 40181392 op, 997025830.00 ns, 24.8131 ns/op",287614899961,94415.851,3951,1027.4522,0,0,1929,257,254,28029005120,563432,91631616
"WorkloadWarmup  28: 40181392 op, 997949790.00 ns, 24.8361 ns/op",288614831751,95415.714,3951,1027.4522,0,0,1933,261,258,28029031432,563584,91664384
