seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.0001239,4608,195030771110,1147.547,253,93.913,0,0,3,0,0,66558520,16633928,74162176
2.0004099,10308,196031123405,2370.709,566,315.8174,0,0,8,0,0,145103904,11537528,78897152
3.0003469,17073,197031059701,3370.581,566,315.8174,0,0,14,0,0,237976432,4027632,78901248
4.0000197,23859,198030735028,4370.889,568,316.4603,0,0,19,0,0,331134664,13578600,78970880
5.0002952,30582,199030993137,5371.06,569,321.8541,0,0,25,0,0,423434264,5494120,79417344
6.0002165,37338,200030913914,6375.308,583,326.132,0,0,30,0,0,516189304,14643336,79441920
7.000329,44139,201031042990,7375.326,584,326.3892,0,0,36,0,0,609548776,7638704,79450112
8.0001285,50943,202030844203,8375.084,584,326.3892,0,0,41,0,0,702953408,17436792,79454208
9.0000491,57744,203030764837,9374.916,584,326.3892,0,0,47,0,0,796318096,10420520,79462400
10.0004004,64527,204031113630,10375.433,585,326.5344,0,0,52,0,0,889435400,19933080,79925248
11.0002337,71310,205030934043,11375.469,585,326.5344,0,0,58,1,0,982500968,12580488,80130048
12.0000523,78093,206030767711,12378.381,592,329.5532,0,0,64,1,0,1075561808,5282520,80150528
13.0004268,84855,207031141621,13378.686,592,329.5532,0,0,69,1,0,1168336312,14469160,80150528
14.0000647,91644,208030780244,14378.235,592,329.5532,0,0,75,1,0,1261487352,7261656,80150528
15.0002097,98436,209030908243,15378.247,592,329.5532,0,0,80,1,0,1354669240,16856856,80150528
16.0004093,105126,210031124047,16378.657,592,329.5532,0,0,86,1,0,1446458088,8272968,80138240
17.000278,111939,211030976690,17378.417,592,329.5532,0,0,91,1,0,1539938824,18168104,80138240
18.0000662,118734,212030782116,18378.209,592,329.5532,0,0,97,1,0,1633222952,11072080,80138240
19.0002702,125538,213030968284,19378.255,592,329.5532,0,0,103,1,0,1726628480,4096744,80138240
20.0000492,132690,214030777235,20378.11,592,329.5532,0,0,108,1,0,1819646960,13508176,80138240
