workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 192690.00 ns, 192.6900 us/op",190959066542,20709.809,2612,519.0684,0,0,10,10,10,5528264,664792,84258816
"WorkloadJitting  2: 16 op, 416479.00 ns, 26.0299 us/op",190964648565,20715.448,2628,520.876,0,0,18,18,18,5569552,666776,84381696
"WorkloadWarmup   1: 39770224 op, 999528843.00 ns, 25.1326 ns/op",203005044274,32999.147,3297,765.3467,0,0,158,158,158,5956568,653464,88014848
"WorkloadWarmup   2: 39770224 op, 1002063824.00 ns, 25.1963 ns/op",204009435201,34004.458,3299,765.7925,0,0,162,162,162,5979816,649424,88047616
"WorkloadWarmup   3: 39770224 op, 1000755318.00 ns, 25.1634 ns/op",205012519636,35008.376,3300,766.4129,0,0,166,166,166,6007256,649576,88076288
"WorkloadWarmup   4: 39770224 op, 1003002983.00 ns, 25.2199 ns/op",206017904193,36013.888,3300,766.4129,0,0,170,170,170,6034696,649728,88121344
"WorkloadWarmup   5: 39770224 op, 1005006931.00 ns, 25.2703 ns/op",207025356017,37029.698,3305,775.2091,0,0,174,174,174,6062136,649880,88162304
"WorkloadWarmup   6: 39770224 op, 1004079827.00 ns, 25.2470 ns/op",208031869545,38036.392,3305,775.2091,0,0,178,178,178,6089576,650032,88207360
"WorkloadWarmup   7: 39770224 op, 1000104912.00 ns, 25.1471 ns/op",209034376811,39039.104,3305,775.2091,0,0,182,182,182,6117016,650184,88244224
"WorkloadWarmup   8: 39770224 op, 1000541468.00 ns, 25.1581 ns/op",210037303511,40044.473,3308,777.7016,0,0,186,186,186,6144456,650336,88281088
"WorkloadWarmup   9: 39770224 op, 1001498068.00 ns, 25.1821 ns/op",211041235531,41048.543,3308,777.7016,0,0,190,190,190,6171896,650488,88317952
"WorkloadWarmup  10: 39770224 op, 1001697523.00 ns, 25.1871 ns/op",212045405939,42080.211,3364,804.6961,0,0,194,194,194,6199336,650640,88403968
"WorkloadWarmup  11: 39770224 op, 1000561143.00 ns, 25.1585 ns/op",213048414871,43085.229,3370,806.6421,0,0,198,198,198,6226744,650792,88432640
"WorkloadWarmup  12: 39770224 op, 1004204477.00 ns, 25.2502 ns/op",214054977580,44093.05,3372,808.3778,0,0,202,202,202,6254152,650944,88473600
"WorkloadWarmup  13: 39770224 op, 999029668.00 ns, 25.1200 ns/op",215056360299,45094.663,3372,808.3778,0,0,206,206,206,6281560,651096,88506368
"WorkloadWarmup  14: 39770224 op, 1000927118.00 ns, 25.1678 ns/op",216059601085,46098.099,3372,808.3778,0,0,210,210,210,6308968,651248,88547328
"WorkloadWarmup  15: 39770224 op, 1000172777.00 ns, 25.1488 ns/op",217062155005,47100.957,3372,808.3778,0,0,214,214,214,6336376,651400,88535040
"WorkloadWarmup  16: 39770224 op, 1001067490.00 ns, 25.1713 ns/op",218065903450,48107.234,3375,811.3823,0,0,218,218,218,6363776,651552,88592384
"WorkloadWarmup  17: 39770224 op, 999127371.00 ns, 25.1225 ns/op",219067352153,49108.844,3375,811.3823,0,0,222,222,222,6391176,651704,88625152
"WorkloadWarmup  18: 39770224 op, 1000475653.00 ns, 25.1564 ns/op",220070180457,50111.877,3375,811.3823,0,0,226,226,226,6418608,651888,88670208
"WorkloadWarmup  19: 39770224 op, 1014951744.00 ns, 25.5204 ns/op",221087739579,51135.381,3380,817.8646,0,0,230,230,230,6446040,651200,88707072
"WorkloadWarmup  20: 39770224 op, 1000917398.00 ns, 25.1675 ns/op",222091145103,52139.515,3381,818.1718,0,0,234,234,234,6473472,651384,88748032
"WorkloadWarmup  21: 39770224 op, 1000843641.00 ns, 25.1657 ns/op",223094480255,53143.523,3384,818.6187,0,0,238,238,238,6500904,651568,88780800
"WorkloadWarmup  22: 39770224 op, 1002466236.00 ns, 25.2065 ns/op",224099601558,54149.732,3385,819.4786,0,0,242,242,242,6528336,651752,88825856
"WorkloadWarmup  23: 39770224 op, 1022796701.00 ns, 25.7176 ns/op",225125216152,55232.886,3449,876.1779,0,0,246,246,246,6555768,651936,88920064
"WorkloadWarmup  24: 39770224 op, 1000727032.00 ns, 25.1627 ns/op",226128261912,56236.053,3449,876.1779,0,0,250,250,250,6575000,643896,88961024
"WorkloadWarmup  25: 39770224 op, 1007516274.00 ns, 25.3334 ns/op",227138177305,57246.166,3449,876.1779,0,0,254,254,254,6610632,652304,88993792
"WorkloadWarmup  26: 39770224 op, 1001555687.00 ns, 25.1836 ns/op",228142108366,58250.332,3449,876.1779,0,0,258,258,258,6638032,652456,89034752
"WorkloadWarmup  27: 39770224 op, 1001992722.00 ns, 25.1945 ns/op",229146494356,59255.026,3449,876.1779,0,0,262,262,262,6665464,652640,89071616
"WorkloadWarmup  28: 39770224 op, 1008374120.00 ns, 25.3550 ns/op",230157382779,60283.463,3469,894.7731,0,0,266,266,266,6692896,652824,89124864
"WorkloadWarmup  29: 39770224 op, 1002521792.00 ns, 25.2078 ns/op",231162494537,61288.76,3470,895.0409,0,0,270,270,270,6720328,653008,89157632
"WorkloadWarmup  30: 39770224 op, 999977903.00 ns, 25.1439 ns/op",232164781018,62291.225,3470,895.0409,0,0,274,274,274,6747760,653192,89198592
"WorkloadActual   1: 39770224 op, 1002106285.00 ns, 25.1974 ns/op",233170079164,63299.562,3481,897.8116,0,0,278,278,278,6771480,646752,89251840
"WorkloadActual   2: 39770224 op, 1000222751.00 ns, 25.1500 ns/op",234172596348,64302.23,3481,897.8116,0,0,282,282,282,6798912,646904,89292800
"WorkloadActual   3: 39770224 op, 1000943800.00 ns, 25.1682 ns/op",235175812659,65305.692,3481,897.8116,0,0,286,286,286,6834544,655280,89329664
"WorkloadActual   4: 39770224 op, 1003122691.00 ns, 25.2230 ns/op",236181454743,66312.264,3482,898.4382,0,0,290,290,290,6861976,655432,89366528
"WorkloadActual   5: 39770224 op, 999439156.00 ns, 25.1303 ns/op",237183408793,67314.964,3485,899.2689,0,0,294,294,294,6881208,647360,89399296
"WorkloadActual   6: 39770224 op, 1004785907.00 ns, 25.2648 ns/op",238190511523,68322.226,3485,899.2689,0,0,298,298,298,6908640,647512,89440256
"WorkloadActual   7: 39770224 op, 1003232711.00 ns, 25.2257 ns/op",239196097326,69327.999,3485,899.2689,0,0,302,302,302,6936072,647664,89473024
"WorkloadActual   8: 39770224 op, 1000270751.00 ns, 25.1512 ns/op",240198845321,70332.785,3486,901.6896,0,0,306,306,306,6963504,647816,89513984
"WorkloadActual   9: 39770224 op, 999420972.00 ns, 25.1299 ns/op",241200763534,71334.869,3486,901.6896,0,0,310,310,310,6999136,656192,89546752
"WorkloadActual  10: 39770224 op, 1016909094.00 ns, 25.5696 ns/op",242220507170,72397.075,3513,943.5039,0,0,314,314,314,7026568,656344,90009600
"WorkloadActual  11: 39770224 op, 999942577.00 ns, 25.1430 ns/op",243223141943,73401.374,3516,945.3286,0,0,318,318,318,7045768,656496,90038272
"WorkloadActual  12: 39770224 op, 999979796.00 ns, 25.1439 ns/op",244225443252,74403.833,3516,945.3286,0,0,322,322,322,7073168,648424,90079232
"WorkloadActual  13: 39770224 op, 999235845.00 ns, 25.1252 ns/op",245227031858,75405.542,3516,945.3286,0,0,326,326,326,7100568,648576,90112000
