workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 177742.00 ns, 177.7420 us/op",279399285074,20639.42,2586,496.355,0,0,10,10,10,4785048,434888,82251776
"WorkloadJitting  2: 16 op, 425246.00 ns, 26.5779 us/op",279403649640,20643.838,2602,498.0794,0,0,18,18,18,4825240,436840,82325504
"WorkloadWarmup   1: 40162096 op, 999462224.00 ns, 24.8857 ns/op",291282889525,32701.128,3145,686.3659,0,0,150,150,150,5189856,423528,86360064
"WorkloadWarmup   2: 40162096 op, 1018399363.00 ns, 25.3572 ns/op",292303178484,33721.383,3145,686.3659,0,0,154,154,154,5211984,419488,86388736
"WorkloadWarmup   3: 40162096 op, 1000122307.00 ns, 24.9021 ns/op",293305104625,34725.829,3150,688.8466,0,0,158,158,158,5238304,419640,86429696
"WorkloadWarmup   4: 40162096 op, 999800404.00 ns, 24.8941 ns/op",294306742006,35727.724,3151,689.0969,0,0,162,162,162,5264624,419792,86470656
"WorkloadWarmup   5: 40162096 op, 999519600.00 ns, 24.8871 ns/op",295308040814,36729.241,3152,689.2516,0,0,166,166,166,5290944,419944,86503424
"WorkloadWarmup   6: 40162096 op, 1004105649.00 ns, 25.0013 ns/op",296313901967,37735.034,3152,689.2516,0,0,170,170,170,5309064,411872,86544384
"WorkloadWarmup   7: 40162096 op, 1001472373.00 ns, 24.9358 ns/op",297317215043,38738.925,3153,689.7334,0,0,174,174,174,5343584,420248,86577152
"WorkloadWarmup   8: 40162096 op, 1000203118.00 ns, 24.9042 ns/op",298319280335,39741.637,3154,690.3503,0,0,178,178,178,5369904,420400,86618112
"WorkloadWarmup   9: 40162096 op, 1000810474.00 ns, 24.9193 ns/op",299321988960,40771.508,3212,717.3385,0,0,182,182,182,5396224,420552,86695936
"WorkloadWarmup  10: 40162096 op, 999897516.00 ns, 24.8965 ns/op",300323790127,41775.539,3218,719.4632,0,0,186,186,186,5422544,420704,86736896
"WorkloadWarmup  11: 40162096 op, 1000944445.00 ns, 24.9226 ns/op",301326565187,42779.432,3220,721.0959,0,0,190,190,190,5448832,420856,86769664
"WorkloadWarmup  12: 40162096 op, 1019652335.00 ns, 25.3884 ns/op",302347980040,43800.538,3220,721.0959,0,0,194,194,194,5475120,421008,86810624
"WorkloadWarmup  13: 40162096 op, 1001917917.00 ns, 24.9469 ns/op",303352201927,44804.706,3220,721.0959,0,0,198,198,198,5505600,425352,86237184
"WorkloadWarmup  14: 40162096 op, 999790955.00 ns, 24.8939 ns/op",304353688364,45806.368,3221,721.2548,0,0,202,202,202,5531888,425504,86237184
"WorkloadWarmup  15: 40162096 op, 999195534.00 ns, 24.8791 ns/op",305354588266,46807.278,3221,721.2548,0,0,206,206,206,5558176,425656,86245376
"WorkloadWarmup  16: 40162096 op, 1000419694.00 ns, 24.9095 ns/op",306356832864,47811.043,3223,723.2979,0,0,210,210,210,5584464,425808,86282240
"WorkloadWarmup  17: 40162096 op, 999847393.00 ns, 24.8953 ns/op",307358558420,48814.292,3224,725.3085,0,0,214,214,214,5610752,425960,86306816
"WorkloadWarmup  18: 40162096 op, 1001415655.00 ns, 24.9343 ns/op",308361781646,49817.519,3224,725.3085,0,0,218,218,218,5637072,426144,86323200
"WorkloadWarmup  19: 40162096 op, 1000998732.00 ns, 24.9240 ns/op",309364627003,50820.666,3225,725.5523,0,0,222,222,222,5659200,422136,86343680
"WorkloadWarmup  20: 40162096 op, 999669946.00 ns, 24.8909 ns/op",310366137492,51825.71,3229,729.5564,0,0,226,226,226,5685520,421448,86380544
"WorkloadWarmup  21: 40162096 op, 999885880.00 ns, 24.8963 ns/op",311367768908,52827.332,3229,729.5564,0,0,230,230,230,5711840,421632,86413312
"WorkloadWarmup  22: 40162096 op, 1001189048.00 ns, 24.9287 ns/op",312370791666,53830.858,3230,729.9647,0,0,234,234,234,5738160,421816,86446080
"WorkloadWarmup  23: 40162096 op, 998332444.00 ns, 24.8576 ns/op",313370940358,54832.137,3235,731.4432,0,0,238,238,238,5764480,422000,86478848
"WorkloadWarmup  24: 40162096 op, 1008388196.00 ns, 25.1080 ns/op",314381189385,55842.391,3235,731.4432,0,0,242,242,242,5790800,422184,86511616
"WorkloadWarmup  25: 40162096 op, 999994693.00 ns, 24.8990 ns/op",315383068695,56889.805,3300,776.8953,0,0,246,246,246,5817120,422368,87117824
"WorkloadWarmup  26: 40162096 op, 1001105615.00 ns, 24.9266 ns/op",316385910548,57892.63,3300,776.8953,0,0,250,250,250,5843408,422520,87150592
"WorkloadWarmup  27: 40162096 op, 1001370925.00 ns, 24.9332 ns/op",317388977428,58895.716,3300,776.8953,0,0,254,254,254,5869728,422704,87183360
"WorkloadWarmup  28: 40162096 op, 999097269.00 ns, 24.8766 ns/op",318389902128,59899.101,3305,779.4423,0,0,258,258,258,5896048,422888,87224320
"WorkloadWarmup  29: 40162096 op, 1000317213.00 ns, 24.9070 ns/op",319392419148,60901.712,3306,779.7651,0,0,262,262,262,5922368,423072,87257088
"WorkloadWarmup  30: 40162096 op, 1001582922.00 ns, 24.9385 ns/op",320395811156,61913.873,3317,789.0126,0,0,266,266,266,5948688,423256,87293952
"WorkloadActual   1: 40162096 op, 999915491.00 ns, 24.8970 ns/op",321398095661,62918.313,3326,791.2501,0,0,270,270,270,5979496,425040,87359488
"WorkloadActual   2: 40162096 op, 1009380358.00 ns, 25.1327 ns/op",322409508482,63929.643,3326,791.2501,0,0,274,274,274,5997616,416968,87392256
"WorkloadActual   3: 40162096 op, 997446480.00 ns, 24.8355 ns/op",323408814911,64930.715,3327,793.3846,0,0,278,278,278,6023936,417120,87425024
"WorkloadActual   4: 40162096 op, 1001609478.00 ns, 24.9392 ns/op",324412204450,65933.929,3327,793.3846,0,0,282,282,282,6050256,417272,87457792
"WorkloadActual   5: 40162096 op, 998122644.00 ns, 24.8524 ns/op",325412108006,66933.825,3327,793.3846,0,0,286,286,286,6084776,425648,87490560
"WorkloadActual   6: 40162096 op, 1000740382.00 ns, 24.9175 ns/op",326414683262,67936.861,3328,793.946,0,0,290,290,290,6102896,417576,87531520
"WorkloadActual   7: 40162096 op, 998833193.00 ns, 24.8700 ns/op",327415362310,68937.452,3328,793.946,0,0,294,294,294,6129216,417728,87564288
"WorkloadActual   8: 40162096 op, 1000760781.00 ns, 24.9180 ns/op",328417842208,69939.893,3328,793.946,0,0,298,298,298,6155536,417880,87597056
"WorkloadActual   9: 40162096 op, 999526100.00 ns, 24.8873 ns/op",329419241423,70972.59,3355,825.2312,0,0,302,302,302,6181856,418032,87650304
"WorkloadActual  10: 40162096 op, 998771929.00 ns, 24.8685 ns/op",330419780880,71973.8,3357,826.18,0,0,306,306,306,6208176,418184,87683072
"WorkloadActual  11: 40162096 op, 998699594.00 ns, 24.8667 ns/op",331420229076,72974.22,3357,826.18,0,0,310,310,310,6234464,418336,87715840
"WorkloadActual  12: 40162096 op, 1003579102.00 ns, 24.9882 ns/op",332425525502,73979.459,3357,826.18,0,0,314,314,314,6268952,426712,87748608
"WorkloadActual  13: 40162096 op, 1000588822.00 ns, 24.9138 ns/op",333427813834,74981.817,3357,826.18,0,0,318,318,318,6287040,418640,87728128
"WorkloadActual  14: 40162096 op, 999047199.00 ns, 24.8754 ns/op",334428663194,75982.6,3357,826.18,0,0,322,322,322,6320392,426960,87760896
"WorkloadActual  15: 40162096 op, 998761144.00 ns, 24.8683 ns/op",335429170885,76983.049,3357,826.18,0,0,326,326,326,6345544,427112,87793664
"WorkloadActual  16: 40162096 op, 998193321.00 ns, 24.8541 ns/op",336429069416,77982.885,3357,826.18,0,0,330,330,330,6370696,427264,87834624
"WorkloadActual  17: 40162096 op, 998308547.00 ns, 24.8570 ns/op",337429108840,78982.903,3357,826.18,0,0,334,334,334,6387648,419192,87867392
"WorkloadActual  18: 40162096 op, 999237044.00 ns, 24.8801 ns/op",338430062085,79983.84,3357,826.18,0,0,338,338,338,6412800,419344,87908352
"WorkloadActual  19: 40162096 op, 999257602.00 ns, 24.8806 ns/op",339431062187,80983.956,3357,826.18,0,0,342,342,342,6446152,427720,88043520
"WorkloadActual  20: 40162096 op, 997595321.00 ns, 24.8392 ns/op",340430488732,81983.415,3357,826.18,0,0,346,346,346,6471304,427872,88084480
"WorkloadActual  21: 40162096 op, 998340567.00 ns, 24.8578 ns/op",341430631017,82983.473,3357,826.18,0,0,350,350,350,6488256,419800,88117248
"WorkloadActual  22: 40162096 op, 998937864.00 ns, 24.8727 ns/op",342431272706,83984.083,3357,826.18,0,0,354,354,354,6513408,419952,88158208
"WorkloadActual  23: 40162096 op, 997843889.00 ns, 24.8454 ns/op",343430837361,84983.618,3357,826.18,0,0,358,358,358,6538560,420104,88190976
"WorkloadActual  24: 40162096 op, 1000186028.00 ns, 24.9037 ns/op",344432901378,85985.702,3357,826.18,0,0,362,362,362,6571912,428480,88231936
