method,signature,threadId,methodId,startMs,loadMs,tier,actualAtStart,actualOverlapped
System.Threading.ThreadPoolWorkQueue.get_GlobalCount,instance int64  (),2721,140350185277368,61724.88816,61725.178944,OptimizedTier1Instrumented,[1],[1]
System.Collections.Concurrent.ConcurrentQueue`1[System.__Canon].get_Count,instance int32  (),2721,140350185279744,61725.202598,61726.361917,OptimizedTier1,[1],[1]
RuntimeLogger+Sample..ctor,"instance void  (class System.String,int64,float64,int64,float64,int32,int64,int32,int32,int32,int64,int64,int64)",2721,140350172401624,61726.377165,61726.476101,QuickJittedInstrumented,[1],[1]
BenchmarkDotNet.Engines.EngineWarmupStageSpecific.GetShouldRunIteration,"instance bool  (class System.Collections.Generic.List`1<value class BenchmarkDotNet.Reports.Measurement>,int64&)",2721,140350191666864,61726.487612,61726.53997,QuickJittedInstrumented,[1],[1]
System.Runtime.CompilerServices.GenericsHelpers.Class,"int  (int,int)",2721,140350155520944,61726.548967,61726.670003,OptimizedTier1Instrumented,[1],[1]
System.Text.StringBuilder.Append,"instance void  (wchar&,int32)",2721,140350174425832,64534.978681,64535.610743,OptimizedTier1,[],[]
System.Threading.PortableThreadPool.get_ThreadCount,instance int32  (),2721,140350185286392,65540.64458,65540.841598,QuickJittedInstrumented,[],[]
System.Threading.PortableThreadPool+ThreadCounts.VolatileRead,instance value class ThreadCounts  (),2721,140350185287824,65540.857718,65541.025352,OptimizedTier1Instrumented,[],[]
System.Threading.PortableThreadPool+ThreadCounts.get_NumExistingThreads,instance int16  (),2721,140350185287664,65541.037054,65541.514467,OptimizedTier1Instrumented,[],[]
System.Buffers.SharedArrayPool`1[System.Char].Return,"instance void  (!0[],bool)",2721,140350173598624,68555.60097,68558.027519,OptimizedTier1,[],[8]
System.GC.GetTotalMemory,int64  (bool),2721,140350167826208,70559.984149,70560.783544,OptimizedTier1,[],[]
System.Diagnostics.ProcessManager.ThrowIfRemoteMachine,void  (class System.String),2721,140350188734592,70560.800916,70561.090758,OptimizedTier1,[],[]
System.Diagnostics.ProcessManager.IsRemoteMachine,bool  (class System.String),2721,140350188734400,70561.222234,70562.037279,OptimizedTier1,[],[10]
System.Diagnostics.ProcessManager.CreateProcessInfo,class System.Diagnostics.ProcessInfo  (int32),2721,140350188734688,70562.050463,70562.609179,OptimizedTier1,[10],[10]
System.Diagnostics.ProcessManager.TryGetProcPid,"bool  (int32,value class ProcPid&)",2721,140350188734880,70562.618797,70562.799795,OptimizedTier1,[10],[10]
