seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.0002357,4299,219491886121,1174.792,266,104.2193,0,0,3,1,0,68078544,18418848,76095488
2.0002688,9516,220491998529,2416.75,582,339.9874,0,0,8,1,0,146608288,13303480,80777216
3.0003593,15672,221492090541,3418.496,582,339.9874,0,0,14,1,0,238899920,5222768,80781312
4.0004158,21813,222492163544,4420.688,584,340.6216,0,0,19,1,0,330967224,13693128,80781312
5.0001911,27954,223491915681,5421.778,584,340.6216,0,0,25,1,0,423036312,5391552,80781312
6.0002668,34062,224491997363,6429.917,599,352.1619,0,0,30,1,0,514621224,13375800,81281024
7.0004398,40149,225492188782,7431.727,600,352.4184,0,0,36,1,0,605864424,4250536,81285120
8.0000223,46326,226491769227,8432.832,600,352.4184,0,0,41,1,0,698472832,13261304,81285120
9.0002547,52488,227491941470,9434.549,600,352.4184,0,0,47,1,0,790855136,5273856,81289216
10.0003266,58638,228492072657,10436.499,601,352.5479,0,0,52,1,0,883054368,13877464,81829888
11.0002621,64788,229491985335,11438.094,601,352.5479,0,0,58,2,1,975210528,2517680,78897152
12.0000793,70965,230491826439,12442.631,608,355.6181,0,0,63,2,1,1067804056,11510976,78909440
13.0004264,77127,231492173720,13444.33,608,355.6181,0,0,69,2,1,1160186360,3523528,78909440
14.0004052,83304,232492148193,14445.611,608,355.6181,0,0,74,2,1,1252786624,12529344,78905344
15.0004287,89445,233492177450,15446.455,608,355.6181,0,0,80,2,1,1344884600,4261792,78905344
16.0001397,95958,234491882800,16447.475,608,355.6181,0,0,85,2,1,1437000072,12782224,78893056
17.0001476,102645,235491882210,17448.686,608,355.6181,0,0,91,2,1,1528853584,4254168,78893056
18.0003868,109344,236492146588,18450.445,608,355.6181,0,0,96,2,1,1620876424,12670296,78893056
19.000483,116031,237492240458,19452.121,608,355.6181,0,0,102,2,1,1712730920,4144552,78893056
20.0002505,122724,238491980655,20453.253,608,355.6181,0,0,107,2,1,1804664040,12473528,78893056
