workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 169066.00 ns, 169.0660 us/op",258834115438,40949.637,3050,731.2668,0,0,117,12,11,1806290056,666880,94740480
"WorkloadJitting  2: 16 op, 447357.00 ns, 27.9598 us/op",258840126336,40955.808,3065,732.9824,0,0,125,20,19,1806331376,668136,90828800
"WorkloadWarmup   1: 39299296 op, 998301569.00 ns, 25.4025 ns/op",266876965750,49216.267,3654,956.7541,0,0,249,144,143,1806673512,669608,91639808
"WorkloadWarmup   2: 39299296 op, 999216181.00 ns, 25.4258 ns/op",267878543296,50224.532,3670,962.6987,0,0,253,148,147,1806696784,665568,91672576
"WorkloadWarmup   3: 39299296 op, 998777761.00 ns, 25.4146 ns/op",268879622981,51225.831,3670,962.6987,0,0,257,152,151,1806724248,651216,91713536
"WorkloadWarmup   4: 39299296 op, 998584580.00 ns, 25.4097 ns/op",269880424947,52227.239,3671,962.9153,0,0,261,156,155,1806751712,651368,91750400
"WorkloadWarmup   5: 39299296 op, 998311921.00 ns, 25.4028 ns/op",270881307523,53231.303,3677,966.0497,0,0,265,160,159,1806779176,651520,91795456
"WorkloadWarmup   6: 39299296 op, 999634223.00 ns, 25.4364 ns/op",271883123695,54233.392,3677,966.0497,0,0,269,164,163,1806806640,651672,91828224
"WorkloadWarmup   7: 39299296 op, 999412728.00 ns, 25.4308 ns/op",272884712552,55235.211,3677,966.0497,0,0,273,168,167,1806834104,651824,91873280
"WorkloadWarmup   8: 39299296 op, 1000581003.00 ns, 25.4605 ns/op",273887467570,56238.467,3678,966.2473,0,0,277,172,171,1806861568,651976,91901952
"WorkloadWarmup   9: 39299296 op, 999554563.00 ns, 25.4344 ns/op",274889195026,57240.386,3678,966.2473,0,0,281,176,175,1806889032,652128,91942912
"WorkloadWarmup  10: 39299296 op, 999134807.00 ns, 25.4237 ns/op",275890506772,58241.92,3678,966.2473,0,0,285,180,179,1806916496,652280,91975680
"WorkloadWarmup  11: 39299296 op, 998378343.00 ns, 25.4045 ns/op",276891106978,59243.504,3679,966.9376,0,0,289,184,183,1806943928,652432,92016640
"WorkloadWarmup  12: 39299296 op, 997805852.00 ns, 25.3899 ns/op",277891142750,60244.469,3680,967.5316,0,0,293,188,187,1806971360,652584,92053504
"WorkloadWarmup  13: 39299296 op, 998632769.00 ns, 25.4110 ns/op",278891970942,61253.28,3683,975.9518,0,0,297,192,191,1806998792,652736,92102656
"WorkloadWarmup  14: 39299296 op, 998870101.00 ns, 25.4170 ns/op",279893062628,62254.715,3683,975.9518,0,0,301,196,195,1807026224,652888,92139520
"WorkloadWarmup  15: 39299296 op, 999141800.00 ns, 25.4239 ns/op",280894397327,63256.491,3684,976.1525,0,0,305,200,199,1807053656,653040,92176384
"WorkloadWarmup  16: 39299296 op, 998363425.00 ns, 25.4041 ns/op",281894940707,64257.256,3684,976.1525,0,0,309,204,203,1807081088,653192,92209152
"WorkloadWarmup  17: 39299296 op, 999700244.00 ns, 25.4381 ns/op",282896804736,65259.3,3684,976.1525,0,0,313,208,207,1807108520,653344,92250112
"WorkloadWarmup  18: 39299296 op, 998838392.00 ns, 25.4162 ns/op",283897769864,66260.63,3684,976.1525,0,0,317,212,211,1807135984,653528,92229632
"WorkloadWarmup  19: 39299296 op, 998365617.00 ns, 25.4042 ns/op",284898581876,67261.641,3684,976.1525,0,0,321,216,215,1807162336,653656,92278784
"WorkloadWarmup  20: 39299296 op, 1000275088.00 ns, 25.4527 ns/op",285901351167,68265.304,3686,976.8276,0,0,325,220,219,1807189800,653896,92315648
"WorkloadWarmup  21: 39299296 op, 1000333988.00 ns, 25.4542 ns/op",286903860882,69268.144,3686,976.8276,0,0,329,224,223,1807209064,645856,92356608
"WorkloadWarmup  22: 39299296 op, 1000365506.00 ns, 25.4550 ns/op",287906480672,70274.459,3690,980.6839,0,0,333,228,227,1807244728,654264,92393472
"WorkloadWarmup  23: 39299296 op, 999392397.00 ns, 25.4303 ns/op",288908078613,71276.253,3690,980.6839,0,0,337,232,231,1807272192,653912,92434432
"WorkloadWarmup  24: 39299296 op, 1000156085.00 ns, 25.4497 ns/op",289910392652,72278.73,3690,980.6839,0,0,341,236,235,1807299656,654096,92471296
"WorkloadWarmup  25: 39299296 op, 999911057.00 ns, 25.4435 ns/op",290912467955,73281.392,3693,980.9836,0,0,345,240,239,1807327120,654280,92508160
"WorkloadWarmup  26: 39299296 op, 1000030631.00 ns, 25.4465 ns/op",291914752731,74283.872,3693,980.9836,0,0,349,244,243,1807354552,654432,92545024
"WorkloadWarmup  27: 39299296 op, 1000101264.00 ns, 25.4483 ns/op",292917210480,75328.932,3755,1022.8516,0,0,353,248,247,1807382016,654616,92647424
"WorkloadWarmup  28: 39299296 op, 1003286909.00 ns, 25.5294 ns/op",293922728240,76334.686,3755,1022.8516,0,0,357,252,251,1807409480,654800,92680192
"WorkloadWarmup  29: 39299296 op, 1000663666.00 ns, 25.4626 ns/op",294925597017,77337.743,3755,1022.8516,0,0,361,256,255,1807436944,654984,92721152
"WorkloadWarmup  30: 39299296 op, 1001270149.00 ns, 25.4781 ns/op",295929134055,78343.434,3758,1025.051,0,0,365,260,259,1807464408,655168,92758016
"WorkloadWarmup  31: 39299296 op, 1000502564.00 ns, 25.4585 ns/op",296931861017,79346.888,3760,1025.239,0,0,369,264,263,1807491872,655352,92803072
"WorkloadWarmup  32: 39299296 op, 1000621867.00 ns, 25.4616 ns/op",297934739142,80361.21,3776,1037.5484,0,0,373,268,267,1807511136,647312,92844032
"WorkloadWarmup  33: 39299296 op, 1000315485.00 ns, 25.4538 ns/op",298937236145,81363.871,3776,1037.5484,0,0,377,272,271,1807538600,647496,92884992
"WorkloadWarmup  34: 39299296 op, 999445265.00 ns, 25.4316 ns/op",299938882355,82365.721,3776,1037.5484,0,0,381,276,275,1807566064,647680,92917760
"WorkloadWarmup  35: 39299296 op, 1018857917.00 ns, 25.9256 ns/op",300959870515,83386.381,3776,1037.5484,0,0,385,280,279,1807601728,656088,92938240
"WorkloadWarmup  36: 39299296 op, 1016045881.00 ns, 25.8540 ns/op",301978096722,84404.853,3776,1037.5484,0,0,389,284,283,1807628080,656216,92971008
"WorkloadWarmup  37: 39299296 op, 1000049594.00 ns, 25.4470 ns/op",302980553968,85407.623,3776,1037.5484,0,0,393,288,287,1807654432,656400,93020160
