seconds,callbacks,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
1.000366,4566,96462472564,1150.441,257,94.5763,0,0,3,0,0,65960096,16029864,74088448
2.0003942,10254,97462570081,2375.364,565,319.4484,0,0,8,0,0,144336616,10776576,78745600
3.0002028,17043,98462378970,3375.062,565,319.4484,0,0,14,0,0,237481664,3563272,78757888
4.0001428,23841,99462319524,4375.75,567,320.1782,0,0,19,0,0,330805968,13290400,78831616
5.0003288,30492,100462505596,5375.778,568,325.4838,0,0,25,0,0,422112800,4210248,79278080
6.0003364,37272,101462512663,6380.194,582,329.8543,0,0,30,0,0,515198184,13688128,79298560
7.0001772,44064,102462353939,7379.872,583,330.102,0,0,36,0,0,608432272,6548104,79306752
8.0002607,50850,103462437249,8379.914,583,330.102,0,0,41,0,0,701590328,16098872,79310848
9.0002039,57633,104462379835,9379.824,583,330.102,0,0,47,1,0,794705608,8782896,79503360
10.0002084,64428,105462396179,10379.899,583,330.102,0,0,52,1,0,887165640,17637680,79605760
11.0003359,71814,106462524092,11379.92,583,330.102,0,0,58,1,0,980355264,10451576,79605760
12.0004156,78759,107462591296,12382.77,590,332.89,0,0,63,1,0,1073336616,19841016,79630336
13.0003685,85527,108462544130,13382.61,590,332.89,0,0,69,1,0,1166191256,12336464,79630336
14.0003623,92283,109462538161,14382.498,590,332.89,0,0,75,1,0,1258907264,4685416,79630336
15.0003038,99051,110462480556,15382.29,590,332.89,0,0,80,1,0,1351826816,13999648,79630336
16.0002668,106140,111462450362,16382.314,590,332.89,0,0,86,1,0,1443302792,5092744,79618048
17.0003823,113340,112462558356,17382.503,591,333.0716,0,0,91,1,0,1536456280,14646736,79630336
18.0002609,120096,113462436541,18382.268,591,333.0716,0,0,97,1,0,1629198120,7005792,79630336
19.0003269,126864,114462502536,19382.19,591,333.0716,0,0,102,2,0,1722110168,16228208,79630336
20.0000484,133623,115462223910,20381.835,591,333.0716,0,0,108,2,0,1814900864,8636264,79630336
