workload,timestamp,cpu_ms,jit_methods,jit_ms,threads,pending_work,gc0,gc1,gc2,allocated_bytes,heap_bytes,rss_bytes
"WorkloadJitting  1: 1 op, 157134.00 ns, 157.1340 us/op",382663457483,40823.436,3013,693.4631,0,0,119,12,10,1828714328,436928,93278208
"WorkloadJitting  2: 16 op, 416838.00 ns, 26.0524 us/op",382667907338,40827.949,3028,695.1078,0,0,127,20,18,1828750360,434016,89292800
"WorkloadWarmup   1: 40726192 op, 999687690.00 ns, 24.5466 ns/op",390596754657,48908.595,3495,855.4089,0,0,243,136,134,1829073616,439680,90206208
"WorkloadWarmup   2: 40726192 op, 1000248803.00 ns, 24.5603 ns/op",391598729071,49910.581,3495,855.4089,0,0,247,140,138,1829095768,435640,90226688
"WorkloadWarmup   3: 40726192 op, 999704946.00 ns, 24.5470 ns/op",392600173150,50912.01,3495,855.4089,0,0,251,144,142,1829122112,435792,90267648
"WorkloadWarmup   4: 40726192 op, 1001337079.00 ns, 24.5871 ns/op",393603284649,51918.428,3507,858.9777,0,0,255,148,146,1829148456,421440,90300416
"WorkloadWarmup   5: 40726192 op, 1003036309.00 ns, 24.6288 ns/op",394608352497,52927.749,3510,863.8921,0,0,259,152,150,1829178992,425784,90009600
"WorkloadWarmup   6: 40726192 op, 1002385612.00 ns, 24.6128 ns/op",395612329741,53931.699,3510,863.8921,0,0,263,156,154,1829205336,425936,90009600
"WorkloadWarmup   7: 40726192 op, 1002095471.00 ns, 24.6057 ns/op",396616034639,54935.345,3510,863.8921,0,0,267,160,158,1829231680,426088,90009600
"WorkloadWarmup   8: 40726192 op, 1002531112.00 ns, 24.6164 ns/op",397620353848,55939.867,3510,863.8921,0,0,271,164,162,1829258024,426240,89976832
"WorkloadWarmup   9: 40726192 op, 1003194690.00 ns, 24.6327 ns/op",398625446157,56945.767,3511,864.6956,0,0,275,168,166,1829284368,426392,89993216
"WorkloadWarmup  10: 40726192 op, 1002761612.00 ns, 24.6220 ns/op",399629820919,57950.127,3511,864.6956,0,0,279,172,170,1829310712,426544,90009600
"WorkloadWarmup  11: 40726192 op, 1004599520.00 ns, 24.6672 ns/op",400636117905,58956.365,3511,864.6956,0,0,283,176,174,1829332832,422504,90030080
"WorkloadWarmup  12: 40726192 op, 1003093080.00 ns, 24.6302 ns/op",401640817272,59961.074,3511,864.6956,0,0,287,180,178,1829359144,422656,90062848
"WorkloadWarmup  13: 40726192 op, 1001203996.00 ns, 24.5838 ns/op",402643913808,60964.134,3511,864.6956,0,0,291,184,182,1829384304,422752,90095616
"WorkloadWarmup  14: 40726192 op, 1004651591.00 ns, 24.6684 ns/op",403650493105,61971.574,3512,865.5058,0,0,295,188,186,1829410616,422960,90140672
"WorkloadWarmup  15: 40726192 op, 1002525917.00 ns, 24.6162 ns/op",404654813499,62976.147,3513,865.8094,0,0,299,192,190,1829436928,423112,90173440
"WorkloadWarmup  16: 40726192 op, 1002504908.00 ns, 24.6157 ns/op",405658940262,63980.313,3513,865.8094,0,0,303,196,194,1829463240,423264,90206208
"WorkloadWarmup  17: 40726192 op, 1001633442.00 ns, 24.5943 ns/op",406662296348,64983.581,3513,865.8094,0,0,307,200,198,1829481352,415192,90238976
"WorkloadWarmup  18: 40726192 op, 1003381192.00 ns, 24.6372 ns/op",407667353427,65988.801,3513,865.8094,0,0,311,204,202,1829507696,415376,90259456
"WorkloadWarmup  19: 40726192 op, 1003606643.00 ns, 24.6428 ns/op",408672707209,66994.102,3513,865.8094,0,0,315,208,206,1829532896,415504,90292224
