phase,index,operations,resultNanoseconds,resultNsPerOperation,actualNanoseconds
A1,1,19257568,941198940,48.87423687144711,988809439
A1,2,19257568,942304014,48.93162075294243,989914513
A1,3,19257568,943393465,48.98819336896538,991003964
A1,4,19257568,940913727,48.85942643432442,988524226
A1,5,19257568,954756219,49.578234333639635,1002366718
A1,6,19257568,940429636,48.834288732616706,988040135
A1,7,19257568,938854397,48.7524902936861,986464896
A1,8,19257568,942208752,48.926674022389534,989819251
A1,9,19257568,945100382,49.07682953527673,992710881
A1,10,19257568,940401916,48.83284929851994,988012415
A1,11,19257568,942821677,48.95850176927845,990432176
A1,12,19257568,937915236,48.703721882223135,985525735
A1,13,19257568,939445445,48.78318201966105,987055944
A1,14,19257568,938686716,48.74378301559158,986297215
A1,15,19257568,938743328,48.74672274297564,986353827
A1,16,19257568,940346801,48.82998730680842,987957300
A1,17,19257568,939938252,48.80877232265258,987548751
A1,18,19257568,935852984,48.59663400902959,983463483
A1,19,19257568,940202374,48.82248755398397,987812873
A1,20,19257568,940558652,48.84098822862783,988169151
A1,21,19257568,940157877,48.820176929921786,987768376
A1,22,19257568,940143757,48.81944371168779,987754256
A1,23,19257568,938887001,48.75418334236182,986497500
A1,24,19257568,938242593,48.72072075767823,985853092
A1,25,19257568,939038908,48.76207151391079,986649407
B,1,21140320,934241067,44.19238057891271,986361220
B,2,21140320,933146469,44.140602838556845,985266622
B,3,21140320,932476475,44.108910130026416,984596628
B,4,21140320,934002565,44.18109872509025,986122718
B,5,21140320,933450419,44.154980577399016,985570572
B,6,21140320,939265537,44.430052950948706,991385690
B,7,21140320,931471366,44.06136548547988,983591519
B,8,21140320,933401993,44.15268988359684,985522146
B,9,21140320,936013510,44.27622240344517,988133663
B,10,21140320,935257919,44.240480702278866,987378072
B,11,21140320,934218869,44.19133054750354,986339022
B,12,21140320,933357296,44.15057558258342,985477449
B,13,21140320,932691657,44.119088878503256,984811810
B,14,21140320,933973905,44.17974302186533,986094058
B,15,21140320,934985515,44.22759518304359,987105668
B,16,21140320,939272064,44.43036169745775,991392217
B,17,21140320,931976682,44.085268434914894,984096835
B,18,21140320,934531080,44.20609905621107,986651233
B,19,21140320,936119490,44.28123557259303,988239643
B,20,21140320,933551716,44.15977222672126,985671869
B,21,21140320,934737335,44.2158555310421,986857488
B,22,21140320,941026721,44.51336219130079,993146874
B,23,21140320,933592433,44.16169826189954,985712586
B,24,21140320,935758919,44.26417949207959,987879072
B,25,21140320,934707985,44.214467188765354,986828138
A2,1,19346144,940902238,48.635130494221485,988200242
A2,2,19346144,941972442,48.6904492182008,989270446
A2,3,19346144,944381311,48.81496338495155,991679315
A2,4,19346144,943424938,48.765528572515535,990722942
A2,5,19346144,942412454,48.713193388822084,989710458
A2,6,19346144,943868887,48.7884762462225,991166891
A2,7,19346144,946336122,48.9160073449262,993634126
A2,8,19346144,942211875,48.70282548294895,989509879
A2,9,19346144,943713183,48.78042792403489,991011187
A2,10,19346144,943862386,48.78814021026619,991160390
A2,11,19346144,942712215,48.728688001081764,990010219
A2,12,19346144,943020084,48.7446017149464,990318088
A2,13,19346144,942515773,48.71853393627175,989813777
A2,14,19346144,941910314,48.687237828892414,989208318
A2,15,19346144,941716268,48.67720761305198,989014272
A2,16,19346144,942328845,48.708871649048,989626849
A2,17,19346144,941635337,48.67302429879567,988933341
A2,18,19346144,943455951,48.76713163098548,990753955
A2,19,19346144,942070117,48.69549802792743,989368121
A2,20,19346144,942846285,48.73561806425094,990144289
A2,21,19346144,945013889,48.847661270380286,992311893
A2,22,19346144,944160821,48.80356628173552,991458825
A2,23,19346144,941969634,48.6903040729977,989267638
A2,24,19346144,940368956,48.607565207826426,987666960
A2,25,19346144,940666925,48.62296719180835,987964929
