Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
1,1770,4140,50,0,640,10,205595
2,2210,2700,20,610,750,0,172697
3,2290,4250,30,630,4250,30,220757
4,2280,3930,20,2070,1080,10,205997
5,2240,4030,10,620,1110,0,199987
6,1970,4310,70,540,0,0,212907
7,2240,2650,20,0,0,0,169371
8,2280,2690,20,0,0,0,172276
9,2190,3960,70,0,40,20,196472
10,2520,3930,10,2520,3810,0,195420
11,2190,3890,10,610,1070,0,194018
12,9920,2090,20,9920,2090,20,205835
13,4930,3940,10,4930,3520,0,195440
14,2210,4230,70,610,0,0,211685
15,2130,2680,20,0,0,0,172606
16,2300,3930,20,0,0,0,205436
17,2250,4260,70,0,0,0,213377
18,2110,2640,20,0,0,0,169351
19,2590,2570,10,0,0,0,165877
20,800,3920,30,0,0,0,193066
21,2480,4010,20,2480,2810,0,199657
22,1990,4220,60,550,1170,10,207878
23,2180,2630,20,600,730,0,167699
24,2640,2640,30,2640,2640,30,168850
25,2190,3960,70,1300,1090,20,196703
26,2190,3940,20,610,1090,0,205135
27,2250,4170,70,620,4170,70,208681
28,2230,3900,70,2080,1080,20,195240
29,2170,3840,70,600,1060,20,192046
30,2140,4320,70,590,4320,70,216412
31,2190,2670,20,1940,740,10,170704
32,2200,4010,20,610,1110,0,198424
33,2160,4250,70,600,4250,70,212756
34,2160,3890,70,2010,1070,20,194940
35,2170,3870,20,600,1070,10,196282
36,7440,4090,20,0,380,0,211895
37,2330,2670,30,640,740,10,171154
38,2310,4430,70,640,4430,70,216060
39,2200,3950,40,1890,1090,10,204284
40,2280,2760,20,630,770,0,174319
41,2290,3000,20,630,3000,20,186838
42,2200,3960,70,2200,1850,20,197183
43,2170,4800,20,600,1320,10,239596
44,2980,4200,20,820,4200,20,209402
45,8990,4350,20,3930,1200,10,206187
46,2710,3940,10,2710,3680,0,201229
47,2290,2700,20,630,750,0,172135
48,2180,3940,30,600,1090,10,195851
49,2550,3920,60,2550,3790,10,195520
50,2140,3880,20,590,1070,10,194048
51,2150,3860,70,600,1060,20,192696
52,2110,4140,20,580,4140,20,206557
53,2160,2660,30,2090,740,10,172616
54,2200,3980,10,610,1100,0,196783
55,2210,4310,10,610,0,0,214919
56,2120,3890,70,0,0,0,194419
57,2180,2670,20,0,0,0,172596
58,2200,4370,20,0,4370,20,216892
59,2180,3960,20,1170,1090,10,197243
60,2180,3940,10,600,1090,0,195400
61,2170,4120,20,600,0,0,221299
62,2520,3470,20,0,0,0,201440
63,5940,4390,30,1640,1210,10,217382
64,2650,3920,20,2650,3720,0,200619
65,2260,2670,30,620,740,10,171514
66,2210,3940,20,610,1090,10,194980
67,2300,4030,70,0,0,0,198515
68,2190,3900,10,0,0,0,194408
69,2310,3940,10,0,0,0,195661
70,2450,3960,10,2450,3480,0,196181
71,2010,3950,70,560,1090,20,195992
72,2200,2630,30,610,720,10,169592
73,2260,4240,30,620,4240,30,219056
74,2280,4000,30,2080,1100,10,210873
75,2240,2660,30,620,730,10,171675
76,2150,4320,20,590,4320,20,213287
77,1970,3970,70,1920,1090,20,196522
78,10210,2100,30,7370,580,10,207799
79,5740,3940,60,1590,1090,10,196972
80,2180,4330,20,600,4330,20,218375
81,2320,2710,20,2030,750,0,174148
82,2210,3900,70,610,1080,20,193768
83,2190,3960,20,610,3960,20,212305
84,2390,4030,60,2320,1110,20,198966
85,2180,3950,70,600,1090,20,198004
86,2180,3920,20,600,1080,10,196222
87,2560,3980,70,0,0,0,203472
88,2070,3900,70,0,0,0,194970
89,2230,2630,20,0,0,0,168860
90,2500,3980,70,2500,3080,20,197884
91,2180,2640,20,610,730,0,170302
92,2350,3950,30,650,1090,10,207098
93,2560,3920,10,2560,3780,0,202290
94,2240,3960,20,620,1090,10,196933
95,2140,3870,20,590,1070,10,193308
96,2140,4270,10,590,4270,10,212476
97,2200,3890,60,2010,1080,10,193798
98,2180,4020,30,600,1110,10,200128
99,2140,4200,70,590,4200,70,209752
100,2170,2680,10,2050,740,0,171956
101,2320,4000,20,640,1110,0,210112
102,2280,2800,30,630,0,0,185156
103,2310,2670,30,0,0,0,172396
104,2210,3940,10,0,1070,0,195060
105,2240,4040,10,620,1120,0,200828
106,2510,4040,80,2510,3850,20,202501
107,2200,3870,70,610,1070,20,193657
108,2220,2690,20,610,740,10,174269
109,2510,4040,20,0,0,0,200357
110,2190,3950,20,0,0,0,196402
111,3990,7770,50,0,0,0,417490
112,9620,4280,70,1050,4280,70,219996
113,2250,3850,70,2020,1060,20,193288
114,2250,3900,20,620,1080,0,193568
115,2160,3830,70,600,1060,20,191565
116,2450,3910,20,2450,3860,0,193197
117,2190,3880,20,610,1070,10,193858
118,2170,3930,10,600,1090,0,195450
119,2180,4140,10,600,0,0,206296
120,2190,3910,70,0,0,0,195240
121,2190,3830,70,0,0,0,191455
122,2180,3010,30,0,3010,30,189622
123,2220,4000,70,2220,1380,20,198935
124,2200,3930,20,610,1080,10,196131
125,2180,4280,20,600,4280,20,213307
126,2190,3910,70,1990,1080,20,195961
