Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
1,1780,2740,30,0,190,10,173798
2,2130,3920,60,580,1070,10,194400
3,2260,4350,70,610,4350,70,217654
4,2200,3890,10,2000,1060,0,193157
5,2200,3820,30,600,1040,10,190693
6,2220,4140,20,600,0,0,206246
7,2000,2630,20,0,0,0,166397
8,2180,3880,70,0,0,0,193548
9,2290,4170,10,0,4170,10,207518
10,2230,3970,20,1330,1080,10,198004
11,2200,2680,20,600,730,10,171344
12,2190,3970,10,600,1080,0,196002
13,2540,3840,70,2540,3840,30,192215
14,2200,3860,10,600,1050,0,192516
15,2200,3970,30,600,1080,10,197944
16,14190,4330,70,14190,4330,70,223202
17,2330,3850,20,2330,3850,20,191484
18,2160,3810,20,1970,1040,10,190143
19,2120,3850,60,580,1050,10,192095
20,2460,3780,70,0,0,0,188940
21,2160,3810,20,0,0,0,190393
22,2150,3870,20,0,0,0,193237
23,2110,4060,20,50,0,0,203122
24,2160,3880,70,0,0,0,193758
25,2180,3840,70,0,0,0,191835
26,2150,4150,70,0,4150,70,207518
27,2170,3840,70,1650,1040,20,192156
28,2170,3890,10,590,1060,0,193848
29,2160,4180,70,590,0,0,208690
30,2220,3850,10,0,0,0,191254
31,2160,3960,60,0,0,0,196702
32,2010,4210,130,0,4210,130,211936
33,2190,3870,70,1590,1050,20,193217
34,2200,3910,60,600,1070,10,195030
35,2150,3820,20,580,1040,10,190123
36,2390,3830,20,2390,3830,20,190553
37,2120,3810,10,640,1040,0,189591
38,2110,3810,70,570,1040,20,190713
39,2190,4180,70,600,4180,70,208009
40,2150,3920,30,2140,1060,10,195981
41,2140,3860,20,580,1050,10,192536
42,2200,4080,20,600,0,0,203562
43,2200,3910,20,0,0,0,194198
44,2200,3840,20,0,0,0,191565
45,2160,4230,20,0,0,0,210652
46,2020,3950,70,0,0,0,195361
47,2260,3860,10,0,0,0,191203
48,1990,3930,20,0,90,0,193518
49,14520,4370,20,8600,0,0,224904
