Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
1,2360,8120,50,510,0,0,673391
2,3050,7960,50,0,0,0,658579
3,3040,7780,40,0,0,0,659600
4,3030,7810,40,0,0,0,664728
5,3000,7710,40,0,0,0,653230
6,2990,7560,40,0,350,10,640572
7,3340,7950,40,0,0,0,678427
8,3140,7550,50,0,0,0,636746
9,3150,7900,40,0,0,0,657206
10,3010,7700,40,0,0,0,653371
11,3010,7690,40,0,0,0,651197
12,3040,7700,40,0,0,0,653872
13,3030,7730,50,0,0,0,655904
14,3020,7570,40,0,0,0,639380
15,3360,7600,50,3360,4110,10,642504
16,3160,7560,40,3160,7120,10,639341
17,3010,7870,40,620,7560,10,653400
18,3020,7790,40,640,0,0,660291
19,3000,7720,40,170,0,0,654822
20,3010,7760,40,160,0,0,658518
21,3070,7870,140,190,7870,140,660981
22,2950,7540,50,2270,1590,10,636066
23,3340,7670,40,0,170,10,645148
24,3080,7950,170,640,7560,40,659620
25,2990,7810,50,640,0,0,662084
26,3010,7740,40,180,0,0,656516
27,3010,7720,40,160,0,0,654352
28,3040,7910,40,160,0,0,674522
29,9370,7990,180,1530,7580,40,658759
30,3010,7680,40,640,0,0,648304
31,2990,7600,40,150,0,0,643085
32,3030,7590,40,130,0,0,641353
33,2970,7580,40,130,0,0,640240
34,2990,7490,40,120,1560,10,631158
35,3200,7490,50,0,100,10,629174
36,2990,7820,40,620,0,0,647122
37,3020,7610,40,0,0,0,641913
38,3010,7610,40,0,0,0,641703
39,3510,8040,50,0,0,0,684556
40,3000,7680,50,0,0,0,648884
41,3010,7420,40,0,290,10,624057
42,3340,7500,30,3340,4920,0,631779
43,2870,7580,50,0,50,10,625649
44,2990,7560,40,610,0,0,638930
45,3030,7610,40,120,0,0,642514
46,3000,7630,40,120,0,0,645139
47,3030,7590,40,130,0,0,641573
48,3010,7440,40,120,1500,10,625449
49,3130,7470,40,0,70,10,628283
50,3000,7760,40,600,7670,10,642465
51,3020,7610,40,620,0,0,643466
52,3000,7660,40,110,0,0,642845
53,3010,7550,50,130,0,0,638448
54,3010,7660,120,110,7660,120,639120
55,2980,7430,40,2520,1510,10,624568
56,3180,7490,40,0,80,10,631038
57,3150,8060,170,640,0,0,659369
58,2820,3450,40,0,0,0,654733
59,10480,7840,40,0,0,0,654022
60,1800,11910,150,0,7260,30,757045
61,10160,8110,50,0,1620,10,685398
62,2020,11790,160,0,710,30,750655
63,3810,7540,40,3810,4590,10,632019
64,2560,7480,40,0,0,0,626341
65,1750,12030,170,330,0,0,766850
66,3560,7790,40,0,0,0,642794
67,1750,12050,40,0,0,0,769463
68,3110,7580,30,0,0,0,638879
69,1750,11790,40,0,0,0,763024
70,3630,11740,40,0,0,0,763384
71,3560,9230,170,0,0,0,699109
72,3080,7520,40,0,0,0,633451
73,1740,11880,160,0,0,0,765658
74,3070,7450,40,0,570,10,625509
75,3050,7390,40,0,40,10,621223
76,1750,11980,30,340,8590,0,764365
77,3620,11910,40,710,8540,10,762664
78,3120,7810,30,610,0,0,643386
79,1740,11880,50,0,0,0,759809
80,3540,9260,150,0,0,0,698117
81,3080,7560,40,0,0,0,637878
82,1750,11810,40,0,0,0,762613
83,3560,9110,160,0,0,0,688133
84,3060,9140,40,0,0,0,692849
85,3140,7350,40,0,570,10,616226
86,5970,7600,40,0,640,10,633561
87,2020,11690,50,0,660,10,750646
88,3790,9000,50,0,480,10,677687
89,3230,8500,50,0,280,10,731458
90,2830,11990,50,0,860,10,766789
91,3740,7490,40,0,180,10,628394
92,1780,11910,50,340,8640,10,758316
93,10140,9620,160,0,0,0,742473
94,3020,7660,40,470,0,0,646009
95,1750,11870,170,0,150,30,769604
96,3450,9230,40,650,0,0,698458
97,3090,7410,40,420,1390,10,622765
98,1950,11660,50,0,620,10,745077
99,3690,7390,40,0,140,10,620652
100,1740,11900,30,330,8680,0,759217
