Sample,SetupCpuTicks,StopCpuTicks,CleanupCpuTicks,SetupKernelTicks,StopKernelTicks,CleanupKernelTicks,LatencyTicks
1,3630,7660,160,3630,7660,160,643486
2,2850,8150,40,2850,8150,40,669985
3,3040,7800,150,3040,1170,30,663376
4,2940,7800,40,550,0,0,664467
5,3020,7710,150,200,0,0,653351
6,2800,7920,50,140,0,0,665819
7,3030,7440,30,220,1380,0,627492
8,3390,7650,40,3390,4930,10,647732
9,3330,7490,50,0,160,10,632210
10,3050,7960,50,570,7710,10,664757
11,3010,7660,50,570,0,0,648994
12,3030,8100,40,180,0,0,694141
13,3010,7610,50,250,0,0,645299
14,3040,8100,160,170,0,0,679159
15,3000,7470,40,250,1400,0,630437
16,3410,7660,50,3410,4900,10,650156
17,3180,7460,40,0,130,0,629726
18,3030,7980,50,570,7700,10,667291
19,3000,7640,40,570,0,0,648114
20,3080,7860,40,180,0,0,669435
21,3030,7650,40,220,0,0,648164
22,3000,7870,40,170,0,0,671247
23,3050,7590,30,220,1430,0,636376
24,3450,7700,40,3450,4860,10,652730
25,3200,7460,40,0,140,0,627232
26,3060,8090,50,580,7700,10,677295
27,3020,7590,40,580,0,0,642866
28,3060,7750,50,170,0,0,659069
29,9370,7600,220,0,960,40,638759
30,2990,7950,50,570,7670,10,660251
31,2990,2670,40,570,0,0,642655
32,11600,12050,150,840,8440,30,767581
33,3570,9210,170,690,0,0,723244
34,3060,7560,40,490,0,0,638629
35,1820,12040,150,0,8330,30,777365
36,3360,7700,150,650,0,0,652009
37,2900,11900,180,170,380,40,772578
38,3010,8940,150,580,0,0,680802
39,3020,7640,30,420,0,0,647492
40,1770,11570,130,0,2120,30,744526
41,3200,7310,30,3200,7310,30,613551
42,2290,7320,30,2290,4870,0,613131
43,1830,11880,50,360,8370,10,758387
44,3590,9250,300,710,7820,60,685730
45,3120,7520,40,630,0,0,633712
46,1780,11820,40,0,0,0,757435
47,3610,9120,160,0,0,0,684647
48,3100,7450,30,0,0,0,627333
49,1820,11680,40,0,0,0,754410
50,3620,11630,40,530,330,10,756644
51,3650,7970,110,720,7970,110,656305
52,3890,7500,40,2260,1490,0,630788
53,3570,11550,40,0,0,0,748793
54,4060,8900,50,0,0,0,667332
55,3840,8870,40,0,0,0,669104
56,3310,7360,40,0,0,0,615615
57,1780,11860,160,0,0,0,758226
58,3550,9210,50,0,5830,10,679621
59,3110,7490,40,610,0,0,631958
60,1820,11730,210,0,240,40,761201
61,10420,7780,180,100,1500,40,653350
62,4710,7300,40,0,390,10,611569
63,1810,12070,180,350,0,0,777906
64,4020,11550,40,4020,11550,40,745448
65,3880,7380,40,3880,7380,40,619771
66,1820,11810,170,1820,5630,40,756454
67,3650,9150,170,730,7750,40,682844
68,3120,7430,30,630,0,0,625890
69,1780,11830,50,0,8140,10,757535
70,3560,9090,160,720,0,0,687311
71,3120,7580,30,520,0,0,639530
72,1820,11690,50,0,280,10,758297
73,3550,7360,40,710,1490,10,614512
74,3690,7320,40,0,220,10,613532
75,2230,7320,30,0,0,0,615514
76,1840,11900,50,310,8320,10,766229
77,3590,7560,50,730,0,0,638478
78,3040,11730,40,180,8270,10,756304
79,3210,9260,160,660,0,0,705889
80,3100,7530,40,540,0,0,636276
81,1820,11800,30,0,280,0,767390
82,3580,8980,50,720,0,0,678479
83,3120,8190,70,480,0,0,660861
84,2800,11820,50,240,380,10,771836
85,3550,7390,50,710,1480,10,620382
86,3360,11690,40,3360,5630,10,762562
87,3850,7430,40,3850,4350,10,624468
88,1830,11890,40,370,8300,10,764365
89,3790,7400,30,3790,6400,0,617618
90,1860,11890,190,390,8260,40,766648
91,3400,9200,170,710,0,0,695934
92,3110,9200,160,550,0,0,701912
93,10310,9210,180,0,0,0,698539
94,3160,7470,40,530,1540,10,629545
95,3660,7260,40,0,200,10,609336
96,1800,11960,40,370,8310,10,768943
97,3970,7360,40,3970,4180,10,614093
98,1810,11890,50,380,0,0,763484
99,3130,9210,80,0,0,0,690526
100,3080,9170,160,0,0,0,695773
