phase,block,sample_end,samples,p50_ms,p95_ms,p99_ms,p999_ms,max_ms,over_1ms,over_5ms,elapsed_seconds,heap_bytes,rss_bytes,gen2,block_gen2,block_lifecycle_cpu_ms,block_wall_ms
A1,1,100,100,0.766996,0.932286,0.952565,1.321822,1.321822,1,0,0.1145532,2192080,52424704,6,,,
A1,2,200,100,0.816271,0.845737,0.871812,0.938148,0.938148,0,0,0.2227978,3350400,56209408,9,3,135.296,108.24459999999999
A1,3,300,100,0.88707,0.930516,0.987514,1.043828,1.043828,1,0,0.3385902,4375976,56434688,12,3,144.915,115.79240000000001
A1,4,400,100,0.895801,0.930486,1.027127,1.036096,1.036096,2,0,0.4575819,5406840,56438784,15,3,145.116,118.99169999999998
A1,5,500,100,1.12534,1.533892,1.561364,1.626647,1.626647,77,0,0.6124932,6445856,56745984,18,3,202.24,154.91129999999998
A1,6,600,100,1.068406,1.797249,1.822707,10.186681,10.186681,100,1,0.7940119,7473272,57507840,21,3,276.836,181.51870000000002
A1,7,700,100,1.036366,1.084463,1.675269,1.679146,1.679146,100,0,0.9362411,8490672,57524224,24,3,171.616,142.22920000000005
A1,8,800,100,1.028832,1.046452,1.077383,1.079217,1.079217,100,0,1.0756756,1334752,57528320,28,4,163.634,139.4345
A1,9,900,100,1.046201,1.752174,1.762474,1.763426,1.763426,100,0,1.2614495,2352192,59285504,31,3,296.555,185.77389999999983
A1,10,1000,100,1.030014,1.046401,1.061854,1.07024,1.07024,100,0,1.399634,3369720,59289600,34,3,162.046,138.18450000000016
A1,11,1100,100,1.030556,1.700987,1.717298,1.725464,1.725464,100,0,1.5559123,4298016,58093568,37,3,216.25,156.27829999999986
A1,12,1200,100,1.024844,1.047247,1.073927,1.074167,1.074167,100,0,1.6977315,5421048,59764736,40,3,165.668,141.81920000000002
A1,13,1300,100,0.80117,1.686369,1.733669,1.735563,1.735563,47,0,1.8115292,6333848,59002880,43,3,190.738,113.7977000000001
A1,14,1400,100,0.239553,0.266394,0.334551,0.349729,0.349729,0,0,1.8540123,7471040,59899904,46,3,66.053,42.48309999999989
A1,15,1500,100,0.240615,0.258827,0.26925,0.274816,0.274816,0,0,1.8962611,8488968,59904000,49,3,63.931,42.24880000000009
A1,16,1600,100,0.241398,0.263198,0.270618,0.280937,0.280937,0,0,1.9390357,1335392,59904000,53,4,64.628,42.77459999999999
A1,17,1700,100,0.241738,0.267756,0.274295,0.341913,0.341913,0,0,1.9816997,2352832,59904000,56,3,64.684,42.66400000000004
A1,18,1800,100,0.241457,0.265709,0.268715,0.27158,0.27158,0,0,2.024126,3370424,59904000,59,3,64.443,42.426299999999806
A1,19,1900,100,0.242576,0.263619,0.269907,0.273514,0.273514,0,0,2.0666658,4404288,59904000,62,3,64.465,42.53980000000013
A1,20,2000,100,0.242395,0.260973,0.267016,0.271611,0.271611,0,0,2.109049,5421752,59904000,65,3,64.347,42.38320000000017
A1,21,2100,100,0.32343,0.35506,0.362995,0.364156,0.364156,0,0,2.1700239,6334560,59166720,68,3,114.877,60.97489999999972
A1,22,2200,100,0.237216,0.261541,0.285779,0.317839,0.317839,0,0,2.2115797,7465800,60039168,71,3,64.23,41.555800000000254
A1,23,2300,100,0.238281,0.264937,0.268755,0.308263,0.308263,0,0,2.2529613,8489672,60039168,74,3,62.818,41.38159999999979
A1,24,2400,100,0.314173,0.346423,0.354118,0.358185,0.358185,0,0,2.3075969,1230536,57241600,78,4,94.8,54.63560000000012
A1,25,2500,100,0.254711,0.342766,0.346373,0.347424,0.347424,0,0,2.3625469,2254336,57704448,81,3,108.19,54.94999999999983
A1,26,2600,100,0.242858,0.272414,0.274718,0.280349,0.280349,0,0,2.4125285,3384552,60133376,84,3,97.506,49.981600000000185
A1,27,2700,100,0.218661,0.241894,0.246423,0.247899,0.247899,0,0,2.4509255,4409960,60231680,87,3,68.005,38.39699999999979
A1,28,2800,100,0.217971,0.241267,0.242786,0.25052,0.25052,0,0,2.4892632,5428248,60231680,90,3,67.443,38.33770000000003
A1,29,2900,100,0.219021,0.241336,0.25341,0.254608,0.254608,0,0,2.5279208,6457512,60231680,93,3,68.584,38.65760000000007
A1,30,3000,100,0.203252,0.241165,0.244543,0.24935,0.24935,0,0,2.5665199,7372856,59740160,96,3,64.748,38.599099999999886
A1,31,3100,100,0.184786,0.206692,0.213945,0.221456,0.221456,0,0,2.6016043,8496184,60231680,99,3,54.299,35.08440000000013
A1,32,3200,100,0.243088,0.269538,0.270861,0.272364,0.272364,0,0,2.6510154,1237216,57430016,103,4,93.467,49.411099999999934
A1,33,3300,100,0.182887,0.208332,0.219843,0.243478,0.243478,0,0,2.686787,2360048,60280832,106,3,54.716,35.77159999999991
A1,34,3400,100,0.188213,0.234654,0.241183,0.243267,0.243267,0,0,2.7239808,3393544,60280832,109,3,61.662,37.19380000000028
A1,35,3500,100,0.204658,0.262895,0.268987,0.271662,0.271662,0,0,2.7643964,4314912,58621952,112,3,68.582,40.41559999999977
A1,36,3600,100,0.243268,0.273746,0.277392,0.283515,0.283515,0,0,2.8159006,5324392,59072512,115,3,102.069,51.50420000000011
A1,37,3700,100,0.238219,0.273696,0.284046,0.317188,0.317188,0,0,2.8648101,6447544,63475712,118,3,96.06,48.909500000000165
A1,38,3800,100,0.23866,0.27043,0.273676,0.283194,0.283194,0,0,2.9097467,7364528,63119360,121,3,87.464,44.93659999999977
A1,39,3900,100,0.258788,0.283705,0.301789,0.302901,0.302901,0,0,2.9604743,8390224,63582208,124,3,97.27,50.727600000000095
A1,40,4000,100,0.256474,0.290508,0.314183,0.327749,0.327749,0,0,3.0113133,1238232,60882944,128,4,97.882,50.83899999999986
A1,41,4100,100,0.257756,0.289085,0.300357,0.300937,0.300937,0,0,3.0606624,2255912,61374464,131,3,99.513,49.34910000000015
A1,42,4200,100,0.261032,0.288304,0.300788,0.313331,0.313331,0,0,3.1107442,3273520,62148608,134,3,97.017,50.081800000000065
A1,43,4300,100,0.25478,0.284908,0.294826,0.294976,0.294976,0,0,3.15437,4404056,64143360,137,3,81.224,43.62580000000005
A1,44,4400,100,0.210707,0.238197,0.244088,0.315245,0.315245,0,0,3.1876172,5428232,64241664,140,3,60.905,33.24719999999992
A1,45,4500,100,0.210817,0.234082,0.241826,0.24266,0.24266,0,0,3.2208527,6456264,64241664,143,3,62.912,33.23549999999997
A1,46,4600,100,0.2122,0.231397,0.237748,0.244803,0.244803,0,0,3.2545614,7478032,64241664,146,3,64.223,33.708700000000036
A1,47,4700,100,0.211148,0.235163,0.242569,0.243299,0.243299,0,0,3.2881008,8502568,64241664,149,3,63.414,33.5394
A1,48,4800,100,0.211969,0.232679,0.236077,0.24324,0.24324,0,0,3.3224154,1343248,64241664,153,4,65.045,34.314600000000084
A1,49,4900,100,0.219153,0.246545,0.261674,0.263076,0.263076,0,0,3.3624534,2361536,64163840,156,3,74.492,40.03800000000002
A1,50,5000,100,0.215164,0.239181,0.246455,0.248658,0.248658,0,0,3.3975126,3387776,64262144,159,3,66.04,35.05920000000007
A1,51,5100,100,0.214063,0.234711,0.238207,0.244202,0.244202,0,0,3.4320747,4413096,64262144,162,3,64.483,34.562099999999596
A1,52,5200,100,0.213062,0.233963,0.240642,0.245953,0.245953,0,0,3.4664342,5429776,64262144,165,3,64.248,34.359500000000324
A1,53,5300,100,0.214306,0.236816,0.242588,0.2429,0.2429,0,0,3.501606,6456744,64266240,168,3,65.814,35.17180000000009
A1,54,5400,100,0.214234,0.235544,0.242399,0.244553,0.244553,0,0,3.5361529,7480392,64266240,171,3,63.685,34.5468999999996
A1,55,5500,100,0.181885,0.199785,0.200741,0.200907,0.200907,0,0,3.5687787,8496928,64266240,174,3,51.785,32.62580000000037
A1,56,5600,100,0.1816,0.199288,0.201989,0.212038,0.212038,0,0,3.6013214,1344712,64266240,178,4,51.91,32.54269999999959
A1,57,5700,100,0.181691,0.199167,0.202514,0.205219,0.205219,0,0,3.6331161,2362168,64266240,181,3,50.662,31.794700000000287
A1,58,5800,100,0.181951,0.200877,0.207312,0.216259,0.216259,0,0,3.6650212,3379552,64266240,184,3,50.843,31.90509999999991
A1,59,5900,100,0.181093,0.200186,0.203902,0.204226,0.204226,0,0,3.6971586,4405208,64266240,187,3,51.227,32.13739999999987
A1,60,6000,100,0.181274,0.198502,0.201158,0.203045,0.203045,0,0,3.7292743,5430728,64266240,190,3,51.277,32.1157000000003
A1,61,6100,100,0.181791,0.201178,0.201772,0.212583,0.212583,0,0,3.7612658,6448312,64266240,193,3,51.024,31.99149999999973
A1,62,6200,100,0.210958,0.230767,0.232919,0.23317,0.23317,0,0,3.7945115,7481384,64266240,196,3,60.331,33.245700000000156
A1,63,6300,100,0.211679,0.233611,0.243708,0.243931,0.243931,0,0,3.8281136,8502024,64266240,199,3,63.778,33.602099999999965
A1,64,6400,100,0.21167,0.233301,0.236395,0.237949,0.237949,0,0,3.8622644,1345384,64266240,203,4,64.7,34.150799999999926
