Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,155812502305,155812523795,155812526672,155813357705,155813381820,155813382632,3,3,3,3,3,3
2,155813621275,155813638196,155813640619,155814464650,155814487272,155814488103,3,3,3,3,3,3
3,155814742385,155814760659,155814764528,155815588609,155815609959,155815610700,3,3,3,3,3,3
4,155815852890,155815869471,155815871874,155816684914,155816707706,155816708397,3,3,3,3,3,3
5,155816974211,155816991293,155816995512,155817778647,155817788635,155817789197,3,3,3,3,3,3
6,155817998365,155818035023,155818037696,155818910868,155818933350,155818934102,3,3,3,3,3,3
7,155819234920,155819252573,155819256893,155820052691,155820071083,155820071804,3,3,3,3,3,3
8,155820312301,155820328552,155820331328,155821222243,155821243462,155821244184,3,3,3,3,3,3
9,155821511320,155821528592,155821532458,155822357781,155822379722,155822380383,3,3,3,3,3,3
10,155822645415,155822662647,155822666486,155823486900,155823508660,155823509391,3,3,3,3,3,3
11,155823749257,155823765767,155823770164,155824585459,155824606898,155824607640,3,3,3,3,3,3
12,155824872802,155824889864,155824892160,155825702615,155825724957,155825725638,3,3,3,3,3,3
13,155825964181,155825980361,155825982513,155826759867,155826769996,155826770577,3,3,3,3,3,3
14,155826979325,155826995485,155826998652,155827893825,155827915776,155827916537,3,3,3,3,3,3
15,155828220171,155828238125,155828240688,155829001822,155829030575,155829034131,3,3,3,3,3,3
16,155829300105,155829318630,155829321186,155830115782,155830126061,155830126602,3,3,3,3,3,3
17,155830336592,155830354195,155830357259,155831236673,155831259074,155831259765,3,3,3,3,3,3
18,155831546778,155831564421,155831566918,155832389295,155832410865,155832411546,3,3,3,3,3,3
19,155832663464,155832679785,155832681987,155833505016,155833526476,155833527177,3,3,3,3,3,3
20,155833790446,155833807538,155833811807,155834630218,155834651597,155834652248,3,3,3,3,3,3
21,155834907022,155834923973,155834926316,155835703269,155835713027,155835713558,3,3,3,3,3,3
22,155836651711,155836670766,155836677078,155837582279,155837605903,155837606665,4,4,4,4,3,3
23,155837849345,155837866367,155837868683,155838690188,155838712710,155838713422,4,4,4,4,3,3
24,155838979055,155838996728,155839000353,155839776585,155839789349,155839789940,4,4,4,4,3,3
25,155839999499,155840035446,155840038223,155840903370,155840926432,155840927134,4,4,4,4,3,3
26,155841229705,155841248881,155841252737,155842033707,155842052123,155842052825,4,4,4,4,3,3
27,155842295124,155842311515,155842314269,155843198781,155843220131,155843220792,4,4,4,4,3,3
28,155843490203,155843507565,155843510702,155844310067,155844321108,155844321729,4,4,4,4,3,3
29,155844531829,155844548280,155844550442,155845438512,155845460032,155845460673,4,4,4,4,3,3
30,155845725685,155845743198,155845746074,155846628473,155846650184,155846650845,4,4,4,4,3,3
31,155846941345,155846960500,155846963063,155847772888,155847794237,155847794948,4,4,4,4,3,3
32,155848075049,155848092962,155848096290,155848854839,155848864487,155848865088,4,4,4,4,3,3
33,155849101146,155849117196,155849120300,155849867227,155849876805,155849877366,4,4,4,4,3,3
34,155850116461,155850135947,155850138653,155850892614,155850902111,155850902683,4,4,4,4,3,3
35,155851133020,155851149100,155851155390,155852021299,155852043380,155852044011,4,4,4,4,3,3
36,155852332186,155852350219,155852353858,155853169623,155853190943,155853191634,4,4,4,4,3,3
37,155853451597,155853468629,155853473205,155854281126,155854302696,155854303398,4,4,4,4,3,3
38,155854564312,155854581294,155854585773,155855355423,155855365722,155855366263,4,4,4,4,3,3
39,155855575963,155855593455,155855596028,155856477606,155856498725,155856499376,4,4,4,4,3,3
40,155856788193,155856807549,155856809905,155857625500,155857646779,155857647491,4,4,4,4,3,3
41,155857908726,155857926980,155857930304,155858698100,155858708850,155858709441,4,4,4,4,3,3
