Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,238338855805,238338863148,238338864893,238339041632,238339055608,238339056079,1757,1757,1757,1757,4,4
2,238339165993,238339176763,238339178003,238339336969,238339349873,238339350203,1757,1757,1757,1757,4,4
3,238339459246,238339464295,238339465159,238339624254,238339637118,238339637459,1757,1757,1757,1757,4,4
4,238339746381,238339751039,238339752180,238339912377,238339925412,238339925712,1757,1757,1757,1757,4,4
5,238340057497,238340062917,238340063860,238340221834,238340234297,238340234598,1757,1757,1757,1757,4,4
6,238340351144,238340356073,238340356853,238340514656,238340527530,238340527760,1757,1757,1757,1757,4,4
7,238340637324,238340642654,238340643637,238340802272,238340814715,238340814986,1757,1757,1757,1757,4,4
8,238340925812,238340931202,238340932252,238341114270,238341126893,238341127214,1757,1757,1757,1757,4,4
9,238341243360,238341248329,238341249232,238341406935,238341418988,238341419278,1757,1757,1757,1757,4,4
10,238341527289,238341531987,238341532827,238341691983,238341704296,238341704556,1757,1757,1757,1757,4,4
11,238341820832,238341825661,238341826575,238341985680,238341997612,238341997893,1757,1757,1757,1757,4,4
12,238342128395,238342133425,238342134505,238342293059,238342305934,238342306254,1757,1757,1757,1757,4,4
13,238342424073,238342429703,238342430657,238342587508,238342599911,238342600212,1757,1757,1757,1757,4,4
14,238342716438,238342722088,238342722938,238342881312,238342893294,238342893605,1757,1757,1757,1757,4,4
15,238343021783,238343027003,238343028046,238343198342,238343211778,238343212108,1757,1757,1757,1757,4,4
16,238343328575,238343333494,238343334474,238343514218,238343527572,238343527863,1757,1757,1757,1757,4,4
17,238343647265,238343652294,238343653287,238343815990,238343828553,238343828834,1757,1757,1757,1757,4,4
18,238343945891,238343950870,238343951700,238344127096,238344140060,238344140391,1757,1757,1757,1757,4,4
19,238344259131,238344264942,238344265755,238344422055,238344434018,238344434248,1757,1757,1757,1757,4,4
20,238344544553,238344550234,238344551044,238344736257,238344749973,238344750263,1757,1757,1757,1757,4,4
21,238344870046,238344875115,238344875929,238345049832,238345063327,238345063718,1757,1757,1757,1757,4,4
22,238345175896,238345180895,238345181976,238345342093,238345355067,238345355347,1757,1757,1757,1757,4,4
23,238345472896,238345477855,238345478798,238345636151,238345648273,238345648534,1757,1757,1757,1757,4,4
24,238345759710,238345764289,238345765149,238345924064,238345936667,238345936928,1757,1757,1757,1757,4,4
25,238346068893,238346075024,238346076118,238346234402,238346246615,238346246855,1757,1757,1757,1757,4,4
26,238346357070,238346362690,238346363540,238346522005,238346534247,238346534508,1757,1757,1757,1757,4,4
27,238346653699,238346658548,238346659612,238346817525,238346829898,238346830199,1757,1757,1757,1757,4,4
28,238346938660,238346943529,238346944289,238347122119,238347135003,238347135244,1757,1757,1757,1757,4,4
29,238347251399,238347257350,238347259165,238347417018,238347429121,238347429422,1757,1757,1757,1757,4,4
30,238347544976,238347549855,238347550705,238347714219,238347726592,238347726863,1757,1757,1757,1757,4,4
31,238347835174,238347839782,238347840725,238348000182,238348027432,238348027663,1757,1757,1757,1757,4,4
32,238348633388,238348639479,238348640630,238348810696,238348825042,238348825423,1758,1758,1758,1758,4,4
33,238348936189,238348941439,238348942532,238349120733,238349134489,238349134809,1758,1758,1758,1758,4,4
34,238349251156,238349256325,238349257345,238349415970,238349428693,238349429054,1758,1758,1758,1758,4,4
35,238349540591,238349545450,238349546574,238349705068,238349718032,238349718323,1758,1758,1758,1758,4,4
36,238349846471,238349851350,238349852380,238350028387,238350040991,238350041322,1758,1758,1758,1758,4,4
37,238350151676,238350156686,238350157669,238350317937,238350330049,238350330310,1758,1758,1758,1758,4,4
38,238350440304,238350445123,238350446183,238350603866,238350616009,238350616289,1758,1758,1758,1758,4,4
39,238350726304,238350730862,238350731836,238350891071,238350903364,238350903625,1758,1758,1758,1758,4,4
40,238351021263,238351027194,238351028174,238351188542,238351201136,238351201416,1758,1758,1758,1758,4,4
41,238351310489,238351315097,238351316121,238351474495,238351486768,238351487038,1758,1758,1758,1758,4,4
42,238351597033,238351601842,238351602842,238351761757,238351773950,238351774200,1758,1758,1758,1758,4,4
43,238351885938,238351891388,238351892361,238352073488,238352085721,238352086011,1758,1758,1758,1758,4,4
44,238352197869,238352202818,238352203888,238352362162,238352374325,238352374605,1758,1758,1758,1758,4,4
45,238352484820,238352489579,238352490502,238352648586,238352661039,238352661350,1758,1758,1758,1758,4,4
46,238352771264,238352776674,238352777594,238352937361,238352949954,238352950265,1758,1758,1758,1758,4,4
47,238353082059,238353087079,238353088082,238353246957,238353259821,238353260092,1758,1758,1758,1758,4,4
48,238353368623,238353373292,238353374162,238353533338,238353545480,238353545811,1758,1758,1758,1758,4,4
49,238353655535,238353660885,238353661948,238353820683,238353833136,238353833417,1758,1758,1758,1758,4,4
50,238353942730,238353947499,238353948299,238354124867,238354137149,238354137450,1758,1758,1758,1758,4,4
51,238354247845,238354252684,238354253607,238354411170,238354423343,238354423643,1758,1758,1758,1758,4,4
52,238354533407,238354538907,238354539947,238354698522,238354710715,238354710975,1758,1758,1758,1758,4,4
53,238354821691,238354826349,238354827353,238354986849,238354998761,238354999052,1758,1758,1758,1758,4,4
54,238355131478,238355136688,238355137497,238355296322,238355308545,238355308806,1758,1758,1758,1758,4,4
55,238355417638,238355423108,238355424151,238355582005,238355594428,238355594778,1758,1758,1758,1758,4,4
56,238355704953,238355709572,238355710372,238355870399,238355883132,238355883353,1758,1758,1758,1758,4,4
57,238356020067,238356025427,238356026430,238356193480,238356205533,238356205874,1758,1758,1758,1758,4,4
58,238356317180,238356322610,238356323660,238356483097,238356495269,238356495550,1758,1758,1758,1758,4,4
59,238356612587,238356617466,238356618380,238356776804,238356788816,238356789097,1758,1758,1758,1758,4,4
60,238356898790,238356903449,238356904449,238357077831,238357090264,238357090625,1758,1758,1758,1758,4,4
61,238357224804,238357229824,238357230667,238357390784,238357402937,238357403278,1758,1758,1758,1758,4,4
62,238357513472,238357518161,238357519291,238357680290,238357692383,238357692653,1758,1758,1758,1758,4,4
63,238357801966,238357806695,238357807638,238357966413,238357978686,238357978957,1758,1758,1758,1758,4,4
64,238358587046,238358592987,238358594308,238358759816,238358774152,238358774573,1759,1759,1759,1759,4,4
65,238358885389,238358890398,238358891562,238359067058,238359080052,238359080393,1759,1759,1759,1759,4,4
66,238359194304,238359199484,238359200604,238359359730,238359372093,238359372483,1759,1759,1759,1759,4,4
67,238359482498,238359487156,238359487980,238359644350,238359656673,238359656944,1759,1759,1759,1759,4,4
68,238359772999,238359777648,238359778478,238359998096,238360003275,238360003606,1759,1759,1759,1759,4,4
69,238360138126,238360143245,238360144309,238360303234,238360315627,238360315968,1759,1759,1759,1759,4,4
70,238360427144,238360431853,238360432823,238360593692,238360606315,238360606616,1759,1759,1759,1759,4,4
71,238360716911,238360721399,238360722463,238360881198,238360893390,238360893651,1759,1759,1759,1759,4,4
72,238361021348,238361027189,238361028269,238361197784,238361210888,238361211149,1759,1759,1759,1759,4,4
73,238361322445,238361327194,238361328338,238361484118,238361496741,238361497022,1759,1759,1759,1759,4,4
74,238361606755,238361611624,238361612464,238361771309,238361783612,238361783913,1759,1759,1759,1759,4,4
75,238361895600,238361900930,238361901914,238362093239,238362110952,238362111262,1759,1759,1759,1759,4,4
76,238362229362,238362234551,238362235361,238362394236,238362406479,238362406810,1759,1759,1759,1759,4,4
77,238362519589,238362524418,238362525291,238362683976,238362696309,238362696650,1759,1759,1759,1759,4,4
78,238362808437,238362813667,238362814597,238362975897,238362988580,238362988841,1759,1759,1759,1759,4,4
79,238363121287,238363126336,238363127380,238363286425,238363299519,238363299870,1759,1759,1759,1759,4,4
