Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,161237732473,161237751478,161237754322,161238585025,161238607226,161238608018,3,3,3,3,3,3
2,161238848434,161238865075,161238867130,161239649864,161239659753,161239660344,3,3,3,3,3,3
3,161239867969,161239884199,161239886633,161240772969,161240794459,161240795100,3,3,3,3,3,3
4,161241095658,161241112770,161241116879,161241908159,161241929509,161241930210,3,3,3,3,3,3
5,161242212114,161242228314,161242230246,161242982804,161243002741,161243003402,3,3,3,3,3,3
6,161243260359,161243275086,161243277312,161244150644,161244171062,161244171754,3,3,3,3,3,3
7,161244454379,161244472021,161244474063,161245301771,161245323040,161245323752,3,3,3,3,3,3
8,161245586670,161245603000,161245605026,161246432162,161246453041,161246453802,3,3,3,3,3,3
9,161246716921,161246732961,161246735904,161247560176,161247581646,161247582367,3,3,3,3,3,3
10,161247842881,161247858820,161247861938,161248635294,161248644902,161248645403,3,3,3,3,3,3
11,161248854071,161248869038,161248871331,161249759461,161249781141,161249781912,3,3,3,3,3,3
12,161250069667,161250085917,161250087923,161250850880,161250872129,161250872830,3,3,3,3,3,3
13,161251193165,161251209426,161251211307,161251975006,161251995554,161251996245,3,3,3,3,3,3
14,161252252922,161252267730,161252269775,161253157203,161253177611,161253178343,3,3,3,3,3,3
15,161253464855,161253481696,161253484810,161254311025,161254332024,161254332685,3,3,3,3,3,3
16,161254592918,161254609148,161254611204,161255428182,161255448800,161255449491,3,3,3,3,3,3
17,161255710205,161255726345,161255728448,161256534775,161256556215,161256556986,3,3,3,3,3,3
18,161256834923,161256853487,161256856384,161257671488,161257692317,161257693048,3,3,3,3,3,3
19,161257956067,161257972007,161257973918,161258749609,161258770668,161258771390,3,3,3,3,3,3
20,161259028067,161259044066,161259046583,161259924453,161259945532,161259946214,3,3,3,3,3,3
21,161260246241,161260264645,161260268250,161261052697,161261062275,161261062836,3,3,3,3,3,3
22,161261913907,161261931569,161261937741,161262796406,161262822234,161262824288,4,4,4,4,3,3
23,161263095682,161263112222,161263115420,161263866175,161263875091,161263875662,4,4,4,4,3,3
24,161264117872,161264133311,161264137386,161264900023,161264910894,161264911475,4,4,4,4,3,3
25,161265180484,161265196374,161265198930,161265951628,161265960034,161265960565,4,4,4,4,3,3
26,161266246254,161266262023,161266264229,161267146728,161267167326,161267168057,4,4,4,4,3,3
27,161267435965,161267452406,161267454498,161268270534,161268292194,161268292945,4,4,4,4,3,3
28,161268530677,161268545825,161268549173,161269364718,161269385546,161269386288,4,4,4,4,3,3
29,161269622547,161269637965,161269641350,161270457115,161270477543,161270478234,4,4,4,4,3,3
30,161270713832,161270730012,161270732548,161271556469,161271577538,161271578239,4,4,4,4,3,3
31,161271841007,161271857388,161271859510,161272636573,161272657853,161272658524,4,4,4,4,3,3
32,161272904451,161272919178,161272921264,161273789717,161273811798,161273812509,4,4,4,4,3,3
33,161274114300,161274132654,161274134886,161274890179,161274899496,161274900017,4,4,4,4,3,3
34,161275173295,161275192511,161275195468,161275956942,161275965678,161275966159,4,4,4,4,3,3
35,161276199433,161276215232,161276220831,161277100485,161277121624,161277122365,4,4,4,4,3,3
36,161277407365,161277424366,161277427444,161278236597,161278257455,161278258177,4,4,4,4,3,3
37,161278517659,161278533799,161278535891,161279343551,161279364189,161279364881,4,4,4,4,3,3
38,161279624272,161279640142,161279643370,161280417067,161280426594,161280427125,4,4,4,4,3,3
39,161280633268,161280648206,161280651230,161281513001,161281534040,161281534721,4,4,4,4,3,3
40,161281819129,161281835951,161281839308,161282610110,161282619377,161282619908,4,4,4,4,3,3
41,161282822374,161282837963,161282840747,161283716524,161283737483,161283738214,4,4,4,4,3,3
42,161284026710,161284043792,161284045867,161284807131,161284828411,161284829122,4,4,4,4,3,3
43,161285083164,161285098392,161285100364,161285953428,161285974688,161285975369,4,4,4,4,3,3
44,161286404677,161286425245,161286432268,161287549092,161287570612,161287571313,4,4,4,4,4,4
45,161287874777,161287889354,161287893003,161288761817,161288771003,161288771504,4,4,4,4,4,4
46,161288974441,161288989089,161288994018,161289882919,161289903848,161289904539,4,4,4,4,4,4
47,161290196301,161290212441,161290218541,161290959397,161290969977,161290970467,4,4,4,4,4,4
48,161291282747,161291300280,161291303447,161292095549,161292112358,161292113049,4,4,4,4,4,4
49,161292398590,161292412075,161292416244,161293293704,161293303021,161293303542,4,4,4,4,4,4
50,161293516067,161293530664,161293535604,161294445283,161294466172,161294466883,4,4,4,4,4,4
51,161294702792,161294718270,161294724021,161295672493,161295692109,161295692720,4,4,4,4,4,4
52,161295949176,161295964545,161295966557,161296839318,161296860067,161296860728,4,4,4,4,4,4
53,161297155706,161297172627,161297185984,161297936648,161297945484,161297945996,4,4,4,4,4,4
54,161298783992,161298801424,161298806121,161299575911,161299586751,161299587352,5,5,5,5,4,4
55,161299795870,161299811789,161299816959,161300699689,161300720988,161300721699,5,5,5,5,4,4
56,161300970962,161300985810,161300988006,161301857381,161301879001,161301879712,5,5,5,5,4,4
57,161302177575,161302193956,161302198462,161302954517,161302963584,161302964145,5,5,5,5,4,4
58,161303249024,161303264373,161303266498,161304176869,161304199050,161304199721,5,5,5,5,4,4
59,161304459955,161304477116,161304486462,161305255881,161305265339,161305265920,5,5,5,5,4,4
60,161305462144,161305473396,161305477163,161306317253,161306327183,161306327884,5,5,5,5,4,4
61,161306607945,161306621610,161306625215,161307491584,161307500430,161307501032,5,5,5,5,4,4
62,161307707956,161307724326,161307729386,161308607136,161308628155,161308628746,5,5,5,5,4,4
63,161308885113,161308899479,161308901565,161309782060,161309803220,161309803911,5,5,5,5,4,4
64,161310073802,161310089561,161310093617,161310837509,161310846235,161310846716,5,5,5,5,4,4
65,161311065923,161311081262,161311083367,161311935119,161311957180,161311957851,5,5,5,5,4,4
66,161312259973,161312277015,161312285959,161313158700,161313168398,161313168959,5,5,5,5,4,4
67,161313372357,161313388066,161313394580,161314303839,161314324848,161314325509,5,5,5,5,4,4
68,161314587426,161314603776,161314627539,161315385937,161315406455,161315407187,5,5,5,5,4,4
69,161315663653,161315679723,161315681819,161316550813,161316572162,161316572854,5,5,5,5,4,4
70,161316857021,161316874945,161316900470,161317658108,161317667495,161317668016,5,5,5,5,4,4
71,161317871775,161317887163,161317892353,161318767779,161318788377,161318789069,5,5,5,5,4,4
72,161319075901,161319091781,161319094317,161319954505,161319975343,161319975985,5,5,5,5,4,4
73,161320281903,161320299025,161320310504,161321181052,161321200798,161321201429,5,5,5,5,4,4
74,161321451343,161321467594,161321469579,161322383917,161322404816,161322405497,5,5,5,5,4,4
75,161322664959,161322681129,161322705332,161323456979,161323466336,161323466857,5,5,5,5,4,4
76,161323678029,161323693478,161323698608,161324570257,161324590705,161324591306,5,5,5,5,4,4
77,161324838435,161324854004,161324855809,161325731495,161325752474,161325753195,5,5,5,5,4,4
78,161326002709,161326037904,161326040728,161326902729,161326912427,161326912958,5,5,5,5,4,4
79,161327201594,161327217934,161327224709,161327981845,161327990742,161327991283,5,5,5,5,4,4
80,161328216220,161328231228,161328233311,161329176412,161329197171,161329197852,5,5,5,5,4,4
