Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,214981410744,214981416514,214981419219,214981580940,214981594655,214981594996,1711,1711,1711,1711,5,5
2,214981717974,214981723525,214981724755,214981884081,214981897346,214981897627,1711,1711,1711,1711,5,5
3,214982090866,214982096356,214982097560,214982257567,214982270992,214982271282,1711,1711,1711,1711,5,5
4,214982394812,214982399521,214982400551,214982570166,214982582469,214982582719,1711,1711,1711,1711,5,5
5,214982705417,214982711048,214982712041,214982869434,214982881225,214982881516,1711,1711,1711,1711,5,5
6,214983021306,214983026315,214983027515,214983194897,214983206719,214983206949,1711,1711,1711,1711,5,5
7,214983330769,214983335297,214983336391,214983493854,214983505585,214983505836,1711,1711,1711,1711,5,5
8,214983626781,214983632281,214983633251,214983792857,214983805451,214983805741,1711,1711,1711,1711,5,5
9,214983928089,214983932627,214983933921,214984106552,214984119877,214984120217,1711,1711,1711,1711,5,5
10,214984242364,214984246822,214984247822,214984405576,214984417257,214984417538,1711,1711,1711,1711,5,5
11,214984540186,214984545706,214984546739,214984704152,214984715914,214984716214,1711,1711,1711,1711,5,5
12,214984839223,214984843481,214984844331,214985001442,214985028132,214985028393,1711,1711,1711,1711,5,5
13,214985150910,214985155429,214985156372,214985315939,214985327991,214985328311,1711,1711,1711,1711,5,5
14,214985452622,214985456981,214985458021,214985617948,214985629950,214985630241,1711,1711,1711,1711,5,5
15,214985753900,214985758279,214985759192,214985916965,214985928937,214985929218,1711,1711,1711,1711,5,5
16,214986063908,214986068296,214986069357,214986227440,214986239953,214986240254,1711,1711,1711,1711,5,5
17,214986363623,214986369013,214986370247,214986526167,214986538700,214986539041,1711,1711,1711,1711,5,5
18,214986661328,214986665776,214986666696,214986831642,214986844346,214986844607,1711,1711,1711,1711,5,5
19,214986967505,214986972074,214986973037,214987149144,214987160946,214987161297,1711,1711,1711,1711,5,5
20,214987285017,214987289425,214987290285,214987448709,214987460441,214987460701,1711,1711,1711,1711,5,5
21,214987583409,214987587847,214987588701,214987746143,214987758135,214987758416,1711,1711,1711,1711,5,5
22,214987880202,214987884420,214987885490,214988058401,214988070624,214988070935,1711,1711,1711,1711,5,5
23,214988193893,214988199594,214988200667,214988357830,214988370032,214988370353,1711,1711,1711,1711,5,5
24,214988491087,214988495606,214988496575,214988654789,214988665850,214988666090,1711,1711,1711,1711,5,5
25,214988788087,214988792425,214988793439,214988951873,214988963805,214988964076,1711,1711,1711,1711,5,5
26,214989100880,214989106771,214989107881,214989269351,214989281353,214989281634,1711,1711,1711,1711,5,5
27,214989403560,214989408119,214989409072,214989567667,214989579409,214989579669,1711,1711,1711,1711,5,5
28,214989700764,214989705202,214989706193,214989865739,214989877992,214989878252,1711,1711,1711,1711,5,5
29,214990001712,214990024614,214990025768,214990192327,214990205051,214990205352,1711,1711,1711,1711,5,5
30,214990327669,214990331927,214990332887,214990490891,214990502843,214990503063,1711,1711,1711,1711,5,5
31,214991234562,214991240403,214991241737,214991501459,214991515746,214991516137,1712,1712,1712,1712,5,5
32,214991641279,214991646198,214991647379,214991806344,214991818547,214991818867,1712,1712,1712,1712,5,5
33,214991941776,214991946435,214991947849,214992127212,214992140136,214992140507,1712,1712,1712,1712,5,5
34,214992265018,214992269386,214992270366,214992427188,214992439460,214992439731,1712,1712,1712,1712,5,5
35,214992562068,214992567007,214992567931,214992725483,214992738107,214992738377,1712,1712,1712,1712,5,5
36,214992860755,214992865023,214992865973,214993039285,214993051257,214993051548,1712,1712,1712,1712,5,5
37,214993174626,214993179004,214993180058,214993336979,214993349042,214993349302,1712,1712,1712,1712,5,5
38,214993472140,214993476539,214993477549,214993637085,214993649358,214993649659,1712,1712,1712,1712,5,5
39,214993771064,214993776584,214993777708,214993936634,214993948846,214993949167,1712,1712,1712,1712,5,5
40,214994083536,214994088135,214994089075,214994244954,214994258019,214994258309,1712,1712,1712,1712,5,5
41,214994380025,214994384454,214994385628,214994543621,214994555543,214994555844,1712,1712,1712,1712,5,5
42,214994676728,214994682098,214994683159,214994840982,214994853195,214994853445,1712,1712,1712,1712,5,5
43,214994975923,214994980361,214994981274,214995157381,214995169213,214995169484,1712,1712,1712,1712,5,5
44,214995289246,214995293634,214995294655,214995451135,214995463408,214995463699,1712,1712,1712,1712,5,5
45,214995585084,214995590915,214995591998,214995748800,214995760642,214995760952,1712,1712,1712,1712,5,5
46,214995881567,214995885935,214995886905,214996058914,214996070596,214996070866,1712,1712,1712,1712,5,5
47,214996192082,214996196690,214996197704,214996355056,214996367229,214996367529,1712,1712,1712,1712,5,5
48,214996487412,214996492772,214996493912,214996652146,214996663688,214996664059,1712,1712,1712,1712,5,5
49,214996791365,214996795873,214996796777,214996952136,214996964018,214996964268,1712,1712,1712,1712,5,5
50,214997098347,214997103086,214997104326,214997264324,214997276276,214997276597,1712,1712,1712,1712,5,5
51,214997398693,214997404274,214997405438,214997564543,214997576746,214997577056,1712,1712,1712,1712,5,5
52,214997698392,214997702750,214997703790,214997860010,214997871772,214997872013,1712,1712,1712,1712,5,5
53,214997992487,214997996864,214997997998,214998175147,214998186989,214998187290,1712,1712,1712,1712,5,5
54,214998308054,214998313485,214998314595,214998471366,214998482587,214998482918,1712,1712,1712,1712,5,5
55,214998604203,214998608641,214998609675,214998765705,214998777106,214998777366,1712,1712,1712,1712,5,5
56,214998898541,214998902729,214998903649,214999077602,214999090146,214999090406,1712,1712,1712,1712,5,5
57,214999253259,214999259250,214999260263,214999419048,214999431622,214999431892,1712,1712,1712,1712,5,5
58,214999556624,214999561172,214999562283,214999723672,214999735885,214999736156,1712,1712,1712,1712,5,5
59,214999859865,214999864484,214999865628,215000040232,215000052144,215000052505,1712,1712,1712,1712,5,5
60,215000174632,215000179240,215000180231,215000339767,215000351318,215000351609,1712,1712,1712,1712,5,5
61,215000474257,215000478825,215000479749,215000636760,215000648492,215000648803,1712,1712,1712,1712,5,5
62,215000769737,215000774166,215000775266,215000932358,215000944270,215000944631,1712,1712,1712,1712,5,5
63,215001614696,215001620356,215001621390,215001850976,215001865764,215001866074,1713,1713,1713,1713,5,5
64,215001990395,215001995184,215001996314,215002174906,215002187750,215002188101,1713,1713,1713,1713,5,5
65,215002310629,215002316079,215002317292,215002473863,215002485916,215002486196,1713,1713,1713,1713,5,5
66,215002667513,215002681158,215002683573,215002841707,215002853388,215002853699,1713,1713,1713,1713,5,5
67,215002975425,215002979823,215002980894,215003158123,215003171187,215003171478,1713,1713,1713,1713,5,5
68,215003297011,215003301719,215003302773,215003460065,215003472338,215003472689,1713,1713,1713,1713,5,5
69,215003593433,215003597641,215003598561,215003756454,215003768447,215003768707,1713,1713,1713,1713,5,5
70,215003890894,215003895382,215003896466,215004070229,215004081951,215004082322,1713,1713,1713,1713,5,5
71,215004200381,215004204749,215004205659,215004364494,215004377298,215004377568,1713,1713,1713,1713,5,5
72,215004501508,215004507049,215004508233,215004663441,215004675303,215004675544,1713,1713,1713,1713,5,5
73,215004787581,215004791779,215004792910,215004950983,215004963176,215004963417,1713,1713,1713,1713,5,5
74,215005109378,215005114157,215005115361,215005273013,215005285567,215005285847,1713,1713,1713,1713,5,5
75,215005407493,215005411841,215005412872,215005571987,215005584711,215005584961,1713,1713,1713,1713,5,5
76,215005707218,215005711757,215005712720,215005869802,215005881534,215005881864,1713,1713,1713,1713,5,5
77,215006020171,215006024810,215006025860,215006196898,215006209211,215006209541,1713,1713,1713,1713,5,5
78,215006331638,215006337179,215006338312,215006497318,215006509440,215006509711,1713,1713,1713,1713,5,5
79,215006631397,215006635835,215006637016,215006799437,215006810778,215006811039,1713,1713,1713,1713,5,5
80,215006931413,215006935801,215006936654,215007110627,215007122780,215007123090,1713,1713,1713,1713,5,5
81,215007244826,215007249405,215007250546,215007408128,215007420561,215007420862,1713,1713,1713,1713,5,5
82,215007542207,215007546645,215007547639,215007705562,215007716843,215007717124,1713,1713,1713,1713,5,5
83,215007837818,215007842396,215007843537,215008000779,215008026036,215008026377,1713,1713,1713,1713,5,5
84,215008147672,215008153192,215008154216,215008310075,215008321837,215008322078,1713,1713,1713,1713,5,5
85,215008442582,215008447651,215008448661,215008605773,215008617164,215008617405,1713,1713,1713,1713,5,5
86,215008738119,215008742647,215008743561,215008901534,215008913627,215008913887,1713,1713,1713,1713,5,5
87,215009050070,215009054629,215009055829,215009214534,215009226346,215009226646,1713,1713,1713,1713,5,5
88,215009349435,215009354023,215009354946,215009512239,215009523620,215009523991,1713,1713,1713,1713,5,5
89,215009644885,215009649424,215009650313,215009806484,215009818586,215009818917,1713,1713,1713,1713,5,5
90,215009943618,215009947997,215009948940,215010124486,215010136208,215010136478,1713,1713,1713,1713,5,5
91,215010258475,215010264126,215010265286,215010424542,215010436213,215010436454,1713,1713,1713,1713,5,5
92,215010556777,215010561266,215010562269,215010719992,215010731624,215010731875,1713,1713,1713,1713,5,5
93,215010852459,215010856937,215010857847,215011031710,215011044534,215011044914,1713,1713,1713,1713,5,5
94,215011166641,215011171199,215011172182,215011330617,215011342218,215011342469,1713,1713,1713,1713,5,5
95,215012064610,215012070431,215012071482,215012235466,215012249031,215012249372,1714,1714,1714,1714,5,5
96,215012374825,215012379784,215012380948,215012538901,215012551956,215012552246,1714,1714,1714,1714,5,5
97,215012674924,215012679393,215012680403,215012837174,215012849116,215012849417,1714,1714,1714,1714,5,5
98,215012972104,215012976372,215012977316,215013150758,215013162680,215013162941,1714,1714,1714,1714,5,5
99,215013284497,215013289045,215013290025,215013448359,215013460552,215013460803,1714,1714,1714,1714,5,5
100,215013582789,215013587558,215013588602,215013746134,215013757976,215013758227,1714,1714,1714,1714,5,5
101,215014248528,215014253958,215014255258,215014414815,215014428059,215014428340,1714,1714,1714,1714,5,5
102,215014553402,215014558021,215014559064,215014716527,215014729441,215014729681,1714,1714,1714,1714,5,5
103,215014851918,215014856306,215014857237,215015034576,215015047751,215015048071,1714,1714,1714,1714,5,5
104,215015173314,215015178143,215015179277,215015338843,215015350996,215015351236,1714,1714,1714,1714,5,5
105,215015473343,215015477771,215015478831,215015635813,215015647575,215015647825,1714,1714,1714,1714,5,5
106,215015769121,215015774290,215015775464,215015932235,215015944047,215015944298,1714,1714,1714,1714,5,5
107,215016079298,215016083877,215016085078,215016243432,215016255434,215016255745,1714,1714,1714,1714,5,5
108,215016379625,215016384053,215016385046,215016541196,215016553129,215016553429,1714,1714,1714,1714,5,5
109,215016674604,215016679023,215016680093,215016842435,215016855128,215016855399,1714,1714,1714,1714,5,5
110,215016978137,215016982575,215016983709,215017161549,215017174904,215017175254,1714,1714,1714,1714,5,5
111,215017298022,215017302671,215017303862,215017461665,215017473537,215017473838,1714,1714,1714,1714,5,5
112,215017596135,215017601825,215017602809,215017760021,215017772294,215017772584,1714,1714,1714,1714,5,5
113,215017894300,215017898758,215017899618,215018072660,215018084973,215018085233,1714,1714,1714,1714,5,5
114,215018215055,215018219773,215018220907,215018378971,215018390803,215018391113,1714,1714,1714,1714,5,5
115,215018513531,215018517949,215018518979,215018676882,215018689486,215018689766,1714,1714,1714,1714,5,5
116,215018813907,215018818465,215018819469,215018978014,215018990116,215018990377,1714,1714,1714,1714,5,5
117,215019124205,215019128774,215019129834,215019290693,215019303617,215019303947,1714,1714,1714,1714,5,5
118,215019427998,215019433458,215019434622,215019592074,215019605229,215019605559,1714,1714,1714,1714,5,5
119,215019726514,215019732124,215019733155,215019890557,215019902159,215019902399,1714,1714,1714,1714,5,5
120,215020039774,215020044423,215020045757,215020203159,215020215392,215020215703,1714,1714,1714,1714,5,5
121,215020337750,215020342368,215020343509,215020502344,215020513795,215020514055,1714,1714,1714,1714,5,5
122,215020636774,215020642234,215020643277,215020799958,215020811560,215020811800,1714,1714,1714,1714,5,5
123,215020933186,215020937664,215020938674,215021117026,215021129178,215021129469,1714,1714,1714,1714,5,5
124,215021252527,215021257006,215021258019,215021415121,215021426753,215021427023,1714,1714,1714,1714,5,5
125,215021548429,215021553889,215021555049,215021713103,215021724584,215021724865,1714,1714,1714,1714,5,5
126,215021847222,215021851600,215021852634,215022025204,215022037647,215022038579,1714,1714,1714,1714,5,5
127,215022762674,215022768405,215022769736,215022936476,215022949820,215022950141,1715,1715,1715,1715,5,5
128,215023090442,215023095401,215023096545,215023255009,215023267111,215023267422,1715,1715,1715,1715,5,5
129,215023389599,215023394027,215023394907,215023553913,215023565745,215023566095,1715,1715,1715,1715,5,5
130,215023688372,215023692821,215023693774,215023851056,215023862929,215023863199,1715,1715,1715,1715,5,5
131,215023984615,215023989023,215023989903,215024165198,215024177331,215024177681,1715,1715,1715,1715,5,5
132,215024300189,215024304788,215024305921,215024465147,215024477921,215024478232,1715,1715,1715,1715,5,5
133,215024599447,215024603815,215024604725,215024761246,215024773268,215024773559,1715,1715,1715,1715,5,5
134,215024894964,215024899412,215024900396,215025074910,215025086902,215025087223,1715,1715,1715,1715,5,5
135,215025208718,215025214008,215025215149,215025372792,215025387339,215025387740,1715,1715,1715,1715,5,5
136,215025506160,215025510448,215025511581,215025674083,215025697517,215025697777,1715,1715,1715,1715,5,5
137,215025819273,215025823671,215025824792,215025982755,215025994276,215025994547,1715,1715,1715,1715,5,5
138,215026130159,215026135649,215026136783,215026295137,215026307560,215026307831,1715,1715,1715,1715,5,5
139,215026430007,215026434466,215026435476,215026593269,215026605121,215026605392,1715,1715,1715,1715,5,5
140,215026732297,215026736615,215026737609,215026895131,215026906603,215026906903,1715,1715,1715,1715,5,5
141,215027043587,215027049598,215027050659,215027208432,215027220394,215027220695,1715,1715,1715,1715,5,5
142,215027343262,215027347751,215027348774,215027506838,215027518359,215027518660,1715,1715,1715,1715,5,5
143,215027639564,215027644053,215027644973,215027803347,215027815089,215027815369,1715,1715,1715,1715,5,5
144,215027936054,215027941393,215027942367,215028118494,215028130667,215028130957,1715,1715,1715,1715,5,5
145,215028253685,215028258063,215028259064,215028415915,215028427547,215028427877,1715,1715,1715,1715,5,5
146,215028550094,215028554823,215028555877,215028714501,215028726323,215028726604,1715,1715,1715,1715,5,5
147,215028848390,215028853770,215028854861,215029029755,215029041648,215029041908,1715,1715,1715,1715,5,5
148,215029168874,215029173252,215029174305,215029336867,215029348629,215029348920,1715,1715,1715,1715,5,5
149,215029470496,215029474834,215029475814,215029633006,215029644788,215029645098,1715,1715,1715,1715,5,5
150,215029766394,215029771844,215029772837,215029930300,215029941931,215029942152,1715,1715,1715,1715,5,5
151,215030077273,215030081791,215030082932,215030240344,215030252016,215030252306,1715,1715,1715,1715,5,5
152,215030373682,215030378140,215030379184,215030535274,215030546855,215030547096,1715,1715,1715,1715,5,5
153,215030668391,215030673671,215030674641,215030832735,215030844647,215030844907,1715,1715,1715,1715,5,5
154,215030968407,215030972895,215030974019,215031150597,215031162760,215031163040,1715,1715,1715,1715,5,5
155,215031285227,215031289595,215031290555,215031450813,215031462425,215031462675,1715,1715,1715,1715,5,5
156,215031584421,215031588890,215031589873,215031749359,215031760981,215031761231,1715,1715,1715,1715,5,5
157,215031882797,215031887346,215031888256,215032061828,215032073570,215032073901,1715,1715,1715,1715,5,5
158,215032197320,215032201708,215032202782,215032358741,215032370473,215032370744,1715,1715,1715,1715,5,5
159,215033070263,215033075984,215033077124,215033239836,215033253081,215033253362,1716,1716,1716,1716,5,5
160,215033377572,215033382371,215033383365,215033540086,215033552068,215033552409,1716,1716,1716,1716,5,5
161,215033673564,215033678112,215033679233,215033836696,215033849189,215033849479,1716,1716,1716,1716,5,5
162,215033970474,215033974942,215033975916,215034151843,215034163985,215034164286,1716,1716,1716,1716,5,5
163,215034285451,215034290079,215034291069,215034449564,215034461165,215034461456,1716,1716,1716,1716,5,5
164,215034582851,215034587270,215034588333,215034746417,215034758279,215034758559,1716,1716,1716,1716,5,5
165,215034879635,215034883842,215034884783,215035057413,215035069947,215035070277,1716,1716,1716,1716,5,5
166,215035191753,215035196211,215035197275,215035357542,215035370126,215035370416,1716,1716,1716,1716,5,5
167,215035491391,215035496711,215035497791,215035655504,215035666825,215035667116,1716,1716,1716,1716,5,5
168,215035788461,215035792899,215035793833,215035952548,215035964089,215035964340,1716,1716,1716,1716,5,5
169,215036098279,215036102927,215036103937,215036261781,215036273873,215036274174,1716,1716,1716,1716,5,5
170,215036394517,215036399937,215036400971,215036558824,215036570416,215036570716,1716,1716,1716,1716,5,5
171,215036698784,215036707600,215036708961,215036866724,215036878506,215036878757,1716,1716,1716,1716,5,5
172,215036999050,215037021432,215037023126,215037189235,215037200857,215037201127,1716,1716,1716,1716,5,5
173,215037321210,215037326600,215037327861,215037484813,215037496575,215037496885,1716,1716,1716,1716,5,5
174,215037618080,215037622538,215037623632,215037779402,215037791063,215037791324,1716,1716,1716,1716,5,5
175,215037910205,215037914452,215037915433,215038086881,215038098843,215038099104,1716,1716,1716,1716,5,5
176,215038219698,215038224968,215038226262,215038383754,215038395406,215038395687,1716,1716,1716,1716,5,5
177,215038515860,215038520228,215038521128,215038676787,215038688138,215038688419,1716,1716,1716,1716,5,5
178,215038808532,215038812840,215038813973,215038971526,215038983248,215038983539,1716,1716,1716,1716,5,5
179,215039117157,215039122487,215039123847,215039283584,215039295156,215039295396,1716,1716,1716,1716,5,5
180,215039415469,215039419908,215039420931,215039581049,215039592820,215039593051,1716,1716,1716,1716,5,5
181,215039711901,215039716430,215039717280,215039872859,215039884300,215039884541,1716,1716,1716,1716,5,5
182,215040020824,215040026394,215040027558,215040192454,215040203966,215040204246,1716,1716,1716,1716,5,5
183,215040316094,215040320572,215040321593,215040478063,215040489705,215040489965,1716,1716,1716,1716,5,5
184,215040609868,215040614186,215040615250,215040795354,215040799742,215040800033,1716,1716,1716,1716,5,5
185,215040920096,215040925556,215040926717,215041104026,215041116048,215041116339,1716,1716,1716,1716,5,5
186,215041238246,215041242754,215041243687,215041402432,215041414555,215041414905,1716,1716,1716,1716,5,5
187,215041535239,215041539547,215041540497,215041698891,215041710503,215041710833,1716,1716,1716,1716,5,5
188,215041832149,215041836517,215041837370,215041996155,215042030439,215042030800,1716,1716,1716,1716,5,5
189,215042162504,215042167664,215042168955,215042326397,215042338259,215042338530,1716,1716,1716,1716,5,5
190,215042459975,215042464804,215042465868,215042621757,215042633409,215042633660,1716,1716,1716,1716,5,5
191,215043315967,215043321708,215043322748,215043484929,215043498755,215043499026,1717,1717,1717,1717,5,5
192,215043621483,215043626382,215043627596,215043784648,215043797101,215043797422,1717,1717,1717,1717,5,5
193,215043917344,215043921722,215043922733,215044096616,215044108638,215044108959,1717,1717,1717,1717,5,5
194,215044231086,215044235714,215044236928,215044394150,215044406473,215044406743,1717,1717,1717,1717,5,5
195,215044527768,215044532327,215044533357,215044692883,215044704835,215044705126,1717,1717,1717,1717,5,5
196,215044826021,215044830849,215044831953,215044990257,215045002440,215045002770,1717,1717,1717,1717,5,5
197,215045135888,215045140466,215045141487,215045299490,215045312184,215045312504,1717,1717,1717,1717,5,5
198,215045433309,215045437747,215045438951,215045596814,215045608406,215045608696,1717,1717,1717,1717,5,5
199,215045727547,215045732907,215045734138,215045891210,215045902471,215045902741,1717,1717,1717,1717,5,5
200,215046038974,215046043613,215046044596,215046200586,215046212648,215046212949,1717,1717,1717,1717,5,5
201,215046649570,215046654910,215046656020,215046819103,215046831817,215046832107,1717,1717,1717,1717,5,5
202,215046952661,215046958132,215046959185,215047136514,215047148767,215047149058,1717,1717,1717,1717,5,5
203,215047269241,215047273910,215047275150,215047432923,215047444295,215047444555,1717,1717,1717,1717,5,5
204,215047564849,215047569267,215047570501,215047728023,215047739935,215047740256,1717,1717,1717,1717,5,5
205,215047860299,215047864627,215047865557,215048037847,215048049970,215048050240,1717,1717,1717,1717,5,5
206,215048172407,215048176805,215048177859,215048334390,215048345941,215048346192,1717,1717,1717,1717,5,5
207,215048466846,215048471485,215048472645,215048628104,215048639445,215048639736,1717,1717,1717,1717,5,5
208,215048759267,215048764427,215048765461,215048921470,215048933072,215048933353,1717,1717,1717,1717,5,5
209,215049065959,215049070487,215049071418,215049228920,215049240872,215049241153,1717,1717,1717,1717,5,5
210,215049362849,215049367277,215049368361,215049524801,215049537285,215049537535,1717,1717,1717,1717,5,5
