Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,149645512418,149645533177,149645535733,149646373429,149646397885,149646398606,3,3,3,3,3,3
2,149646640736,149646657417,149646661823,149647491895,149647514708,149647515349,3,3,3,3,3,3
3,149647783316,149647800659,149647805559,149648640190,149648662511,149648663313,3,3,3,3,3,3
4,149648902447,149648918437,149648920799,149649715736,149649725915,149649726385,3,3,3,3,3,3
5,149649940113,149649956132,149649958458,149650857809,149650879349,149650880010,3,3,3,3,3,3
6,149651341678,149651363699,149651372926,149652503666,149652526959,149652527610,3,3,3,3,4,4
7,149652835141,149652850891,149652855177,149653751071,149653761521,149653762001,3,3,3,3,4,4
8,149653990496,149654026192,149654032424,149654916997,149654939208,149654939929,3,3,3,3,4,4
9,149655225610,149655241489,149655244246,149656143206,149656165117,149656165888,3,3,3,3,4,4
10,149656435519,149656453542,149656466465,149657394940,149657416169,149657416860,3,3,3,3,4,4
11,149657657107,149657673266,149657678548,149658482130,149658494724,149658495195,3,3,3,3,4,4
12,149658717548,149658733988,149658736742,149659709428,149659731460,149659732261,3,3,3,3,4,4
13,149660002132,149660039041,149660047448,149660822728,149660832086,149660832616,3,3,3,3,4,4
14,149661061832,149661077762,149661079954,149661949650,149661971901,149661972643,3,3,3,3,4,4
15,149662267570,149662286706,149662295554,149663234658,149663255767,149663256569,3,3,3,3,4,4
16,149663495593,149663512865,149663516550,149664345420,149664367380,149664368152,3,3,3,3,4,4
17,149664611454,149664627033,149664631272,149665547745,149665569806,149665570477,3,3,3,3,4,4
18,149665806856,149665822495,149665827062,149666661311,149666682120,149666682811,3,3,3,3,4,4
19,149666918349,149666934008,149666936665,149667830164,149667840624,149667841114,3,3,3,3,4,4
20,149668069318,149668085779,149668091297,149668898086,149668919977,149668920678,3,3,3,3,4,4
21,149669185430,149669201430,149669203385,149670133132,149670150895,149670151676,3,3,3,3,4,4
22,149670416778,149670434762,149670444068,149671238834,149671249383,149671249915,3,3,3,3,4,4
23,149671450277,149671465194,149671469462,149672324500,149672335391,149672336002,3,3,3,3,4,4
24,149672651197,149672668239,149672695341,149673480299,149673503492,149673504324,3,3,3,3,4,4
25,149673752645,149673768755,149673770707,149674732343,149674754364,149674755095,3,3,3,3,4,4
26,149675038942,149675057487,149675059593,149675948724,149675971035,149675971797,3,3,3,3,4,4
27,149676246687,149676263609,149676275018,149677200137,149677221516,149677222218,3,3,3,3,4,4
28,149677484916,149677502128,149677511286,149678342961,149678353871,149678354422,3,3,3,3,4,4
29,149679444066,149679464805,149679468039,149680361238,149680384752,149680385453,4,4,4,4,4,4
30,149680656567,149680675372,149680684009,149681576207,149681587007,149681587558,4,4,4,4,4,4
31,149681797057,149681813908,149681820611,149682708850,149682730020,149682730811,4,4,4,4,4,4
32,149682980014,149682995543,149682997655,149683893149,149683915149,149683915881,4,4,4,4,4,4
33,149684178729,149684194649,149684199179,149685117875,149685136829,149685137510,4,4,4,4,4,4
34,149685373839,149685389799,149685395219,149686319335,149686342318,149686342959,4,4,4,4,4,4
35,149686600838,149686617659,149686627269,149687441561,149687451760,149687452211,4,4,4,4,4,4
36,149687662111,149687678572,149687684130,149688570617,149688592127,149688592748,4,4,4,4,4,4
37,149688839015,149688854985,149688856890,149689780405,149689803188,149689803959,4,4,4,4,4,4
38,149690079070,149690096002,149690105568,149690867683,149690877692,149690878243,4,4,4,4,4,4
39,149691121234,149691149417,149691159347,149692049200,149692070109,149692070770,4,4,4,4,4,4
40,149692358044,149692375586,149692385473,149693308868,149693330067,149693330738,4,4,4,4,4,4
41,149693588257,149693605279,149693614297,149694434280,149694444659,149694445160,4,4,4,4,4,4
42,149694656954,149694673504,149694678794,149695561794,149695583635,149695584346,4,4,4,4,4,4
43,149695880687,149695897257,149695904529,149696690038,149696700307,149696700868,4,4,4,4,4,4
44,149696893246,149696905338,149696909296,149697811421,149697832470,149697833121,4,4,4,4,4,4
45,149698093866,149698109605,149698115346,149699027851,149699049671,149699050393,4,4,4,4,4,4
46,149699309414,149699325994,149699332699,149700158773,149700169863,149700170344,4,4,4,4,4,4
47,149700377419,149700393699,149700399268,149701282849,149701304710,149701305381,4,4,4,4,4,4
48,149701548142,149701563671,149701565456,149702488460,149702510361,149702511082,4,4,4,4,4,4
49,149702773890,149702790682,149702800408,149703577962,149703588241,149703588702,4,4,4,4,4,4
50,149703789074,149703806356,149703810424,149704705817,149704715195,149704715696,4,4,4,4,4,4
51,149704918061,149704933831,149704939160,149705829645,149705851064,149705851766,4,4,4,4,4,4
52,149706160139,149706177150,149706186599,149706953203,149706963041,149706963553,4,4,4,4,4,4
53,149707184102,149707197497,149707201675,149707947680,149707956988,149708489407,4,4,4,4,4,4
54,149708768916,149708786959,149708789352,149709586773,149709598305,149709598856,4,4,4,4,4,4
55,149709808635,149709825236,149709828494,149710787656,149710812471,149710813183,4,4,4,4,4,4
56,149711119352,149711138748,149711141020,149711903827,149711913465,149711913956,4,4,4,4,4,4
57,149712196210,149712226206,149712228632,149712987511,149712997119,149712997580,4,4,4,4,4,4
58,149713220685,149713237105,149713242616,149714167794,149714188573,149714189234,4,4,4,4,4,4
59,149714446241,149714462912,149714486965,149715266413,149715276712,149715277213,4,4,4,4,4,4
60,149715486281,149715502572,149715505739,149716464670,149716486631,149716487302,4,4,4,4,4,4
61,149717374871,149717406580,149717415755,149718298705,149718321307,149718322018,5,5,5,5,4,4
62,149718586169,149718603762,149718615916,149719518813,149719529964,149719530525,5,5,5,5,4,4
63,149719738030,149719754481,149719760081,149720641288,149720662628,149720663339,5,5,5,5,4,4
64,149720915027,149720931517,149720935864,149721853718,149721878144,149721878855,5,5,5,5,4,4
65,149722160448,149722177350,149722181800,149722984210,149723025176,149723025877,5,5,5,5,4,4
66,149723283005,149723300037,149723304724,149724120459,149724137581,149724138302,5,5,5,5,4,4
67,149724401811,149724419003,149724422562,149725216747,149725227236,149725227797,5,5,5,5,4,4
68,149725434772,149725450902,149725453014,149726332748,149726354649,149726355330,5,5,5,5,4,4
69,149726642824,149726660617,149726662883,149727457439,149727467748,149727468229,5,5,5,5,4,4
70,149727671637,149727687727,149727690139,149728576866,149728598807,149728599548,5,5,5,5,4,4
71,149728888395,149728907411,149728909656,149729727345,149729749085,149729749717,5,5,5,5,4,4
72,149730028945,149730047500,149730051686,149730829831,149730840040,149730840521,5,5,5,5,4,4
73,149731064267,149731080557,149731083043,149731951817,149731974870,149731975511,5,5,5,5,4,4
74,149732273775,149732291488,149732294231,149733108574,149733126719,149733127411,5,5,5,5,4,4
75,149733366134,149733382053,149733384677,149734265372,149734287393,149734288095,5,5,5,5,4,4
76,149734576671,149734594283,149734598343,149735416953,149735438613,149735439275,5,5,5,5,4,4
77,149735701011,149735718092,149735722289,149736556017,149736578399,149736579060,5,5,5,5,4,4
78,149736837350,149736854321,149736858511,149737683393,149737704743,149737705434,5,5,5,5,4,4
79,149737967811,149737984673,149737989179,149738770611,149738780459,149738780920,5,5,5,5,4,4
80,149738985149,149739001029,149739003726,149739887397,149739909778,149739910500,5,5,5,5,4,4
81,149740194167,149740210096,149740212238,149741097012,149741118261,149741118933,5,5,5,5,4,4
82,149741410835,149741428618,149741431545,149742252881,149742274250,149742274962,5,5,5,5,4,4
83,149742533702,149742550594,149742555090,149743331402,149743341631,149743342052,5,5,5,5,4,4
84,149743548445,149743564095,149743567152,149744445623,149744467384,149744468025,5,5,5,5,4,4
85,149744755218,149744772801,149744775194,149745600557,149745622137,149745622768,5,5,5,5,4,4
86,149745882090,149745898972,149745903502,149746721150,149746742790,149746743442,5,5,5,5,4,4
87,149746999257,149747032959,149747037126,149747810282,149747820761,149747821282,5,5,5,5,4,4
88,149748049626,149748066017,149748069024,149748935323,149748957444,149748958105,5,5,5,5,4,4
89,149749254666,149749273140,149749275794,149750082783,149750101148,149750101780,5,5,5,5,4,4
90,149750359809,149750376420,149750378452,149751165153,149751186132,149751186813,5,5,5,5,4,4
91,149751426398,149751442168,149751444103,149752324899,149752346449,149752347130,5,5,5,5,4,4
92,149752634985,149752653850,149752656083,149753483099,149753504849,149753505530,5,5,5,5,4,4
93,149754367451,149754385996,149754389243,149755214346,149755237268,149755237970,6,6,6,6,4,4
94,149755497572,149755514804,149755519190,149756304118,149756314638,149756315139,6,6,6,6,4,4
95,149756520901,149756537101,149756540038,149757425443,149757447203,149757447885,6,6,6,6,4,4
96,149757734116,149757752981,149757755514,149758583011,149758604561,149758605243,6,6,6,6,4,4
97,149758865506,149758882468,149758886346,149759715897,149759737918,149759738529,6,6,6,6,4,4
