Sample,Start,Release,Resume,HandlerEnd,Return,End,Gen0Before,Gen0After,Gen2Before,Gen2After,ThreadsBefore,ThreadsAfter
1,150048087563,150048107721,150048112338,150048893118,150048903227,150048903838,3,3,3,3,3,3
2,150049184519,150049201020,150049204398,150049985499,150049994946,150049995517,3,3,3,3,3,3
3,150050295164,150050313107,150050316983,150051141805,150051163646,150051164387,3,3,3,3,3,3
4,150051404874,150051421284,150051423680,150052220760,150052230328,150052230829,3,3,3,3,3,3
5,150052443755,150052458733,150052461606,150053358362,150053379030,150053379732,3,3,3,3,3,3
6,150053651106,150053667727,150053670804,150054502409,150054523798,150054524490,3,3,3,3,3,3
7,150054789542,150054805542,150054807714,150055599455,150055620203,150055620935,3,3,3,3,3,3
8,150055856372,150055870839,150055873355,150056756816,150056779168,150056779819,3,3,3,3,3,3
9,150057063957,150057080958,150057084213,150057859513,150057868419,150057868930,3,3,3,3,3,3
10,150058117782,150058134453,150058136609,150058907150,150058916247,150058916728,3,3,3,3,3,3
11,150059147216,150059162174,150059164386,150060052777,150060075709,150060076300,3,3,3,3,3,3
12,150060358594,150060375656,150060377922,150061213464,150061234473,150061235305,3,3,3,3,3,3
13,150061502571,150061518450,150061521445,150062324747,150062334635,150062335186,3,3,3,3,3,3
14,150062546879,150062561877,150062564714,150063456080,150063477620,150063478281,3,3,3,3,3,3
15,150063772117,150063790110,150063792443,150064621252,150064642482,150064643183,3,3,3,3,3,3
16,150064896934,150064912503,150064916192,150065708493,150065718382,150065718893,3,3,3,3,3,3
17,150065930846,150065946135,150065948237,150066841386,150066863127,150066863808,3,3,3,3,3,3
18,150067171179,150067189873,150067194183,150067981776,150067991103,150067991594,3,3,3,3,3,3
19,150068274089,150068290039,150068292932,150069084202,150069093499,150069093970,3,3,3,3,3,3
20,150069304742,150069319850,150069322326,150070206789,150070227377,150070228108,3,3,3,3,3,3
21,150070518378,150070535229,150070538714,150071368084,150071388682,150071389404,3,3,3,3,3,3
22,150071642083,150071657762,150071660910,150072448773,150072458291,150072458782,3,3,3,3,3,3
23,150072667459,150072685523,150072687725,150073583058,150073604789,150073605450,3,3,3,3,3,3
24,150073900368,150073917660,150073924124,150074751791,150074774623,150074775285,3,3,3,3,3,3
25,150075034346,150075049935,150075052928,150075819863,150075828960,150075829541,3,3,3,3,3,3
26,150076057404,150076072593,150076077193,150076893118,150076914027,150076914728,3,3,3,3,3,3
27,150077196071,150077212432,150077214604,150077981087,150078001465,150078002097,3,3,3,3,3,3
28,150078265776,150078281646,150078283751,150079171550,150079192690,150079193471,3,3,3,3,3,3
29,150080303423,150080322919,150080325903,150081236304,150081258395,150081259136,4,4,4,4,3,3
30,150081530410,150081548313,150081550739,150082373358,150082394597,150082395298,4,4,4,4,3,3
31,150082633922,150082649170,150082653586,150083433876,150083443714,150083444235,4,4,4,4,3,3
32,150083655257,150083670405,150083673482,150084555441,150084576710,150084577412,4,4,4,4,3,3
33,150084846942,150084864926,150084869693,150085647778,150085657376,150085657897,4,4,4,4,3,3
34,150085866725,150085881702,150085884309,150086767860,150086788769,150086789390,4,4,4,4,3,3
35,150087040627,150087056156,150087059881,150087862131,150087882088,150087882850,4,4,4,4,3,3
36,150088165064,150088181284,150088183620,150088944423,150088964430,150088965091,4,4,4,4,3,3
37,150089222039,150089236836,150089239239,150090113172,150090134522,150090135243,4,4,4,4,3,3
38,150090425903,150090442774,150090446803,150091280182,150091300870,150091301531,4,4,4,4,3,3
39,150091565612,150091581642,150091584936,150092403527,150092424606,150092425227,4,4,4,4,3,3
40,150092688586,150092704776,150092709396,150093530181,150093551330,150093551941,4,4,4,4,3,3
41,150093814689,150093830879,150093832942,150094653025,150094673703,150094674354,4,4,4,4,3,3
42,150094925501,150094942182,150094944428,150095721120,150095730959,150095731459,4,4,4,4,3,3
43,150095939085,150095955155,150095957648,150096836671,150096865414,150096866045,4,4,4,4,3,3
44,150097147187,150097163638,150097410077,150098200696,150098221785,150098222547,4,4,4,4,3,4
45,150098477711,150098493610,150098497876,150099408037,150099429858,150099430529,4,4,4,4,4,4
46,150099669272,150099693016,150099721501,150100496350,150100506429,150100506960,4,4,4,4,4,4
47,150100723091,150100739101,150100744281,150101620759,150101641297,150101641938,4,4,4,4,4,4
48,150101904756,150101920265,150101922658,150102793866,150102814004,150102814675,4,4,4,4,4,4
49,150103128297,150103145569,150103158515,150104033260,150104042988,150104043539,4,4,4,4,4,4
50,150104249772,150104266633,150104271843,150105189107,150105209224,150105209865,4,4,4,4,4,4
51,150105472633,150105487812,150105493582,150106444619,150106464846,150106465598,4,4,4,4,4,4
52,150106753693,150106768640,150106770713,150107658892,150107679421,150107680122,4,4,4,4,4,4
53,150107968187,150107986401,150108000158,150108778955,150108788492,150108788973,4,4,4,4,4,4
54,150108999043,150109038246,150109044007,150109901139,150109921336,150109921988,4,4,4,4,4,4
55,150110245990,150110262120,150110285551,150111062505,150111082351,150111083083,4,4,4,4,4,4
56,150111341303,150111357903,150111360640,150112233121,150112253789,150112254500,4,4,4,4,4,4
57,150112540081,150112557052,150112583370,150113399736,150113420013,150113420685,4,4,4,4,4,4
58,150113681920,150113697920,150113709383,150114592934,150114602471,150114602983,4,4,4,4,4,4
59,150114816920,150114840634,150114845291,150115761813,150115783494,150115784185,4,4,4,4,4,4
60,150116036954,150116052894,150116058266,150116819990,150116829037,150116829518,4,4,4,4,4,4
61,150117664770,150117681390,150117683703,150118588163,150118599604,150118600166,5,5,5,5,4,4
62,150118813001,150118828590,150118833829,150119721278,150119741976,150119742708,5,5,5,5,4,4
63,150119994616,150120030232,150120034802,150120904838,150120914346,150120914867,5,5,5,5,4,4
64,150121204214,150121220895,150121229980,150122001994,150122033403,150122034254,5,5,5,5,4,4
65,150122302963,150122318873,150122321028,150123196925,150123207625,150123208176,5,5,5,5,4,4
66,150123421783,150123437412,150123442622,150124361368,150124381856,150124382447,5,5,5,5,4,4
67,150124636229,150124651828,150124656916,150125517304,150125538213,150125538944,5,5,5,5,4,4
68,150125801832,150125817982,150125826009,150126639961,150126649839,150126650340,5,5,5,5,4,4
69,150126859779,150126875207,150126880287,150127756414,150127776562,150127777273,5,5,5,5,4,4
70,150128053586,150128069195,150128071989,150128946684,150128967382,150128968023,5,5,5,5,4,4
71,150129279281,150129298246,150129309920,150130224960,150130245598,150130246329,5,5,5,5,4,4
72,150130509849,150130527281,150130529604,150131346802,150131368282,150131368923,5,5,5,5,4,4
73,150131632703,150131650366,150131663812,150132443500,150132453038,150132453539,5,5,5,5,4,4
74,150132662668,150132678076,150132683206,150133567067,150133587485,150133588086,5,5,5,5,4,4
75,150133837019,150133851385,150133855502,150134779558,150134801468,150134802120,5,5,5,5,4,4
76,150135079385,150135095605,150135102860,150135859465,150135868422,150135868913,5,5,5,5,4,4
77,150136112716,150136128335,150136134435,150136995243,150137052021,150137052692,5,5,5,5,4,4
78,150137304530,150137321541,150137324455,150138203608,150138223836,150138224587,5,5,5,5,4,4
79,150138513133,150138531387,150138541637,150139369255,150139389933,150139390584,5,5,5,5,4,4
80,150139652320,150139668570,150139675552,150140504361,150140524499,150140525170,5,5,5,5,4,4
81,150140787066,150140803567,150140812696,150141590140,150141599407,150141599928,5,5,5,5,4,4
82,150141804578,150141816050,150141819837,150142712885,150142722032,150142722543,5,5,5,5,4,4
83,150142930079,150142945387,150142950477,150143829660,150143850448,150143851119,5,5,5,5,4,4
84,150144131009,150144146198,150144151786,150144916637,150144925564,150144926065,5,5,5,5,4,4
85,150145162694,150145180197,150145185326,150145915733,150145922786,150146615793,5,5,5,5,4,4
86,150146836523,150146853254,150146858023,150147750551,150147772171,150147772872,5,5,5,5,4,4
87,150148059895,150148075564,150148077941,150148968444,150148990586,150148991257,5,5,5,5,4,4
88,150149277218,150149295051,150149304137,150150123528,150150134178,150150134769,5,5,5,5,4,4
89,150150336444,150150348957,150150352804,150151150516,150151161488,150151162129,5,5,5,5,4,4
90,150151444975,150151458660,150151461784,150152337401,150152346508,150152346969,5,5,5,5,4,4
91,150152556297,150152571876,150152577076,150153497796,150153519156,150153519827,5,5,5,5,4,4
92,150153785180,150153800919,150153809156,150154637955,150154648024,150154648565,5,5,5,5,4,4
93,150155526626,150155543357,150155548968,150156499862,150156522304,150156523005,6,6,6,6,4,4
94,150156806893,150156822962,150156825358,150157713919,150157735419,150157736100,6,6,6,6,4,4
95,150158035356,150158051796,150158056153,150158963779,150158985249,150158985910,6,6,6,6,4,4
96,150159277972,150159294764,150159305004,150160125909,150160138322,150160138973,6,6,6,6,4,4
97,150160352670,150160368309,150160373489,150161250368,150161270686,150161271327,6,6,6,6,4,4
98,150161566675,150161583006,150161606588,150162377279,150162397386,150162398068,6,6,6,6,4,4
99,150162682767,150162699127,150162701303,150163582019,150163591957,150163592428,6,6,6,6,4,4
100,150163804321,150163820061,150163825371,150164702510,150164722226,150164722848,6,6,6,6,4,4
